,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X000661.SZ,X003816.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X600741.SH,X300142.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X002129.SZ,X000157.SZ,X601877.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300003.SZ,X600584.SH,X600183.SH,X300136.SZ,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X002463.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.222234560406523,0,0,0.256775476832925,0,0,0,0,0,0,0.0291391209171029,0.00345000983711001,0,0,0,0,0,0,0,0.0145023353920262,0,0,0,0,0.0557418593931232,0,0,0,0.0245719576690273,0,0,0,0,0,0,0,0,0.0168664326452446,0,0.0794649223248664,0,0,0,0,0.00259899057245508,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0392207891426267,0,0,0,0.050210008628168,0,0.235328189709636,0,0.415231875302658,0,0,0,0,0.0676056248119859,0,0,0.00717845190309552,0,0,0,0,0.0347698646694559,0,0,0.0128211793467447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327293476963512,0,0,0,0,0,0,0.0255450896331421,0.0408943237291179,0,0,0,0,0,0
X600276.SH,0.0286457248915252,0,0,0,0,0,0,0,0,0.209755225915653,0,0,0,0,0,0,0,-0.0242374852950229,0.0395940210432585,0,-0.0454317736123752,0.0435825760729274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108249972569877,0,0,0.00744331556023705,0,0,0,0.121910788387464,0,0,0,0,0.121794344126962,0,-0.0995987685833749,0,-0.00771623988562885,0.004165772752295,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334600601037092,0,0,0,0,0,0,0.0406833541284775,0,0,0,0,0,0.0304147501098827,0,0,0,0,0,0,0,0,0.0108305603359974,0,0,0,0.0134405254505883,0.0277327213197405,0,0.137647872248881,0.144432454837471,0.111453995438664,0,0,0,0.00724570963570202,-0.00405496950769357,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0969776981171093,0,0,0,0,0,0,0,0,0,0,0,0.0672976144526679,0,0,0.036887739812036,0,0,0,0,0,0,0,0,0.0606277999044014,0,0,0,0,0.154279444955586,0,0,0,0,0,0.0429678448999379,0.0819283442820736,0,0,0,0,0,0,0,0,0,0,0,0,0.0166097788038083,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0447135373605788,0,0,0,0,0,0,0,0,0,0,0.0804799321542471,0,0.0356636281564229,0,0,0,0,0,0,0,0,0,0.151605675480786,0,0,0,-0.0114870245291019,0,0,0,0,0,0,0,0,0,0,0,0,0.0987691314585251,0,0,0,0.0384774874430456,0,0,-0.0475593202233543,-0.0227015080325754,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.169914374503306,0,0,0,-0.0347137067158058,0,-0.0636060956715266,0,0,-0.0116805205685021,0,0.0577297704874382,0,0,0,-0.0326253343690854,0,0,0,0.0165513612936278,-0.00802954770243853,0,0,0,0,0.0134575985074604,0,0.0559181413394971,0,0,0,0,0,0.165311852718325,0,0,0,0,0,0,0,0,0.149738984890271,0,-0.019476826655129,0.0048006110608329,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403142045531635,0,0.0169591996570984,0,0,0,0,0.0516799669442325,0,0,0,0,0,0.302638720072006,0,0,0,0,0,0,0,0.0212412867904569,0,0,0,0,0,0,0,0,0.00926878701965315,-0.0469652857473757,0,0,-0.0157780818965978,0.0322266508177304,0,0,0,0,0,0
X000568.SZ,0,0.097815355603524,0,0,0,0,0,0,0,0.460689998475215,0,0.128640674543656,0,0,0,0,0.111459833196704,0,0,0.0609031155780626,0,0.0581470123927684,0,0,-0.00321169359026684,0,0,0,0,0,0,0,-0.0881948340083384,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204661750894139,0.0164285525536674,0,0,0,0,0,0
X002304.SZ,0,0.401252702634159,0,0,0.0510759983851768,0,0,0,0.302648175862378,0,0,0.0102837067771891,0,0,0,0,0,0,0,0,0,-0.0135655881926126,0,-0.00970533852587758,0,0,0,0,0,0.16559013975365,0,-0.013789005389474,0.0344253546318138,0,0,0,0,0,0,0,0,0,0,-0.0654387506159696,0,0,0,0,0,0,0,0.00132109146848089,-0.000295573220865273,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463245668780194,0,0,0,0,0,0.179001519841237,0.181279600684223,0,0,0,0,-0.038159970971625,0,0.0109331564655331,0,0,8.67361737988404e-19,0,-0.0866976680795382,0,0,0,0.206911094799521,0,0,0,0,0,0.0306220972152428,0,0,0,0,0,0
X600809.SH,0,0.583323928535733,0.0559061095702495,0,0,0,0,0,0.0360885536759972,0,0,0,0,0,0,0,0,-0.0999022118815279,0,0.0702886253041534,0,0.196033161140834,0,0,0,0,0,0,0,0.0125556782656394,0,0,0,0,0,0,0,0,0,0,0,0,0.0563836569083,0,0,0,0,0,0,-0.117129443995204,0,-0.0139646509549929,-4.33680868994202e-19,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0872463561664844,0,0,0,0,0,0.278634115049466,0,0,0,0,0.0380482231799029,0,0,0.0485484805728574,0,0,0,0,0.0737790854053273,0,0,-0.0110768003101895,0,0,0,0,0,0.0246623443607365,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.223935945187394,-0.00646120057395216,0.0496431479525537,0.0277779897390302,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232372720778763,-0.177640094865727,0.0262281076027796,0,0,-0.235683319605639,0,0,0.00634990798772575,0.385883826821627,0,0,0,0,0,0.0859328914070474,0.094904912113417,0,0,0,0,0,0,0.0958083515964436,0,0,-0.108590522443898,0,0,0,0.33705425245819,0,0,0,0.0169866887382682,-0.00631473763223448,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.100179120827315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107771567805709,0,0,0.0214649814478705,0,0.0526524119053031,0,0,0,0,0,0.0315432679722872,0,0,0.0741281442125478,0,0,0,0.0109008495102477,0.0120591973560521,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0209190972177449,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.20645275198872,0.14157526246163,0,0.0393879247243446,0,0,0,0,0,0.0745255000939917,0.0201325976914647,0,0,0,0,0,0,0,0.0316113337182473,0,0,0.0906584913633044,0,0,0.0586120373259248,0,0,0,0,0.106125704852086,0,-0.0543538926746746,-0.0244693906245664,0.015495485937609,0,0,0,0,0,0
X002241.SZ,0,0,0,0.28593023364634,0,0,0,0,0,0,0,0,0,0,0,0.00599387134976215,0,0,0,0.04038316262672,0,0,0.0449635562368712,0,0,0.0350556807762592,0,0.0969138259721617,0,0,0,0,0,0.0354296195803051,0,0,0.0542815838011582,0,0.0765885812840139,0,0,0,0,0,0,0,0,0,0,0,0,0.0134015776238407,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.00664873669815134,0.418053140109495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246643330119206,-0.131141346642797,0,0,0,0,0,0,0,-0.0354411937599392,0,0,0,0,0.132605451190936,0,0,0.0328516453548459,0.0193195176772609,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854613898301121,0,0.0242749255253127,0.0349206361572093,0,0,0,0,0,0,0,0,0,0.209854358398242,0.105133143223316,0,0,0.046797978469952,0,0,0,0,0.0126345465426101,0,0.150353060857506,0,0,0,0.0163555367506939,0.00103620427861881,0,0,0,0,0,0
