,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X003816.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X000625.SZ,X600703.SH,X300014.SZ,X002241.SZ,X000596.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X601877.SH,X600584.SH,X002129.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X002236.SZ,X600183.SH,X002049.SZ,X000800.SZ,X002414.SZ,X601799.SH,X300003.SZ,X300136.SZ,X002185.SZ,X002008.SZ,X000066.SZ,X002456.SZ,X000977.SZ,X600118.SH,X300146.SZ,X002508.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.303851830842959,0.0352154552153308,-0.123530406117475,0,0.0678377598619571,0.0142889902305579,0,0,0,0.253810127076746,0,0,0,0,-0.00297281797189145,0,0,0.0169255915892019,0,0,0,0,0,0.0688259444809732,0,0,0,0,-0.124834221262152,0,0.107212727451995,0,0,0,0.00528740864346723,0,0,0,0,0.0299231822692358,0,0,-0.0471831089657347,0,0,0,0,0,0,0,0.0303606154536925,0,0,0,0,0.0168668534031669,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.156634444802935,0.0474068384668118,0.185398928592074,0,0,0,0,0,0,0.00437652249042036,0,-0.108339438885472,0,0,0,0.0593810292746635,0.113374254875787,0,0,0,0,0,0,0,0,0,0,0,0,0.00214836242146835,0,0,0,0,0,0,0,0,0,0,0.0511093909473989,0,0,-0.0163424615856148,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.076000125790326,0,0,0.0562972165142054,0,0.044518320604222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901451265069509,0.0175030061291443,0,0,0,0,0.00662673613694794,0,0,-0.0535375391830382,0,0,0,0,0.0255812334998337,0.0788666661502956,0,0,0,0,0,0,0,-0.0714547330753104,0.0886144725874454,0,0,-0.00965618213409579,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0481398362642066,0,0,0,0,0.00762387235950108,0,0,0,0,0,0,0,0,0,-0.0271141183537361,0,0,0,0,0.0201333920465814,0,0,0,0,0,0,0,0.349179443721748,0,0,0,0,0.0849164885590134,0,0,0,0,0,0,0,0,0,0,0.132641550303718,0,0,0.00222547519994909,0,0,0,-0.00181719601499282,0,0
X000651.SZ,0,0,0,0,0,0,0.0847273576323378,0,0,0,0,0.151816449666373,0,0,0,-0.0214166934295348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163381639392454,0.0609368701372201,0.0229717761671537,0,0,0,0,0,0,-0.0959596073160656,0,0,0,0,0,0,0,0,0.091399208669899,0,0,-0.0412606052875319,0,0,0,-0.00975580387047419,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0827356235532403,0,0,0,0,0,0,0,0,0,0,-0.0436357796940893,0,0,0.411824650607817,0,0,0.0324818313333509,0,0,0.128463666823986,0,0,0,0,0,0,0,0,0,0,0,0,0.18432913981375,0,0.0464154097473776,0,0,0,0,0,0,0.144491463605361,0,0.0071183177285575,0,0,0,0,-0.00640208008920997,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0198361495284057,0,0,0,0,0,0.249899255158944,0,0.161402629519655,0,0,0,-0.0547141643491486,0.100540819752186,0,0.186428000583149,0.100537448722601,0,0,-0.00745687075568924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109475756744535,-0.0135988368846824,0,0,0,-0.0424477787825767,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.282987219618018,0,1.38777878078145e-17,0,0,0,0,0,0,0,-0.0973294579057742,0,0.0308330474150561,0.021851881053408,0.233164297681166,0,0,0,0,0,0,0.0933904995573499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273022161562223,0,0,0,0.0240319528800578,0,0,0,0,0.0154512954485427,0,0
X002304.SZ,0,0.0510884880346609,0,0,0,0,0,0.220694093434113,0,0,0.0759010918406646,0,0,0,0,0,0,0,-0.11030198038057,0,0.291762008562595,0,0.0745302083033852,0,0,0,0,0,0,0,0,0,0.0371849031703527,0,0,0.00823100816728932,0,0.071017231864613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392650282016794,0,0
X600031.SH,0,0,0,0,0,0,0.164941703648606,0,0,0,0.245909285106868,0,0,0,0,0.261639464871039,0.229141131666724,0,0,0,0.0285425545801862,0,0,0,0,0,0.00508846219317397,0,0,0,-8.67361737988404e-19,0.0709991116458745,0,0,0,0,0,0,0.0796590725056594,-0.171266271923186,0,0,0,0,0,0,0,0,0,0,0,0.0635884657578991,-6.44070699757011e-05,0,0,0,0.0363751191758833,0,0
