,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X002371.SZ,X600104.SH,X300014.SZ,X600031.SH,X300124.SZ,X000725.SZ,X600703.SH,X000063.SZ,X002129.SZ,X000338.SZ,X000625.SZ,X300142.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X600460.SH,X002179.SZ,X601877.SH,X002074.SZ,X600584.SH,X002007.SZ,X000157.SZ,X002414.SZ,X600183.SH,X002236.SZ,X000799.SZ,X600741.SH,X600702.SH,X601799.SH,X600089.SH,X000800.SZ,X600779.SH,X000066.SZ,X300146.SZ,X300003.SZ,X000977.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.138612745285608,0,0.058438328371957,0,0,0,0.0695385369761362,0.083000512490466,0.0565871593851999,0,0,0.0577300259079992,0,0,0,0,0,0.0103548305181606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082247277707561,0,0,0,0.0442023987415863,0,0.0701013613692097,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0635712590938481,0,0,0.197827670846619,0,0,0,0,0.0499451141994538,0.00299461424599324,0,0,0,0,0,0,0,0,0,0,0.0328741211639054,0,0,0,0,0,0,0.0901343513831862,-0.0838077662865293,0,0,-0.0585576061637706,0,0,0,0,0.139421700174297,0,0,0,0.12710488562571,0,0,0,0,0,0,0,-0.115228295256323,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.151661899092181,0,0,0.0852839863893837,0,0.0831791682692384,0,0,0.101698096168991,0,0.0495878342593861,0,0,0,0.0321474673420986,0,0,0,0,0,0,0,0,0,0.010014793655524,0.0776207512303676,0,0.0479914261167567,0,0,0,0,0,0,0.107662956287807,0,0,0,0,0,0,0,0,0,0,0.0443616841266983,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,-0.0791793192519345,0,0.0866350598792777,0.0730398632743567,-0.22033542013763,0,0,-0.0747048795000988,0,0.283075522347823,0,0,0,-0.0265512683186788,0,0,0,0,0,0,0,0,0,-0.0106591327127222,0,0,0,0,0,0,0,0,0,0.582375432348933,-0.0300740014166242,0,0,0,0,0.0162905812794248,0,0,0,0,0,0,0,0.108223033224122,0,0,0,0,0,0
X600276.SH,0,0,0,-0.185654325520638,0,0,0,0,0.158158682222481,0,0,0,0,0.251029921380628,0,0,0,0,0,0,0,0.0953952730649718,0,0,0.0403479880432037,0,0,0,-0.030326794357117,0,0,0,0,0,0,0.0958784320785143,-0.246921439735007,0,0,0,0.128090049599421,0,0,0,0,0,0,0,0,0.0836338970832164,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0249704081894501,0.114842593896343,0,0,0,0,0,0,0,0.181906513846826,0,0,0.0183921370866262,-0.0357691884239735,0,0,0.0248771581788481,0,0,-0.0906425485229539,-0.0363246754603883,0,0,0,0,0,0,0,0,0,0,0,0.102049567206236,-0.021330034196477,0,0,0,-0.0225676449068698,-0.0477711887603866,0,0,0,0,0,0.0971274040703606,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0226835097569041,-0.043265149905742,0,0,0.0925265655575621,0,0,0,0,0,0,0,0,0,0.0502542351566523,0,0,0.168639955752204,0,-0.0360434307378842,0.058262003133951,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0870607808000003,-0.09756513104701,0,0,0,0.140811545409815,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.640148064606444,0,0.0689196696404676,0,0,0,0,0.221767109965589,0,0,-0.253543146498665,0,0,0,0,0,0.00299767239565314,-0.00148882723688552,0,0,-0.0498512724621866,0.052647550820065,0,0,0,0,0.125420530973462,0,0,0,0,0,0,0,0.0167943178820551,0,0,0,0,0,0.0593326933537749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418478855812717,0,0
X002304.SZ,0,0,0,0.298324755691598,0,0,0,0.264802620286877,0,0,0,0,-0.16412321047611,0,0,0,0.238047805258425,0,0,0,0,-0.0506978947107772,0,0,0,0,0,0,0,0.131274527522819,0,0.113304360129408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895194563765607,0,0,0.0350862676229834,0,0,-0.0168837492959437,0,0,0,0,0,0,0
X600690.SH,0,0,0.342721330762222,0,0.228041727076337,0,0,0,0,0,0,0,0,0,0,0.205686155060252,0,0,0,0,0,-0.116082472033446,0,0,0,0,-1.38777878078145e-17,-0.0542468679461748,0.0151567743440531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122419751265805,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0.0162699960011351,0,0,0,0,0.0187210634073773,0,0.053773940621609,0,0,0.00719132984647531,0,0,-0.0375786815255849,0,0,0,0,0,0,0,0,0,0,0,0.256495552511912,-0.0791362884432604,0,0.210200209974131,0,0,0,0.0749546071506662,-0.0436643736260192,0,0,0,0,0,0,0,0.309788667641404,0,0.0173037566045402,-0.0377557171177351,0,0,0,0,-0.419782653078709,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.042000854390808,0,0,0.103415270449421,0,0,0,0,0,0,0.120403356116316,0.0873528573399671,0,0,-0.0136870543577118,-0.0119225969682854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116855081416556,0,0,0,0,0,0.0265463848457769,0,0,0,0,0,0.0760331932780985,-0.0265974358617736,0,0,0,-0.0930532441659471,0,0
