,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X002304.SZ,X600031.SH,X600690.SH,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X300142.SZ,X003816.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000100.SZ,X002179.SZ,X000596.SZ,X000157.SZ,X600460.SH,X002074.SZ,X000799.SZ,X002414.SZ,X600702.SH,X002007.SZ,X600741.SH,X600584.SH,X600183.SH,X002236.SZ,X601799.SH,X600089.SH,X600779.SH,X300146.SZ,X000800.SZ,X000066.SZ,X000977.SZ,X300003.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.145503849906655,0,0,0,0.0894385619853362,0,0.124862641175707,0.062743787380006,0,0.178325871573944,0,0,0,0,0,0,0,0,0,0.040351041458826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112313818485281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103282997467822,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0478336958632509,0,0,0.217925924956057,0,0.169202662038025,0,0,0,0.0892633909656366,0,0,0,0,0,0,0,0,0,0,0,0.0674116987956088,0,0,0,0,0,0,0.0278412124509014,0.0493837404562332,-0.167782343701401,0,0.0262961783051594,0,-0.119823525996638,0,0,0,0,0.120557194493351,0,0,0,0,0,0,0,0,-0.0622098154803218,0,0,0,0,0,0
X002415.SZ,0,0.116298026102751,0,0,0.170235201153122,0,0,0,0,0.0382299104005749,0,0.0638270971214235,0,0.114964925637228,0,0,0.0519673448086059,0,0,0,0.0162552714841092,0,0.0242346442267563,0,0,0,0,0,0.0551886034933421,0,0,0,0,0,0,0,0,0,-0.0479505400242464,0,0,0,0,0,0,0,0,0,0,0.0186602673837175,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.00610674419523611,0,0,0,0,0,0.226335679116274,0.189494409275256,0,0,0,0,0,0,0,0,0,0,0,-0.116656576986665,0,0,0,0,0,0,0,0,0,0,0,0,0.502457587599606,0,0.0126487747464348,0,-0.214100912486373,-0.0250654856456637,0,0,0,0,0,0,0,-0.0683828919121355,0,0,0,0,0,0.0334891768750451,0,0,0,0,0,0
X600276.SH,0,0.219314272457574,0,0,0,-0.209791152660428,0,0,0,0.174452187978554,0,0.134328689133955,0,0,0,0,0,0,-0.017416342390928,0,0,0,0.0141681358920711,0,0,0.0802441384820561,0,0,0,0,0,0,0,0,0.251836146187199,0,0,0,0,-0.149795662267081,0,0,0,0,0,0,0,0,0,0.00857399061210927,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0301717948411604,0,-0.128050405340096,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.121110550546133,0,0,0.211816188471323,0,0,0,0.0784169232056125,0,0,0,0,0,0,-0.0377251727966735,0,0,0,0,0,0.294743039712924,-0.0202057332302302,0,0.0418524988321646,0,0,0,0,-0.0591532235117126,0,-0.00616027482271887,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,-0.0219645933337286,0,0,0,-1.73472347597681e-18,0.107945464008542,0,0,0,0,0.146513357649038,0,0,0,0.0182443312666408,0,0,0,0,0,0.0166023660691826,0,0,0,-0.0793440719384208,0,-0.0470353837716052,0,0,0,0.0845492592749676,0,0.0608684153616845,0,0,0,-0.051267381479261,0,0.00760532159172053,0,0,-0.0261535350362867,0,0,0,0,0,0.0907499708692246,0,0,0,-0.071210281150946,0,0
X000568.SZ,0,0.210622805219335,0,0.14546942222064,0,0,0,0,0.052878390634825,0,0,0,-0.0259790070073847,0.0029026694496823,0,0,0,0,-0.137643880195992,0,0,0,0,0,0,0,0,0,0,0.220540715066638,0,0,-8.67361737988404e-19,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0613917955577492,0,0,0.0205378493805478,0.0809782385087066,0,0,0,0,0.0369968203185543,0,0,0,0,0,0
X002304.SZ,0,0,0,0.274196972908566,0,0,0,0.254490972443068,0,0,0,0,0,-0.0455195378514449,0,0.0597960013323706,0.152816482596089,0,0,0,0,0,0,0,0,0,0,0,0.0165001462898454,0.0318765455231962,0,0,0,0,0,0,0.0884287883144363,0,0,0,0,0,0,0,0,0,0.116738829108645,0.133380799473463,0,0,0,-0.0607262845547322,0.00731390900768123,0,0,0,0,0,0
X600031.SH,0,0.134713138111381,0,0,0.00449346475270721,0,0,0,0,0,0,0.0741048623811957,0,0.0113874589360563,0,0,0.141314516045034,0,0,0,0,0.00483185372812491,0,0,0,0,0,0,0,0,0.229339447134221,-0.0682160367230393,0,0,0.0596690559623848,0.0500660235953362,0,0.0331989664046573,0,0,0,0.0120202803773795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541344323638389,0,0
