,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X300014.SZ,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600702.SH,X601799.SH,X000157.SZ,X600779.SH,X600884.SH,X600584.SH,X002414.SZ,X000733.SZ,X600563.SH,X600183.SH,X600522.SH,X002180.SZ,X002007.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.465019283617667,0,0.0537539853211109,0,0.0779537279907016,0,0,0,0,0,0,0,0,-0.105009745012196,0,0,0,0,0,0,0,0,0,0,0,0.0209660737802166,0,0,0,0,0,0,0,0,0,0.0420309786232641,0,0,0,0,0,0,0,0.0108109208088215,0,-0.0013186921134908,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.352477613481581,0,0.0877589418462465,0,0.0914325374893418,0,0,0,0,0,0,0,0,0,0,0,0,-0.0858436276549134,0,0.0369459879764388,-0.0670382898446613,0.013801362603714,0.190976306806169,0,0,0,0,0,0.0567496749529756,0.0081031034871572,0,0,0,0.116407267662716,0,0,0.0424211243042939,0,0,0,0,-0.0427376681920052,0,0,0,0,0,0,-0.0120985244420358,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.264106824370694,0,0,0.0387516252888856,0,0,0,-0.064710438306656,0,0,0,0,0,0.034032867071672,0,0,0,0,0,0,0,0,0,0.0377663486330406,0,0.140531471055189,0,-0.0172224368843862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146932355121019,0,0,0,0,0.00424396371280739,0,0
X600809.SH,0,0.293079852911297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00120779471656166,0,-0.0256243180837488,0,0,0,-0.167081904690714,0,0,0,0,0.491396557358444,0,0.0377679221784549,0,0,0,0,0,0,0,0,0,-0.0794734047108641,0,0,0,0,-0.0536245631434916,0,0,0,0,0,0
X600276.SH,0,0,0,0.0924177708652279,0,0,0,0,0,0.237100579795432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194180647048933,0,0,0,0,0,0,0,0.367536040097798,0,0,0,0,-0.198492738211424,0,0,0,0,0,0.109337474688869,0,0,0,0,0,0.0132257525093616,0,0,0,0.0514921234944017,0,0
X000568.SZ,0,0.181761352984385,0,0.0298906520205864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118936463509627,0,0,0,0,0,0,0,0,0,0,0.241626016432231,0,0,0,0.163788489047092,-0.0333802148470714,0,0,-0.0244849706545144,0,0,-0.0400708121765509,0,0,0,0,0.0478227117170271,0,0,0,0,0,0,0
X002475.SZ,0,0.110009347271931,0,0,0,0,0,0,0,0,0,0,0.0116037508077926,0,0,0,0.130431941190269,0.210312152793985,0,0,0,0,0,0,0.0023513263528368,0,0,0,0,0,0,-0.108051787806934,0,0,0,0,0,0,0,0,0,0,0,-0.0834308859330508,0,0,0.0425258373750551,0,0.0769656770076592,0,0,0.00275952495440667,0.0102664077053462,0,0,0,0.0953331169361142,0,0
X300014.SZ,0,0,-0.125259920363188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848327961220992,0,0,0,0,0.110545999322592,-3.46944695195361e-18,0,0.0504777456987235,0.00888309563025051,0.0996993300017397,0,0,0,0,0,0,0,-0.144399768540702,0,0.121006413107426,0.0834587041353346,0,0.104054689502155,0,0,0,0,0,0,0,0,0,0,0,0,0.0793402742978876,0,0,0,0.166906549500301,0,0
X600690.SH,0,0.117308427955306,0.0419814480860415,0,0.00504172414576087,0,0,0,0,0,0,0,0,0.00983521051417406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116300253514846,-0.0857881970436736,0.236779347714358,0.0240259810888901,0,0,0,0,0,0,0,0,0,0,0,0,0.0611497627470823,0,0,0,0,0,0.0439398529835879,-0.00140306981355289,0,0,0,0,0,0,0
X002304.SZ,0,0.269682917317807,0.0179143701802379,0.207353410452979,0,0,0,0,0.124766083993322,0,0,0,0,0,0,0,0,0,0,0,-0.0854319003091834,0,0,0.0216752390876494,0,0,0,0,0,-0.00341989360220728,0,0,0,0,0,0,0,0,0,0.143178045816745,0,0,0,0,0,0,0,0,0,0,0,0.0317704751717425,0,0,0,0,-0.0292017299236221,0,0
