,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X002371.SZ,X300124.SZ,X600703.SH,X000063.SZ,X000338.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600702.SH,X600741.SH,X600089.SH,X002236.SZ,X000799.SZ,X600779.SH,X000157.SZ,X601799.SH,X002180.SZ,X002414.SZ,X600522.SH,X000733.SZ,X600884.SH,X600584.SH,X002008.SZ,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.488652578432476,0,0.0516403474582486,0.0284861213129309,0,0,0,0,0,0,0,0,-0.113486721358066,0,0,0,0,0,0,0,0.0415515775868194,0,0,0,0,0,0,0,0,0,0,0,0,0.00232088123046866,0,0.0166013134674184,0,0,0,0,0,-0.00863296913864971,0,0,0,0,0,0,0,0,0,-0.00446715277696643,0,0,0,0,0,0
X000858.SZ,0,0,0,0.369107700173439,0.0660587745495356,0,0,0,0,0.0800382164842603,0,0,0,0,0,0,0,0.0473010907962117,0,0,-0.0469615327450101,0,0,0,0,0.308600001078831,0,0,0,0,0,0,0.077339822291976,0,0.0501967627179297,0,0,0.0757325775779864,0,0,0,0,-0.00352773133021506,0,0,0,0,0,0,0,0,-0.0177642016495277,0.0199760813245274,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0146159958730972,0,0.0962924814442909,0.281183421900414,0,0,0,0,0,0,0,-0.00366561350313183,0,0,0,0,0,0,0,0,-0.0576295432254378,0,0,0,0,0,0,-0.0394193794239081,0.0631685878876084,0,0,0,0,0,0,-0.144813021027242,0.071793834451986,0,0,0,0,0,0,0,0,0,0,0.00472370228541436,0,0,0,0,0,0
X600809.SH,0,0.307123583221454,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639926898133544,0,0,0,0,0,0,0,0,0,0,0.142211421479503,0,0,0,0,-0.0431296920490889,0,0,0,0,0,0.251434557263164,0,0,0,-0.0307384680986768,0,0,0,0.0375847085144168,0,0,0,0,0,0,-0.0270099289750268,-0.0628178504635475,0,0,0,0,0,0
X000568.SZ,0,0,0,0.171016675999314,0,0,0,0,0,0,0,0,0,0,0.0102040677203471,0,0.0484704339951295,0,0,0,0,0.492684402426277,-0.0668898300835745,0,0,0.0356868744316788,0,0,0,0,0,0,0,0,0,0,0,0.150546366635692,0,0,0,-0.196911782555923,-0.111284707663175,0,0,0,0,0,0,0,0,0,0.0216500205101647,0,0,0,0,0,0
X002475.SZ,0.0623268762134339,0.123874180296382,0,0,0,0,0.0759037174275367,0,0,0,0,0,0,0,0.0251768482832479,0.0556740263488316,0.191760929400997,0,0,0,0,0,0,0,0,0,0,0,-0.0483076777441145,0,0.167572801240392,0,0,0,0,0,0,0,0,0,0,0,0.0564257469408663,0,0,0,0,0,0,0,0,0.0180918842986866,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0937377387025947,0,0,0,0,0,0,0,0,0,0,0,0,0.0180445041149846,0,0,0,0.139254742710016,-0.294217779804366,0,0.0282297947922365,0.137809912575596,0,0,0.00474044961684092,0,0,0,0,0,0,0,0,0.0305800784064715,0,-0.0594531179416378,0,-0.104250432176337,0,0.195335046062932,0,-0.0120228250783923,-0.00838653842881445,0.0182520527250167,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0142641430614938,0,0,0,0,0,0,0,-0.0937704465094048,0.0338024829919808,0,0.00726116987104225,0,0,0,0,0,0,0.309649421762038,-0.118211193126594,0,0,0.0208138209400793,0,0,0,0,0,0,0,0,0,-0.0413690258137506,0,0,0.00493276683370566,0,0,0,0.00957803750615235,0,0,0,0,0,0,0
X002304.SZ,0,0.234567311007166,0.0212006243329951,0.248783292189321,0,0,0,0.252877706259771,0,0,0,0,-0.129603325874554,0,0,0,0,0,0,0,-0.10865476757964,0,0,0,0,0,0,0,0,0.055236902488868,0,0,0,0,0,0.141731116235761,0,0.0323054993193495,0,0,0,0,-0.0448443415953633,0,0,0,0,0,0,0,0,0.00671630533043833,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.536605753779551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670589617640016,0,0,0,0,0,0.0077197576616053,0,0.134137788143943,0.0640534282747344,0,0,0.13782271791413,0.046749994323547,0,0,0,0,0,0,0,0,0,0.128583304951822,0,0,-0.0360542989395041,0,0,0,0,0,0,0,0,-0.0354283574308423,0.084377818604306,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0279386620263727,0,-0.114390995598548,0,0,0,0,0,0,0,0.0862373762163605,0,0,0,0,0.0461723080851977,0,0,0,0,0.0277971776025484,0,0,0,0.0264007004583981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244655497330601,0,0,0,0,0,0.0494514069477098,0,0,0,-0.0258737426196978,0,0
X000651.SZ,0,0,0,0,0.02289959999903,0,0,0.137052098492729,0,0,0,0,0,0,0.0966234877654486,0,0,0,0,0,0,0.12514195945589,0,0,0,0,-0.0618929244141669,0,0,-0.040636726128274,0,0,0.162638189664073,0,-0.0925378432847206,0.0279812676369038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255914496462806,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0157544605821823,0,0,-0.0202448796839683,0,0,0,0,0,0,0,0,0,0.274612788817817,0,0,0,0,0,0.00629320357981358,0,0,0,0,0,0,0.041788876145498,0,0,0,0,0,0.133127860149889,0,0,0.0490492405637264,0,0.00753152771674084,0,0,0,0,0,0,0,-0.0110132457533583,0.0355101482911793,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0371122375783155,0.00148619443093909,0.0199393131454853,0,0,0,0,0,0,0,0.0172483813735944,0,0,0,0,0,0,0,0.0210554960960668,0,-0.0360277328469061,0,0,0.0531011012071231,0.35628522613161,0,0,0,0,0,0,0,0.179110847851072,0,0,0,0.0658570054700878,-0.0108868100346137,0,0,0,0,0,0,0,0,-0.0225418635882378,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.290961863175232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216089576536523,0,0,0.197507043112821,0,0,0.106725769249746,0,0,0,0,0,0,0,0.0707159559573981,0,0,0,0.529921483870298,0,0,0,0,-0.00299358549167594,-0.0198267635039558,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0.02989405698072,0,0,-0.0652243217887491,0,0,0,0,0.11124898569135,0,0,0,0,0.0243898256858088,0,0,0,0.0284236265025959,0.00973891424060611,0,0,0,0,0,0,0.282746716844835,0,0,0,0,0,0,0,-0.0594574882838764,0.0847628231420291,0.0838759773505775,0,0,0,0,0.574024416115094,0,0.025482083380324,-0.0647593971563494,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.170953968549786,0,0,0,0.0466275964297944,0.112974173154267,0,0,0,0,0,0,0.0632553809731946,0,0,0,0,0,0,0.191932317916168,0,-8.67361737988404e-19,0,0,-0.044029075288172,-0.0359619130584695,0.0740800600981399,0,0,0,0,0,0,0.282264763249129,0,0,0,-0.0682065779031557,0,0,0,0.0759820467557468,0,0,0,0,0,-0.108507850618709,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128065276524833,0.209032105491807,0,0,0,0.205242117185946,0,-1.73472347597681e-18,0,0,0,0.149606927904162,0,0,-0.0920368749514267,0,0,0,0,0,0,0,0,0,0,0.152727470405231,0.0248768937627269,0,0,0.223175864178674,0,0.110853047289244,0,0,0,-3.46944695195361e-18,0,0.138671966348643,-0.183631074727857,0,0,0,0,0,0
