,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600741.SH,X000100.SZ,X600089.SH,X300142.SZ,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600884.SH,X600522.SH,X000157.SZ,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.521947033909903,0,0,0.00272648967780058,0,0,0.121841999592841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863074973543687,0,0,0,0,0,0,0,0,0,0,0,0.075960935980673,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0262192152417537,0,0,0,0,-0.00255616152916957,-0.00918348817564728,0,0,0,0.00996760063655252,0,0
X000858.SZ,0.205646963844487,0,0.0592558255865776,0,0.142569833023446,0.0411496443531269,0,0.0668006055956397,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832049289979182,0,0,0,0,0,0,0,0,0,0,0,0,0.106957697041258,0,-0.0370221420879479,0,0,0,0.0834849560514331,0,0,0,0,0,0.0124428851783645,0,0,0,0.0119711617811427,-0.0108105627945548,0,0,0,-0.00845321260946864,0,0
X002415.SZ,0,0,0,0,0,0.124872870555577,0,0,0,0,0,0,0,0,0,0.0298801727033464,0,0,0,0,0.0108196363308989,0,0,-0.0253499610724344,0,0,0,0,0,0,-0.18081179035037,-0.00568785121388804,0,0,0.0733081087284418,0,0,0,0,0,0,0,0,0,0,0.0892417080123187,0,0.107820738149479,0,0,0,0.0203296539931237,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.168480872869934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195165110571225,-0.251978867352338,0,0,0,-0.184916951502688,0,0,0,0,0,-0.025938293108783,0,0,0,0.134138797407121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345953281556451,0,0,0,0,0,0,0,0
X000568.SZ,0.547898958176088,0,0,0,0,0,0,0,0,0,0,0,0.0711430615581305,0,0,0,0,0,0,0,0,0,0,0.174989700234552,0,0,0,0,0,0,0,0.029048483041008,0,0,0,0,0,0,0,0,0,0.0546236703240038,0,0,0,3.46944695195361e-18,0.0162303146276818,0.035816068442972,0,0,0,0.0319743836835462,0,0,0,0,0,0,0
X002475.SZ,0.0705131788913347,0,0,0,0,0,0,0,0,0,0,0,-0.0531081679421586,0,0,0.335140496743967,0,0.229327680831361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523666464158224,-0.0540839791526993,0,0,0,0,0,-0.130612451622316,0,0,0,0.0749148658305836,0,0,0,0,0,0,0,0,-0.0567768303617114,0,0,0,0,-0.0340336671629475,0,0
X600276.SH,0.0733380557621885,0,0.0468726214092763,0,0,0,0,0,0.246339258049521,0,0,0,-0.092340975217929,0,0,0,0,0,0,0.314892311122719,0,0,0,0,0,0,0,0,-0.0706962198190374,0,0,0,0,-0.00648472874023337,0.0587417817325942,0,0,0.0319039756299592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253902437651174,0,0,0,-0.0343600902219697,0,0
X002304.SZ,0,0.145448827307876,0,0,0,0,0,0,0,0,0,0,0.0773878138057307,0.0125857857404338,0,0,0,0,0,0,0,0,0,0.169109791197635,0,0,0,0,0,0,0,0,0,0,0,0.0716620159114899,0,0,0,0,0,0,0,0,0,0.0834712824166718,0,0.0663813555865753,0,0,0,0,0.0245066279892355,0,0,0,0.0283430006760981,0,0
X600690.SH,0,0.147514793734385,0,0,0,0,0.334009052553213,0,0,0,0,0,0,0,0.0726591065476541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129051742457728,-0.0240480978145711,0,0,0.0806738096297065,0,0,0,0,0,0,0.00319958795430114,0.154141000055123,0,0,0,0,0,0.00470422264466199,-5.42101086242752e-20,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0555040468298031,0,0,0,0.044640530116589,0,0,0,0,0.12080712125357,0.155574297027388,0,0,0,0,0,0,0,0,0.0547070152088692,-0.00977993252119024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00650403180924964,-0.0134538214348805,0,0,0,0.000935024127506711,0,0
X600104.SH,0,0,0,0,0,0.0135785624947934,0,0,0,0,0,0,0,0,0,0,0,0.0364085657675127,0,0,0,0.13435252916855,0,0,0,0,0.0226776323934505,0,0.0206184054328472,0,0,0,0,0,0,0,0,0.0166318105706932,0.0186366370132748,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295472549693391,0.00861139817880788,0,0,0,0,0,0
X000725.SZ,0,0,0,0,4.33680868994202e-19,0,0.089649708968227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672231374403562,0.000246580879975731,0,0,0,0.00486034202966361,0,0,0.313764515718588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033687082710132,0,0.0279420682116502,0,0,0,0,0.0151857753519992,0,0,0,0.0277898695379593,0,0
X300014.SZ,0,0,0,0,0,0.0325064860041631,0,0,0,0,0,0,0,0,0,0,0,0.0557394173134158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224407971539612,0.381761820436168,-0.00816834261315449,0,0.1057080857366,0.128275290537516,0,0,-0.0356014682163866,0.287955490230007,0,0,0,0.175841086022599,0,-0.20277789139094,0,0,0.0421465350724175,0,-0.0389346455576391,0,0,0,-0.0508815677105673,0,0
