,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600563.SH,X601799.SH,X002236.SZ,X002176.SZ,X600584.SH,X600487.SH,X000800.SZ,X002414.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0445517536150119,0,0.169955164611524,0,0.0472274726421676,0,0,0.102939934840267,0,0,0,0,0,0,0,0,0,0.0550696460620961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143791356992656,0,0,0,0,0,0,0,0,0,0,-0.0174245699521722,0,0,0,0,0,0,0,0,-0.00171928702799994,0,0
X000858.SZ,0,0,0,0.430198668204486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145945809992288,0,0,0,0,0,0.0960830454945799,0.112016879662363,0,0.0664675580393072,0,0,0.0148445751995258,0,0,0,0,0.0887650441014182,0,0.00501466618441586,0.0107701640846128,0,0,0,0,0,0
X600809.SH,0.180327672715604,0,0,0.398768241117216,0.0786481139678165,0.05725970411415,0,0.0562214305124164,0,0.0323499408430903,0,0,-0.0401090324102826,0,0,0,0,0,0,0.107850176985396,-0.0486239774543033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067015460368215,0,0,0.0379709340792156,0,0,0.034572880158946,0,0,-0.151870150991138,0,0,0,0,0,0,-0.00887540092483919,0,0,-0.0306345391349561,0,0,0,0
X000568.SZ,0,0.255670498389092,0,0,0,0.0312921075986363,0,0,0.0356242514542051,0,0,0,0,0,0,0,0,0,0,0.0137487343997204,0,0,0,0,0,0.043184980049002,0,0,0,-0.0309961678710448,0,0,0,0,0,0,0,0,0.426159506247531,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318990112618018,-0.00745735466671965,0.00848031501642695,0,0,-0.0580448389822293,0,0
X002415.SZ,0,0,0.0774176875929177,-2.77555756156289e-17,0,0.570479297280686,0,0,0,0,0,0,-0.125367301272024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.0103085589713125,0,0.776054787936482,-0.0499450639831296,0,-0.00893606636018283,0,0,0,0,0.126952183416345,0,0,0,0,0.00704003757837765,0,0
X002304.SZ,0,0,0.116535387808649,0.0772074149252087,0,0,0.04566525968153,0,0,0,0,0,0,0,0,0,0,0,0.148421572439914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700568356515576,0,0.172342783773531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225018575925814,0,0
X600276.SH,0,0,0,0,0,0,0,0.182525130770975,0,0,0,0,0.0454681371199477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907317930936951,0,0.0204109069003633,0,0,0,0.239785382540827,0,0,0,0,0.0774003313481816,0,0,0.0349033887150701,0.11490572237486,0,0,0,0,0,0.0138494367745955,0,0.285654017619643,0,0.0612157409631468,0.0278046401012502,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.000977342100817311,0,0,0,0.0639672969688672,0,0,0.194057297883154,0,0,0,0,0,0,0,0,0,0.0337659560897333,-0.0466904779183202,0,0,0,0,0,0,0,0,0.00304515599331623,0,0,0,0,0,0,0,0,0,0,0,0,-0.00644638384661637,0,0,0,0,0.00524344423115005,0,0
X002475.SZ,0,0,0.0734199520944413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149509642860031,0,0,0,0.129365137638736,0,0,0,0.0422619073575768,0.13684230250931,0,0,0,0,0,0,0,0,0,0,0,0.115334235432,0,0,0.121313818989447,0.12889783880146,0,0,0,0,0,0,0,-0.0681749534039784,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136903333296842,0,0,0,0.0522366763899354,0,0,0,0,0.113728437387174,0,0.138784680198561,0,0.0663739643910076,0,0.0811115981076383,0,0,0,0,0,0,0,3.46944695195361e-18,0.112194547119406,0,0,0,0.0830033441355584,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0112904659900314,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448263832715414,0.012279138597152,0,0,0,0,0.25891866957206,0.0231634344616447,0,0,0.139734925636779,0,0,0,0,0,0,0,0.121207704035903,0.14616265911869,0,0,0,0,0.0482437239210572,0,0,0,0.0336213494168337,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160333550202172,0,0,0.0296917931993189,0,0,0,0.0576905870653342,0,0,0.105209254924498,0,0,0.0506360916557191,0.041015000237086,0,0,0,0,0,0,-0.0795532563316289,0,0,0,0,0,0,0,0.0260652783569886,0,0,0,0,0,0,0,0.0993743581829448,0,0.00130863494001724,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,-0.0288566045385675,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00361286163312966,0,0,0,0.169106894090274,0,-0.050095178129909,0,0,0,0,0.478857441087773,0.0485795803459172,0,0,0,0,0,0,0,0,0,0,0,0,0.406893911334696,0,-0.249724131137041,-0.00738930752120386,0.0369662679644442,0,0,0,0,0.0850238089238221,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.000777233721262713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393368581886321,0,0,0.00542068470494406,0.0716415001035679,0.0662438317103363,0,0.263484524714054,0,0,0,0,0.0333943487628862,0,0,0.201826857187497,0,0,0.126457184048232,0,0,0,0,0,0,0.0210863681269885,0,0,0,0,0.088261774088861,0,0
