,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X600584.SH,X300003.SZ,X600779.SH,X002007.SZ,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.305075071397437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023762347904793,-0.0801287518225072,0.109564159772376,0,0,0,0,0.12954856110237,0,0,0,0.0862639415086202,0,0,0,0,0,0,0,0,-0.0253731923146527,0.0300651825419064,0,0,0,0,0,0
X000858.SZ,0,0,0.273884768075352,0.300644525695093,0,0,0,0,0,0,0,0,0,0,0.216512789318921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00296104755883332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511860728522745,0,-0.00748920760675858,0.00402270053564275,0,0,0,0,0,0
X600809.SH,0.23687527618368,0,0,0.447129504487612,0,0,0,0,0,0,0,0.0546255192332031,0,0,0.123722114857883,0,0,-0.0210633857602207,0,0,0,-0.0726546263386079,0,0,0,0,0,0,0,0,0.0439386688654472,0,-0.128009327643068,0.0786447563419952,0,0,0,0,0,-0.0265927101213313,0,0,0.0569345940424146,0,0,0,-0.025126488084817,0,0,0,0,-0.00262095262246418,0,-0.0111041685046291,0,0,0,0,0
X000568.SZ,0.254616057988333,0.278095330079292,0.429934255369128,0,0,0,0,0,0,0,0,0,0,0.178888263618918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105706199218952,0,0,0,0.145677097018183,0,0,0,0,-0.0616685088566347,0,0,0,0,-0.0368340965926821,0,0,-0.0123540631564262,0.0127239416032129,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0480711095853807,0,0,0,0,0,0,0,0,0,0.147987041978366,0,0,0,-0.0176495759646065,0,0,0.137413348912843,0,0,0,0,0,0.0748487248225829,0.0441413784274893,0,0,-0.00468318918321527,0,0,0,0.077395244865766,0.0580102062897084,0,0,0,0.0968773346793917,0.0561683560074146,0,0,0,0,0,0,-0.0160658598241684,-0.0252990999836007,0,0,0,0,0,0
X002304.SZ,0,0,0,0.346089069331213,0,0,0.0425056670400776,0,0,0,0,0,0,0,0.000638154483275468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026172217313572,0,0,0.0605609471168001,-0.0323528836610943,0,0,0,0.0929332264771259,0,0,0,0,0,0,0.179769755755659,-0.0588159332834412,0,0,0,0,-0.0129202601987463,0.0171562840905829,0,0,0,0,0,0
X600690.SH,0,0,0,0.110960095192157,0,0.129474359618474,0,0,0.16620104925584,0.363847611440198,0,6.93889390390723e-18,0,0,0.0673764830205014,0,0,0,0.1082623139932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314746512537472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510533200435401,-0.12704258576227,0,0,0.0134777249201434,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305454703521051,0,-6.93889390390723e-18,-0.196882702647023,0,0,0.041479588221077,0,0,-0.122556145724979,0.216577349448646,0,0,0,0,0,0,0,0,0,0,-0.0455817379598822,0.123463895164251,0,0.0757991978999475,-0.114570105730848,-0.00230136901710818,-0.00663408222690866,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.252419070242389,0.199738672894702,0,0,0,0,0,0,0,0,0.311412101979871,0,0,0,0,0,0,0,0.250090162288527,0,0,0.160630757484289,0,0,0,0.116773063245516,0,0,0,0,0,0,0,0,0.0791366547922917,0,0,0,0,0.0938222512760887,0.0419935538740997,-0.0189480071809198,-0.10555828175743,0,0,0,0,0,0
X000651.SZ,0,0,0,-3.46944695195361e-18,0,0,0.203612004623152,0,-0.0438390643710984,0,0,0,0,0,0.110486207979691,0,0,0,0,0,-0.0204094591344472,0,0,0,0,0.145200688104469,0,-0.11673356061284,0,0,0,0,0,0.0837833194234098,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,-0.0665694607759792,0,-0.0165739866205951,0.0212670680583007,0,0,0,0,0,0
