,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X002129.SZ,X002236.SZ,X600089.SH,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X601877.SH,X600522.SH,X000977.SZ,X600418.SH,X000800.SZ,X002074.SZ,X002007.SZ,X600183.SH,X601799.SH,X002463.SZ,X300142.SZ,X600702.SH,X002456.SZ,X002180.SZ,X002028.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0674053605476556,0,0.330099573196321,0,0.0272225456142016,0.0724978732205363,0,0,0,0.07744626260942,0,0.00435648775766588,0,0,0,0,0,0,0,0.0415434236298494,0,0,0,0,0,0,0,-0.000866968389396892,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.142341729897712,0,0,0,0,0.0292688873233379,0,0,0,0,0
X000858.SZ,0.124686735938083,0,0,0.253650626609656,0,0,0,0,0,0.00238296117135805,0,0,0.092089567772161,0,0,0.0986826984030741,0,0,0,0,0,0,0,0,0,-0.0148699945496317,0,0,-0.0977096915339778,0,0,0,0,0,0,0,0,0.0188497355280971,0,0,0,0,-0.157125467967007,0,0,0.100851408768559,0,0.19776736601875,0.0362766850772453,0,0,-0.00946084644223743,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187581372039941,0,0,0,0,0,0,0,0,0.136128850959663,0,0,0,0,0,0,0,0,0,0,0.154456288820308,0,0,0,0,0,0,0.00685985602619896,0,0,0,0,0,0,0.0455397310008379,0.0116490324103735,-0.0370937854030873,0,0,0,0,0,0
X000568.SZ,0.368818817568384,0,0,0,0,0.330888881048495,0,0,0,0,0,0,0,0,0,0.216987004663961,0,0,0,0,0,0,0,-0.00293234298243074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212411987831494,0,0,0.0551279646917196,-0.050608111983721,0,0,0,0,0,0.00357741360686374,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.222639055402025,0,0,0,0,0,0,0,0,0.11199224457819,0,0,0,0,0,0,0,-0.0679258143105751,0.042994988945869,0,0,0,0.286033227597425,0,0,0,0,0,-0.0609268527138353,0,0,0,0,0,0,-0.105522311946341,0,0,0.0133099154535148,0,0,0,0,-0.0209953065367184,0,0,0,0,0,0,0
X600809.SH,0.251330633489421,0,0,0.308806482349702,0,0,0.0213154641379715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105030500779395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057692883036421,0,0,0.0184119175314751,0,0.0321024010754676,-0.0609884889591136,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0567304080074346,0.201895292058461,0,0,0,0,0,0,0,0,0,0,0,0.134498727331507,0,0,0.0180822882126436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173024416732766,0,0,0,0,0,0,0,0.291296244758851,0,0,0,0,0,0,0.0435619500558119,-0.101560899671249,0.14154491541344,0,0,0,-0.231250308990473,0,0
X600690.SH,0.157255918325716,0,0,0,0,0,0,0,0,0,0,0.0454317822830476,0,0,0,0,0,0,0.0710222279500954,0.0558661292213162,0.0626164514052914,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0367668917701657,0,0,0,0,0.0711617006820484,0,0,-0.00840912638714998,0,0,0,0,-0.0157808771139189,0.0221891586498844,0,0,0,0,0,0
X000651.SZ,0.0771622672758938,0,0,0,0.0778336754561262,0,0,0,0,0,0,0.19488376422794,0,0,0,0,0,0,0,0.116800026489809,0,0,0,0,0.0784954320632561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125279150582037,0,0.00668751492754607,0,-0.0723580914122259,0,0,0,0,0.0111021256297683,-0.0493342056858503,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0962923544851795,0,0.0837071995394161,0,0,0,0,0,0,0.246798979217271,0,0,0,0,0.0451698286927786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398382914657264,0,0,0,0,0,0,0.060791345406104,0,0.120728316208504,-0.111493787271645,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.0238180596427989,0,0,0,0,0,0,0.149662720936406,0,0,0,0,0.133177752688623,0,0,0,0,0,0.196259674142614,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556078008850037,0.104019629302732,0.0275437716284069,0,0,0,0.0373231797522748,0.00530376094134255,0.112095258181823,0,0,0,0,0,0,0,0,0,-0.0394940197286516,0.00814397970789958,0.00610802411251932,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.0614321544896456,0,0.219859129773638,0,0,0,-0.111469755312717,0,0,0,0,0,0.300403537243141,0,0,0,0,0.00320635173564902,0.0216984294009318,0,0,0,0,0,0,0.102141906564641,0,0,0,0,0,-0.0142157815377329,0,0,0,0,0,0,0,0,-0.058420324865756,0.0583604426095143,0,0,0,-0.0435728720931107,0.09227783264174,0.11763606399452,0,0,0,0,0
