,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000625.SZ,X002371.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X600089.SH,X002179.SZ,X300014.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X000661.SZ,X002129.SZ,X002028.SZ,X002049.SZ,X002463.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X601799.SH,X600066.SH,X000921.SZ,X000800.SZ,X002223.SZ,X600183.SH,X002007.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.315994119694976,0.0843815441527855,0.0964994733185377,0,0,0.122136048200236,0,0,0,0.0488134799633047,0,0,0,0,0,0,0,0,0,0,0.0737919216740222,-0.0112436306943348,0,0,0,0,0,0,0,0,0,-0.00551940065619385,-0.0253365918296182,0,0,0,0.13084838336043,0,0,0,0,0,0,0,0,0,0,0,0.0181711524086112,-0.0159348813974384,0,0,0,0,0,0
X000858.SZ,0,0,0.0377443937747422,0,0,0.486857123305181,0,0,0,0,0,0,0,0,0,-0.0420394830517323,0,0.0467519953888199,0,0.0186695823442554,0,0,0,0.113956902180148,0,0,0,0,0,0,0,0,0,0,0,0.0178189727267649,0,0,0,0,-0.0125509318864588,0,0,0,0,0,0,0,0,0.121233871264868,0,-0.00284267728731804,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.19660844228874,0.0123556682215186,0,0,0,0,0.0631486482679205,0,0,0,0,0.091986652511384,0.189797814581201,0,0,0.202297424705948,0.0673116562409709,0,0,0,0,0,0,0,0,0,0,0,0.000872231677463086,0,0,0,0,0,0,0,0,0,0,0,-0.0161055567510663,0.0173567296665871,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.514856314938448,0,0,0,0,0,0,0,0,0,-0.00969641607041524,0,0.419113320532641,0,0,0,0,0,0.0298139819179215,0,0,0,0,0.0189637807086687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126300522187257,0,0,0,0,-0.0418892477834721,0,-0.0624098830272534,0.033460405830418,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352346789187105,0.166218600504132,0,0,0,0,0,0,0,0,0,0,0,0,0.00999669574708174,0,0.205182218777381,0.00904828848650502,0,0,0.148888000347807,0,0,0,0,0,0.101797876304973,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0101355283362687,0,0,0,0,0,0,0
X000568.SZ,0,0.774428015868349,0,0.179922783583836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12696697999746,0,-0.0774017136740067,0,0,0,0,0,0,0,0,0.0124564546677871,0,0,0,-2.16840434497101e-19,0.106006676061687,0,0,0,0.0399163807773856,-0.0201535682873816,0,0,0,0,0,0,0,0,0,0.0145247867349323,0,0,0,0,0,0,0
X600690.SH,0,0.0377371017498752,0,0,0.0146784772751226,0.307074368958723,0,0.0916068694919131,0,0,-0.0180953899468346,0,0,0,0.0638869544256477,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418056906764012,0,0,0,0,-0.0079481784294478,0,0,0,0,0,0,0,0,0.0654780431662029,0,0,0,0,0,0,0,0,0.0223039861651965,-0.00740947397350092,0.0327177159031474,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0684372533637332,0,0,0,0,0,0,0,0,0.0301294963565286,0,0,0,0,0,0,-0.115208024911219,0,-0.178339306864141,0,0,0,0,0,0,-0.0715446594377982,0,0,0,0,0,0,0,0.190721231587761,0.0386861828817464,0.436176097798298,0,0,0,0,0,0,0,0,0,0,-0.00556797372415537,0.0683239450944811,0,0,0,0,0
X002475.SZ,0.0380522951627353,0,0,0,0,0.0821833222879802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161059357677552,0,0,0,0.390600981577982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180733412981214,0,0,0,0,0,0,-0.0864079031142609,0.0663570944115051,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676544472369416,0,0,0,0,0,0,0,0,0.00729775911704895,0,-0.113789994460004,0,0.107785164233429,0,0,-0.104152471403323,0,0,0,0,0,0,0,0,0,0.332130761240749,0,0,0,0,0,0,0,0.044113880793731,0,-0.0557344502998033,0.0251496264473368,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0860634540926444,0,0,0,0,0,0.184215439179721,0,0,0,0.0582580315667945,0.044544742930558,0,0,0,0,0,0,0,0,0,0.0489016185713563,0,0,0,0,0,0,0,0,0,0.0250417786777322,0,0,0,-0.0513232187007715,0.0636992126743927,0,0,0,0,0,-0.00900552719084008,0,0,0,0,0.0279892879515248,0,0,0,0,0,0
X300124.SZ,0,0,0.213307448296331,0,0,0,0,0,0.0219486648405123,0,0.261653017192965,0,0,0,0,0.087830783486052,0.13681377361132,0,0,0,0,0,0.199145211280793,-0.225714079344587,0,0,0,0.0956883697566932,0,0,0,0,0,0,0.11475284995207,0,0,0,0,0.193043394487889,0,-0.118582618371742,0,0,0.0389585735108395,0,0,0,-0.139896185992959,0,0,-0.00360963266507916,0,0,0,0,0,0,0
X002304.SZ,0,0,0.176307593125271,0,0,0.452611017525602,0,0,0,0,0,0,0,0,0,0.0442455620457133,0,0,0,0,0,0,0.0265520829964598,0.0447477718112081,0,0,0,0,0,0,0,0,0,0.0339268501311503,0,0,0,0,0,0,0.0124708593234671,0,0,0,0,0,0,0.0258840826884461,0,0,0,-0.00849030902343589,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.165197765599163,0,0,0,0,0,0,0,-0.0320903378473597,0,0,0,0,0,0,0,0,0.413389442296441,0,0,0,0,0.00466479795217492,0.211476292683227,0,0,0,0,-0.0368721854394852,0,0,-0.0956197386907751,0.0272222591861718,0,0,0,0,0,-0.0593989441039115,0,0,0,0,0,0,0,0,0,-0.0233460559338133,0.0190384761296658,0,0,0,0,0,0
X000338.SZ,0,0,-0.0485956606886666,0,0,0,0.257334067672687,0,0,0,0,0,0,0,0,0.444623724431317,0,0,0,0,0,0,0,0,0,0,-0.298788417919389,0,0,0,0,0,0,0,-0.0201808171865351,0,-0.0403309018800218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900988992842224,-0.0704225937850049,0.0856966566660199,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.250981119285668,0,0,0,0.173400750423147,0,0,0.152991003163086,0,0,0,0,0.023572349727593,0,0,0,0,-0.060864211003448,0,0,-0.169223473843753,0.0358911054925334,0,0,0,0,0.0736276239190661,0,0.277427988029465,0,0,0,0.338945897616289,0,0,0,0,0.268132001855044,0,0,0.203574302314221,-0.0442490529645261,0.0496831761702796,0,0,0,0,0,0
