,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X600066.SH,X002028.SZ,X000661.SZ,X000921.SZ,X002129.SZ,X600584.SH,X600522.SH,X601877.SH,X000800.SZ,X601799.SH,X600566.SH,X600183.SH,X002074.SZ,X600418.SH,X002223.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.243589248809038,0,0.0426302950690018,0.0636423794512483,0,0,0,0.172560734186755,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0617771393187102,0,0,0,0,-0.0770370667262822,0,0,0,0,0,0,0,0,0,0.021835388358653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217088861802557,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.48569413188216,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0137338700559156,0,0,0,0,0,0,0,0,0,0,0.0100412852679012,0,0,0,0,-0.00852790920590975,-0.0169351913631693,0,0,0,0.0972515914163599,0,0,0,0,-0.0109966357796549,0.0526107309399348,0.0684353725895038,0,0,0,0,0,-0.0410770342564296,0,0,0,0,0,0,0
X600809.SH,0.28722469165994,0,0,0,0,0.0931246587419459,0,0,0,0.0118228734995492,0,0,0,0.0360705767649964,0,0,0.171122180475566,0.0404611932871686,0,0,0,0,0.164870581991369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174248094277261,-0.0225101369525599,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.132557297190811,0,0,0.052992055494253,0,0.0296592736924633,0,0,0,0,0.00648986097812141,0,0,-0.102125726529957,0.0698123408818552,0.151821531983817,0,0,0,0,0,0,0.0426887111432576,-0.05052140370794,0,0,0,0,0.00756853569522386,0,0,0.084200573943261,0,0,0,0,0,0,0,0,0,-0.000966617635777161,-0.0142170637855161,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.206189553667742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187324549707719,0,0,0,0,0.0443212545146105,0,0,0.0135763398017691,0,0.178207429950637,0,0,0.144760733737,0.0497401680889208,0,0,0.0914309531655464,0.122285890535734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.901915833447116,0.138534559377173,0,0,0,0,0,0,-0.00462970215457249,0,0,0,0,0,0,0.0155460389202583,0,0,0,0.0676521959259769,0,0,0,-0.0317928027928061,0,0,0,-0.100501405567634,0,0,0,0,0,0,0,0,0.114963658395474,0.0251222842917606,0,0,0,0,0,0,0,0,0,0,0,0,0.000996056341187651,0.0220816152734546,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.163224341182057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.13343946936174,0,0,0,-0.152239604091444,0,0,-0.0270913421999814,0,-0.00108467809773338,0,0,0.176687620577606,0.0236180579802501,0.0456753703846102,0,0,-0.0481146342300853,0,0,0.0803771399450598,0,0,0,0,0,0,-0.0541416657584038,0.0562163866097385,-0.0494298138606185,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0875993884288244,0.0241618309940796,0.241644397511721,0,-8.67361737988404e-19,0,-0.0473270484817793,0,0,0.184106386714452,3.46944695195361e-18,0,0,0,0,0,0.110898013964951,0,0,0.241571522877406,0,0,0,0,0,0,0,0,0,0,0,0,0.079250612736378,0,0,0,-0.203969903148361,0,0,0,0,0,-0.0526982777272681,0,0,0,0,0,0.0427018625237831,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.15974615877475,0,0,0,-0.0121984785240342,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.178641691612857,-0.0190871930649925,0,0,0.216975426603676,0,0,0,0,0,0,0,-0.0849114705865693,0,0,0,-0.0779620192426529,0.275544472971616,-0.0710375209383436,0,0,0,0.080551177866238,-0.0095523710130514,0.202630050010604,0,0.200631703541805,-0.0982858146650261,0,0,0,0.00650266365434511,0,-0.105915358991006,0,0,0,0,0,0
X002475.SZ,0.378744870312528,0,0,0,0.0246504387637311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854743860916356,0,0,0.231274150520178,0,0,-0.0162283788509649,-0.0188419146379034,0,0,0.379246342980952,0,-0.0639346358258168,0,0,0,0,0,0,0,0,0.128531216014458,0,0,0,0.0756221444019819,0,0,0,0,-0.00192773770840987,0,-0.194819255914656,-0.201943075917629,0,0,0,0
