,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X600183.SH,X002236.SZ,X600066.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600487.SH,X600460.SH,X601799.SH,X600177.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.284096193243052,0,0,0,0,0,0.128119573804462,0,0,0,0,0,0,0,0,0,0,0,0.104243260054148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299422426233183,0,0,0,0,-0.023669642041439,-0.019076002735766,-0.0108143186105586,-0.0217957186713333,0,0,0,0,-0.0110668480182436,-0.0986862372808607,0,0,0,0.0195749212124883,0,0
X000858.SZ,0.20127462236893,0,0,0,0,0,0,0.0883943967694162,0,0.306558541512699,0,0,0,0,0,0,0,0,0.0131912215822268,0,0,0,0,0.0309772682127243,0,-0.0237055251365591,0,0,0,0,0,0,0.115065834829442,0,0,0,0,0,0,0,0.00810400852190724,0.0121895506558179,0,0.0476158554383498,0,0,0,0,0,0.0827671236906642,0,-0.00682310858541829,0,0,0,0,0.0298848504976595,0,0
X600276.SH,0,0,0,0,0,0,-0.00462528298757396,0,0,0,0,0,0,0,0.139653583484192,0,0.173139803461369,0,0,0,0,0.0103863197788254,0.0595261669583806,0.015482270637283,0,-0.0840034702070127,0,0,-0.137600891128962,0,0,0,0,0,0,0,0,0,0,0,0.0924949295801609,0,0,0,0,0,0.100470086716021,0,0,0.0234355055924189,0,-0.00896537832645615,-0.029762545794511,-0.0765800309476698,0,0,0.0022839880021626,0,0
X002475.SZ,0,0,-0.00938421204752507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153269555077877,0,0,-0.0392338382356497,0,0.510933814741995,0,0,0.0315493942507462,0,0,0,0.247512997221412,0.113128902995848,0.0401625204220351,0,0,0,0,0,0,0,0,0,0,0,-0.0440883578775877,0,0,0,0,0,0,0,0,-0.010746499246829,0,0,0,-0.0356519465309965,0,0
X002415.SZ,0,0,0,-0.0410761869875029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357018451679356,0,0,0,0,0.2947160520714,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00699543540946521,0,0,0.200102250909878,0.0489954636930478,0.0781095635733631,0,0,0,0,0,0,0,0,0,-0.138531897713742,0,0,-0.00751709316704499,0,0,0,0.00469627109917635,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.277070863094251,0,0,0,0.112120569791376,0.110523306676721,0,0,0,0,0.093156160500484,0,0,-0.0571784419690005,0,0,0,0,-0.0106886775110472,0,0,0,0,0,0,0,0.141863336513221,0,0,0,0,0,0.25054856087032,-0.210011333998309,0,0,0,0,0,0,0,0,0,0,0,-0.127338549662636,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.140170661017923,0,-0.0644156176808312,0,0,0,0,0,0,0.283607683480008,0,0,-0.183768809330683,0,0,0,0,0,0,0,-0.0103490307041767,0,0,0,0,0,0,-0.312225787200019,0,-8.67361737988404e-19,-0.257614476943424,0.0383945893893958,0,2.16840434497101e-19,0,0,0,0,0,-0.119857904749572,0,0,0,0,0,0,0,0,0,0,0,-0.0189606054800009,0,0
X600809.SH,0.18578209667343,0,0,0,0,0,0.0702205766877469,0,0,0,0.079080739705133,0,0,0,0,0,0,0,0.0240981324450116,0.45095089973934,0,0,-0.00223503373683822,0,0,0,0,0,0,0,0.0310340127118681,0,0,0,0,0,0,0,0,0,0,0,0,0.162161995264401,0,0,0,0,0,0,0,0.0542909254293355,0,0.104642174304655,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0102255177103841,0,0.0917129758926957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108070566643445,0.0708683167353986,0,0,0,0,-0.0499318114151964,0,-0.114342356262908,0,0,0,0,0,0,0,0,0.214947689922588,0,0,0,0,0,0,0,0,0,0.0404038304403866,2.71050543121376e-20,0,0,0,0,-0.0155404614015239,0,0
X000568.SZ,0.457213181982949,0.100245126813018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254136890368987,0,0,0,-0.0817054752060988,0,0,0,0,0,0.0641438675336391,0.043430124393923,0,0,0,-0.0246128324852405,0,0.038009984733178,0,0,0,0,0.143060168973647,0,0,0,0,-0.0722304713516694,0.0110583025973526,0,0,0,-0.0534262132471954,0,0,0,0,-0.00405640535360285,0,0
