,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X002371.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600104.SH,X000063.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X000157.SZ,X002028.SZ,X600372.SH,X600066.SH,X600741.SH,X600584.SH,X600703.SH,X600418.SH,X000977.SZ,X002236.SZ,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X000800.SZ,X601799.SH,X600487.SH,X002294.SZ,X002180.SZ,X002074.SZ,X000661.SZ,X000400.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0726602464626153,0,0,0,0,0,0,0.116103303515875,0,0.293819518581888,0,0,0,0,0,0,0,0,0,0.00344875630253281,0,0,0,0,0,0,0,0,-0.098589311976075,0,0.0847167877547403,0,0,0,0,0,0.0209505566028544,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,-0.0126675370486047,0.0220702478112672,-0.103818871188694,0,0,0,0,0,0
X000858.SZ,0.225455446182693,0,0.0230429100989668,0,0,0,0,0,0.246690261718022,0,0,0,0,0,0,0,0,0,0,0.0740415467735107,0.201838245180738,0,0,0,-0.116666273238802,0,0,0,0,0,0,0,0,-0.0284374784480741,0,0,0,0,0,0,0.0434548788000198,0,0,0,0,0.00677150856799753,0,0,0,0.113066353362056,0,0.0313402072906211,0.0231845727504669,0,0,0,-0.0340312661963981,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430304594353703,0,0,0,0.0271370832799821,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0691245962870526,-0.0873450803490685,0,0,0,0,0,0,0.293315314764046,-0.0833510161527882,0,0.199501129420929,0,0.00282712900822101,-0.13660188111585,0,-0.0561065439519947,0,0,0,-0.0251615167721696,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0481820195076857,0,0,0,0,0,0,0,-0.0375671026506455,0,0,-0.0819916271404031,0,0,0,0.485587585489626,0.0985034063602919,0,0,0.0150504918921,0,0,0,0.206586050422973,0,0.0221090349548634,0.0317807836588987,0,0.146069227760832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624675817116983,0,0,0,0,0,0,0
X600690.SH,0,0,0.0137066359451089,0,0,0,0.326932387633868,0,0,0,0,0.0645256659558137,0,0,0,0.0173658553512051,0,0,0.104010975937244,0,0,0,0.0432930852089169,0.0305987899693533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238972290381208,0,0.243921506570152,0,0,0,0,0,0,0,0.0770075496876506,0,0,4.33680868994202e-19,0.000698777428985931,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.196965034882871,0,0.00115831193190134,0,0,0,0,0,0.16176229532257,0,0,0.0757143101623128,0,0,0,0,0.0311749786690853,0,0,0,0,0,-0.19879115070478,0,0,0,0,0,0,0,0,0,0,0,0,0.26497694282724,0,0,0.132209185373067,0,0,-0.0246914150272821,0,0.0125143892384006,8.67361737988404e-19,0,0,0.0404716849045078,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0319605861783355,0,0,0,0,0,0,0,0.149015757335499,0,0,0,0,0,0,0,0,0,0,0,0,0.0403642063000833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196412583591579,0,0,0,0,0,0,0,0,0,0,-0.0178117276898571,0,0.127961839211853,0,0,-0.00122639651413454,0,0
X003816.SZ,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.0755055606406317,0,0,0,-0.245965339014186,0,0,0,0,-0.0599861320539222,0,0,-0.0749533551823655,0,0,-0.147744386513751,0,0,0,0,0,0,-0.122439878448302,0.0806445487381791,0,0,0,-0.0826512863183826,0,0,-0.0928833352438887,0,0,0.0468832096123717,-0.119857759735333,0.288286571018857,0,0,-0.00904204847247034,0,0
X600809.SH,0,0,0,0,0,0,0,0.0291362562112875,0,0,0.123958010024691,0,0,0,0,0,2.16840434497101e-19,0,0.000593681080860229,0,0.617935611393788,0,0,0,0,0,0,0,0.207645408079495,0.0723393011931411,0,0,0,0,-0.100984350157069,0,0,0,-0.0848678403374241,0,-0.0261774162727871,0,0,-0.110287283131327,0,0,0,0,0,0,0,-0.0150355427728513,0,0,0,0,-0.0168043439218436,0,0
X002371.SZ,0,0,0,0,0,0,0,-0.0789184710384881,0.0966062493816418,0,0,0,-0.140471711163094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255549662861901,0,0.0357668537540442,0,0,0.232999515638633,0,0,0,0,0,0,0,0.00832009344051608,0,0,0,0,0.031667919098779,0.293007779899162,0.00789579583459365,-0.00220354799052491,0,0,0,-0.0280322917788034,0,0
