,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X000977.SZ,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X600522.SH,X000066.SZ,X600741.SH,X002236.SZ,X600839.SH,X600183.SH,X601877.SH,X600066.SH,X002456.SZ,X600460.SH,X002156.SZ,X000661.SZ,X002074.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.287411246623741,0,0,0,0,0.103280774617685,0,0,0,0,0,0,0,0,0,0,0.201161251662029,0,0,-0.00207760649194287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103509005429919,0,0,-0.017804163783173,-0.00825823014117421,0,0,0,0,0,0,0,0,0,-0.126260256519648,0,0,0,-0.0762050257990168,0,0
X000858.SZ,0.480770562381383,0,0,0,0,0,0.382715589359438,0,0,0.0225801676665891,0,0,0,0,0,0,0,0,0.0608669030768446,0,0,0,0.0820128686677836,-0.00847000488952084,0,0,0,0,0,0,0,0,0.141180667758937,0,0,0,0,0,0.00358439515930537,0,0,0.0570807363555074,0,0,0,0,0,0,0,0,0,0,0.0138692410446123,0,0,0,-0.00765117643860233,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.199348711113126,0,0,0,0,0,0,0,0,0.180888540310974,0.0237612885478483,0,0.354208630566649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149301903947727,0,0,0,0,0,0,0,0,0,-0.0824962752017359,0,0,0,-0.0812659941925594,0,0
X002415.SZ,0.140694578078095,0,0,0,0,0.0687045723363618,0.0553420222425294,0,0.082095330665016,0,0,0,0,0,0,0.095427921087708,0,0,0,0,0.226209709139053,0,0,0,0,0.0155508259234745,0,0,0,0,0,0,0,0,0,0.0104343595928199,0,0,0,0.0502671133842503,0,0,0,0.036339203086034,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.035958361542067,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547332271809336,0,0,0,0,0,0,0.0920900218005799,0,0,0,0.449704844558926,0.0563274582490568,0,0,0,0,0,0,0,0,0,0,0,0,0.0545357591115539,0.0555490606038234,0,0,0.0060587279575869,0,0,0,0,0,0,0,0,0,-0.0774999449417303,0,0,0,0.00506418427664846,0,0
X600690.SH,0,0,0,0,0.132104090228845,0,0,0.209558772197812,0,0,0,0,0,0,0,0,0,0,0,0.134742744908491,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0113542077480666,0,0,-0.00873383262549945,0,0,0.0350791613450467,0,0,0,0.0700754653568817,0,0,0,0,0,0,0,0,0,0.0545970045265011,0,0,0,0.0249238502799367,0,0
X600809.SH,0,0.0170156239044169,0,0,0,0,0,0,0,0,0.7277707263586,0,0,0,0,0,0,0,0,0.153955532420619,0,0,0,0.0482767588559374,0,0.0629878572222428,0,0,-0.00463333217912187,0,0,0,0,0,0,-0.00791158651242118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330286033305308,0,-0.00689738368664596,0,0
X000651.SZ,0,0,0,0,0,0.324638612850123,0,0,0,0.0609989437914216,0,0,0,0,0,0,0,0.187533637105033,0,0,0,0,0.0618285666059207,-0.0344379873023907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821035625159446,0.153563661863236,0,-0.0345237037375145,0,0,0,0,0,0,0,-0.0105357822100761,0,0,0,0,0.00288192236444332,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.0621232256424179,0,0,0,0.362893248707063,0,0,0,0,0,0,0.0904546586808954,0,0,0,-0.00882630808360203,0.0434600856704221,0,0,0.128402937648292,0,0,0,0.0358336299401185,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.159208116846983,0,0,0,0,0,0,0,-0.0366262820042158,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.234639353069166,0,0,0,5.55111512312578e-17,0.382146435249714,0,0,0,0,0.219524664029215,0,0,0,0,0,0,0.186078222126346,0,-0.233150194638634,0,0,0,0,0,0,0,-0.20066845609608,0,-0.206985424616459,0.229392153443447,0,0,0,0,0,3.46944695195361e-18,-0.0762685786126045,0,0.148284620659115,0,0,0,0,0,0,0,0,0,0,0.128096826361702,0,0
