,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X600118.SH,X000623.SZ,X601877.SH,X000559.SZ,X000581.SZ,X000568.SZ,X002236.SZ,X000550.SZ,X600066.SH,X600271.SH,X600177.SH,X000800.SZ,X000050.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X600839.SH,X000869.SZ,X002465.SZ,X002129.SZ,X002456.SZ,X300003.SZ,X000400.SZ,X002007.SZ,X002292.SZ,X600252.SH,X600435.SH,X002038.SZ,X000977.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.208422065622878,0,0,0,0.0850362714145263,0,0,0,0,0,0.653470828835556,0,0,0,0,0,0,0.0157973144510734,0,0,0,0,0,0.215020340173214,-0.1863766424004,0.00367677086020371,0,0,-0.0987212959268989,0,0,0.0634348376730341,0,0,0,0,0,0,0.135709884356274,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600519.SH,0,0,0.0829104246210125,0,0,0,0.13227503526874,0.264467282722468,0,0,0,0.141514578546671,0,0,0,0.124853689959754,0,0,0,0,0.0469736725022117,0,0,0,0,0,0,0,0,0,0.0555338365517151,0,0,0,0,0,0,0,0,0,0,0,0.0288982563139875,0,0,0,0,0,0,0,0,0.0101566207888814,-0.0553727456664701,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.018060262800042,0,0,0,0,0,0,0,0,0,0,0,0,0.478604707083736,0,0.0428477742689662,0,0,0,0,0,0,0,0,0.221767913293281,0.331629416987053,0,-0.100230731122971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144443876785962,-0.00822471413549882,0,0,0,-0.042981985529049,0,0
X000651.SZ,0.125781789762776,0,0.193136855748291,0,0,0,0,-0.0151882589456253,0,-0.00979459507181256,0,0.140170839861163,0,0.100972815078261,0,0,0.411447005422774,0,0,0,0,0,0.114412624252713,0,0,0,0,0,0,0,0.0794516293834612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19000982869244,0,0,0,-0.0116257762818656,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0608405339498065,0,0.0561629435034244,0,-6.93889390390723e-18,0,0,-0.0470983176888316,0,0,0,0,0,0,0.116030238220245,0,0,0.0126645883082206,0,0,0,0,0,0.244579020328036,0,0,0,0,0,0.0274081045175646,0,0,0,0,0.230844692526111,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0615915976484243,0,0,0,0,0,0,0
X000625.SZ,0.333466834539966,0,0,0.0332988899506947,0.0994712654323074,0,0,0,0.0219277681302443,0,0,0,0,0,0,0,0,0,0,0,0.0580106008561809,0.0212694415263295,0,-0.00679799126265342,0,0,0,0,0,8.67361737988404e-19,0,0.160871826152698,0,0,0,0,0,0,0,0,0,0,0,0.0619333759931192,0,0,0.0128501703148621,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0.00842869627233824,0,0,0,0,0,0.229022922159678,0,0.0930558491993524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100232584039652,0,0.104286457134251,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239075453830536,0,0,0,0,-0.0225425237318139,0,0,0,0,0.0258670204501107,0,0
X002304.SZ,0,0,0,0,0,0,0.596810029130898,0,-0.0345495607806245,0.0464373627905237,0,0,0,0,0,0,0,0,0,-0.0369174922063513,0,-0.0449703919135155,0,0,0,0,-0.0866821137799796,-0.0621209961508263,0,0,0,0,0,0,0,0,0,0.215902787347918,0,0,0,0,0,0,0,0,0,0.282487973254916,0,0,0,0.00840957985912039,0.00490339742029363,0,0,0,0.0673032024500884,0,0
X000063.SZ,0.221831505024053,0,0,0,0,0,0,0,0,0.0517425199304201,0,0,0,0,0,0,0,0,0,0.192746297795035,0,0,0,0,0,0,0,0,0,0,0.091153905926575,0,0,0,0,0,0,0,0,0,0,0.00446279388127267,0,0.0488558272104486,0,0,0,0,0,0,0,-0.00164854678282427,0.00728443799416973,0,0,0,0,0,0
X600031.SH,0.171725483321313,0,0,0,0,0,0,0,0,0,0,0.133951570847726,0,0,0.110942834777583,0,0,0,0,0,0,0.121205237718175,0,0,0,0,0,0,0.185776392331531,0,0,0,0,0,0,0.0220711046601014,0,0,0,0,0,2.16840434497101e-19,0,0,0.0448059597339669,0,0,0,0,0,0,0.00613101380063829,-0.0286745503672292,0,0,0,0,0,0
