,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600118.SH,X002129.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X600060.SH,X300124.SZ,X000977.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X000800.SZ,X601877.SH,X600435.SH,X002491.SZ,X002465.SZ,X600839.SH,X300003.SZ,X002294.SZ,X000581.SZ,X000623.SZ,X002007.SZ,X600867.SH,X000568.SZ,X000869.SZ,X300146.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0436019804887187,0,0,0,0,0.0849280706622205,0.176263489746815,0,0,0,0,0,0,0.0218946481235838,0,0,0,0,0,0,0.0151010403192598,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.0490020267071293,0,0,-4.33680868994202e-19,0.169090617053006,0,0,0.0929354821763034,0,0.00181868095709673,0.0111145555148787,0,0,0,0,0,0
X600104.SH,0.0408971788947646,0,0,0.146631137038996,0.0756127131126031,0,0.0200804359454915,0,0,0,0,0,0,0.00931605205642838,0,-0.0238281909933409,0.058090918222597,0,0,0.0228669263839,0,0,0,0,0.0506583298886932,0,0.0678931851212621,0.0198677478113764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349669744437255,0,0.0500255944337029,0,0,0.141393121684323,0,0,0,0,0,-0.000780518556349971,0,0,0,0,0,0
X002415.SZ,0,0,0,0.135904388492974,0,0.0765144717476674,0.0869720182381672,0,0.0694356756798459,0.102086363914191,0,0,0,0,0,0,0,0.0669565487644391,0,0,0,0,0.154948648726764,-0.0684507369632016,0.132321619392161,0,0,0.0287906063352003,0,0,0,0,0,0,0,0,0,0,0,0,0.0184440290878994,0,0,0.324338625889576,0,0,0,0,0,0,0,0.0128613319204475,-0.0136760811191211,0,0,0,0,0,0
X000651.SZ,0.0330676614366145,0.263417813035811,0.0489641981808564,0,0,0.053871884379286,-1.73472347597681e-18,0,0,0,0.151536516803952,0,0,0,0,0,0.0719859612008584,0,0.0580722636481279,0,0.0319827236875425,0,0,0,0,0,0,0,0,0,0.0785789452240717,0,0,0,0,0,0,0,0,0.00467663896421087,0,0,0,0,0,0,0,0,0,0,0,0.00453982302762493,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117902693313995,0,0,0,0,0,0.142815454441892,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.17376635784875,0,0,0,0.0919333253709792,0.282212621936542,0,0,0.244539886501996,0.135632654166859,0,0.0300347315764615,0.057138237001381,0,0,0,-0.0104784438206744,0,0,0,0,0,0,0
X000625.SZ,0,0,0.26311678174257,0.0822254530718444,0,0,0,0,0,0,0,0,0,0.0270139445276428,-0.0432425739954742,0,0,0,0.00291359428461321,0,0.0883264954971178,0,0.130595788930115,0,0.00545572268522579,0,0,0,0,0,0,0,0,0,0,0,0,-0.20025076635945,0,0,0,0,-0.0510711845544855,0,-0.0524306168313257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.0166943372426587,0,0.0385623122917108,0,0,0.124852078519324,0,0.116054598111703,0,0,0,0,0.214354205993109,0.0721789453111598,0,0,0,0,0,0,0.0754481661635348,0,0,0,0.028979668839034,0,0,0,0,0,0.00274135934975574,0.0166474664633283,0,0,0,0,0,0,0,0.0184025320169686,0,0,0,0,0,0.139020264511422,0.0999110953977354,0,0,0,0,-0.0206507801743547,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.110417517901143,0,0.600036546860338,0.0317372260725494,0,0,0.0546463290918999,0,-0.0140705545747547,0,0,0,0,0,0,0,0,0.0272742331860524,0.0711184031357969,0,0,-0.0241844152238782,0.0091072059687464,0,0,0.0715780824543693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202808025737243,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.110198269616912,0.0927957143049039,0,0,0,0,0,0.0196329692265085,0,0,0,0.117739102390251,0,0,0,0,0,0.0466135889572599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444147819646529,0,0,0.144838228205999,0.0562582285382278,0.0861082962253561,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0573727677241524,0,0,0,0.0434997145913405,0,0,0,0,0,0,0,0,0.152010492538289,0,0,0.0540960187798249,0.254130518062671,0,0,0,0,0,0,0,0.0843548890782605,0,0,0.0255253082569748,0,0,0.00035313929917845,0,0,-0.00816889330687859,0,0,0,0,0,0,0,0,0,0,0.0591524408604051,0,0,-0.00671546136268081,0.0169926699570283,0,0,0,0,0,0
