,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600372.SH,X600118.SH,X000157.SZ,X600703.SH,X000338.SZ,X002129.SZ,X000559.SZ,X002241.SZ,X600089.SH,X600839.SH,X600741.SH,X600177.SH,X300124.SZ,X002456.SZ,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X002475.SZ,X000800.SZ,X002465.SZ,X600060.SH,X600435.SH,X000977.SZ,X300003.SZ,X600198.SH,X601877.SH,X000568.SZ,X000050.SZ,X000581.SZ,X002223.SZ,X300146.SZ,X000623.SZ,X600166.SH,X002294.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0492766790189885,0,0,0,0.0142552463113529,0,0.0487630965889455,0,0.0802591356390184,0,0,0,0,0,0,0,0,0.0629505134912263,0,0,-0.0208878149527112,0.0579432643575822,0,0,0,-0.00875382270130968,0,0,0,0,0,0,0,0,0,0.219396675899742,0,0,0.0215762010802632,0,0,0,0,0,0,0,0.0120157195793425,0,0,0,0,0,0
X600104.SH,0,0,0,0.0170979099235499,0,0.000441601834951748,0,0,0.0115461738068584,0,0,0,0,0,0.0626402499880065,0,0,0,0,0,0,0,0,0,0,0,0,-0.018132239166112,0.0302431273227328,0,0,0,0,0.0359999990888247,0,0,0,0,0,0,0,0.344602066675805,0,0,0,0.0476783306651975,0.116083919133433,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922773585020962,0,0,0,0,0,0,0,0,0.0668742677156051,0,0,0,0,0.1165329649223,0.0456205913550157,0,0,0,0,0.290056835318235,0,0,0.0348445966188898,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010526068699434,0.00738463852990675,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.07045176103779,0,0,0,0,0,0,0.00412185158496457,0.06014377435709,0,0,0.100257173366152,0,0,0,0,0,0,0,0,0,0,0.0185088377836915,0,0,0,0,0,0,0,0.134663544326869,0,0,0,0,0,0.108400029844583,0,0,0,0,0,0,0,0,0,0,0.017853059953216,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126912218403615,0,0.102842056314519,0,0,0,0,0,0.0396182596686267,0,0,0,0,0,0.12198743304504,0,0,0,0,0,0,0,0,0.0768038911470516,0.0337680061988787,0.168485022615261,0,0.105728000797204,0,0,0,0.306703778703712,0,0,0.108105827136882,0,0,-0.00542801157356241,0,0,0,0,0,0
X000063.SZ,0,0,0,0.136097002202355,0,0,0,0,0,0,0,0,0,0,0.0196907939714621,0,0,0,0,0,0,0,0.127782899258221,0.127017962878352,0,0.0455868546639625,0,0,0.00524005912397433,0,0,0,0,0,0,0.0362276228955834,0,0.169180605480423,0,0,0,0.26985804808863,0,0,0,0,0,0,0,0,0,-0.000811242743756815,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0781136507031736,0,0,0,0,0.0518887146763569,0,0,0.0784221075393218,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0372557325470903,0,0,0,0,0,0,0,0,0.0760523270317736,0,0,0.0252838021828669,0.0162523909810618,0,0,0,0,0.00304368116123327,0,0.249851831578927,0,0,0,-0.00143696418130758,0,0,0,0,0,0
X000858.SZ,0,0,0.0194401845183467,0,0.0736731230566593,0.0162087114270631,0,0,0,0.03172123538708,0,0,0,0.0713600569191145,0,0,0.0593032820802501,0,0.0699719816584836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256700713195583,0,0,0,0.0102758421189448,0,0,0,0.115256426489204,0,0.00162706074347738,0,0,0,0,0,0,0
X000625.SZ,-6.93889390390723e-18,0,0.150561397317772,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0527679933538146,0,0.0884249720749816,-0.0537527941284095,0.158291187544854,0,0,0,0,0,0.01622985517995,0.0306819919547579,0.111439274191301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272004624272055,0.0376670546139874,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0569050384649057,0,0,0.0674868623811802,0,0,0,0,0,0,0,0.18559340239685,0,0,0.0587905549584293,0,0,0.00479452137706727,0,0.202020980182157,0,0,0,0,0,0,0,0,0,0,0.00690524092272651,0,0,0,0,0,0.104583313127678,0,0,0,0,0,0.112385324882634,0,0,0,0,0,0,0.0038679270010514,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016655221276308,0,0.0242662316388289,0,0,0.117395723609203,0,0,0,0,0,0,0,0,0,0,0.0530830712361145,-8.67361737988404e-19,0,0.0613716859486781,0,0.0210560992200081,0,0,0,0.0418804129481611,0,0,0.116287855086943,0,0.0221316533039831,0,0,0.00744211145279486,0.00386993121610657,0,0,0,0,0,0
X600276.SH,0,0,0.236492178765608,0,0,0,0,0,0,0,0,0,0,0,0.0423103534681219,0.0079980818202691,0,0,0,0.0242653583088204,0,0.202506383734325,0,0.0587882206294783,0,0.0277975501766514,0,0,0,0.0346362695525881,0,0,0,0.0352265155694182,0,0,0,0.0309435562941134,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000373335676138245,0.0162552382648234,0,0,0,0,0,0
X000100.SZ,0,0,0,0.0289185164003478,0.0530365447641026,0.130327497933883,0,0,0,0.0823050067646593,0,0,0,0,0.0474270339259544,0,0.000941855935388682,0,0,0,0,0,0,0.239937380606476,0,0.065068349389959,0,0,-0.02430601084814,0,0,0,0,0,0,0.0637880504029968,0,0,0,-0.0261606131658769,0,0,0,0,0,0,0.0473698227547179,0,0,0,0,0.00347120283902122,0.00718641010782755,0,0,0,0,0,0
X600271.SH,0,0,0.17181894401909,0.161820488883,-0.0151426206436952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516111877978689,0.212940894414477,0,0,0,0,0,0,0,0.160238144169207,0,0,0,0,-0.113320919441557,0,0,0.0794693808467323,0.0365720319415107,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0218709415984247,0,0,0,-0.0286515599009925,-0.0205024208963793,0,0,0,0,0,0
X600372.SH,0,0.213094527406103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097787886695809,0,0,0,0,0.0987685699728171,0,0,0,0,0,0.121073250424919,0,0.0854553836465839,0,0,0,0,0,0,0,-0.0285320438231414,0.125799135461077,0,0,0,0,0,-0.013653105293521,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0.1686487704919,0,0,0,0,0,0,0,0,0,0,0,0,0.00856322971988555,0,0,0,0,0,0.119045843162629,0,0,0.102531946997617,0,0,0.0430965904933974,0,0,0,0,0,0,0.268581288542171,0,0.221336363270039,0,0,0,0.143991906448308,0,0,0,0,0.0749453885395855,-0.0543789911031672,0,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.0441054059143985,-3.46944695195361e-18,0,0,0,0.527154662299645,0,0,0,0,0,0,0,0,0,0,0,-0.040480379039506,0.125278255762047,0.0314586524921372,0,0,0,0.0813318610270338,0,0,0,0,0,0,0,0.0259684579532507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250506486437129,0,0,0,0,0,0
