,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.265774503535211,0,0,0,0,0.00127232144376587,0,0.103113234843179,0,0,0,0,0,0,0,0,0,0,0,0.133511054556661,0,0,0,0,0,0.0418839229676706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480575028303073,0,0.00261354760870609,0.00628787515453017,0,0,0,0,0,0
X600104.SH,0.291721852962929,0,0,0,0,0,0.0784539887573527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130487857104475,0,0.0640931920904555,0,0,0,0.0914412690105122,0,0,0,0,0,0,0,0,0,0,0,0.0616222693469453,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0795454408980906,0.0411228628626047,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.153646530687001,0,0,0.157352872425912,0,0,0,0,0,0.0886951869648342,0.117998168762106,0,0,0,0.0852066093988677,0.0147969852554545,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.261056806016917,0,0,0,0,0,0,0,0,0,0,0.0318385131104232,0,0,0,0,-0.0015090397389583,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0889538907565818,0,0,0,0,0,0,0.0832803599574503,0.184142610683402,0,0.00393503039750482,0,0,0.0775932274434906,0.0838433168612573,0.104052591105479,0,0,0,0,0,0,0,0.0269316629871198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118736083103748,0,0,0,0,0,0,0.00104003619354881,-3.46944695195361e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.212118594617919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454414357807507,0,0.118734859386994,0.158491654022356,0,0,0,0,0,0,0,0,0.00143689185560192,0.171086843491425,0,-0.0924169695820751,0,0,0,-0.0383596807985967,0.0224636808110657,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.179547585656287,0,0.228397318741026,0,0,0,0,0,0,0,0,0,0,0,0.175048106067172,0,0,0,0,0,0,0,0,0,0,0,0,0.0354441669074316,0,0,0.462777958254723,0,0,-0.0453324327044558,-0.0378944197105827,0,0,0,0,0,0,0,0,0,-0.0232760271235867,0,0.0233015081637228,-0.0190999742772917,0,0,0,0,0,0
X002304.SZ,0,0.276540405326999,0,0,0,0.400579051931184,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0120145176425054,0,0,0,0,0,0,0,0,0.0671578671088991,0,0,0,0,0,0,0,0.0545950271879584,0,0,0,0,0,0,0,0,-0.0746225701837229,0.0128238507260417,0.0194285152554595,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.150981345614883,0,0,0,0.0452308433423658,0,0.150552807125582,0,0,0,0,0.0430558706962881,0,0,0,0.00488323987817587,0,0.00115792714849589,0,0,0.0184158156854257,0,0,0,0,0,0.188803137559119,0,0,0.0274422500831864,0,0,0,0,-3.46944695195361e-18,0.0637602627654724,0.0624792931253872,0,0,0,0,0,0,0.131137301160816,0,0,0.015385305480867,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.225111594289887,0,0,8.67361737988404e-19,0,0.0156024617180488,0,0,0,0.0670613472073281,0,0,0,0.222040753917465,0.124042104737545,0,0,0,0,0,0,0,0,0,0,0,0,0.00834183308298499,0,0.0370266455156434,0,0,0,0,0,0,0,0,0,-0.000404237890465834,-0.0299581990429129,0,0,0,0,0,0
X000625.SZ,0,0.0136287653935987,0,0,0,0,0,0,0,0,0,0,0,0.140165969902804,0,0,0.00457186172007061,0.0513873542400133,0,0.0882458276149147,0,0,0,0,0,0.196006268249734,0,0,0,0,0,0,0,0,0.0964971985106733,0,0,0,0,0.0400355063534536,0.00583069703198744,0,0,0,0,0,0,0,0.0525689449029901,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0713168962385997,0,0,0,0,0,0,0,0,0,0,0,0.0439272200657291,0,0,0,0.214726870434227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074364515647425,0,0.145601303703204,0,0,0,0,0.0162242372200693,0,0,0,0,0,0.0221889323079939,0,0,0.0835930289688955,0,0.0106389766803187,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0113733187615348,0,0,0.358839483809933,0,0,0,-0.0250425057591992,0,0,0,0,0,0.113006466737189,0,0,0,0.130910437745809,0,0,0,0,0,0.428745557479897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154592977546864,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.183415413964205,0,0,0,0,0,0.167903624975724,0,0,0,0,0,0,0,0,0,0.0584091099728309,0,0,0,0,0.0348046573250415,0,0,0,0,0,0,0,0,0.140092546142239,0.248360694532445,0,0,0,0,0,0,0,-0.0192377037993075,-0.0518266346300527,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515321773449752,0,0.101358049746186,0,0,0,0,0,0,0,0,0,0,0.273965767912674,0,0,0,0.14082986555628,0.00327553447091903,0.133844630957727,0.0500702326149726,0,0,0,0,0,0,0.0976359489075095,0.210488677616331,0,0,0,0,0,0,0,0,0,0,-0.0168068543520481,0,0.0486718095211463,0,0,0,0
