,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600118.SH,X002506.SZ,X002049.SZ,X000559.SZ,X002241.SZ,X000157.SZ,X600372.SH,X000338.SZ,X000568.SZ,X300003.SZ,X600089.SH,X002085.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600867.SH,X600582.SH,X300124.SZ,X002465.SZ,X002180.SZ,X600498.SH,X601877.SH,X002007.SZ,X000869.SZ,X002456.SZ,X000550.SZ,X300001.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.226917520469406,0.0863692450211171,0,0.345002184132228,0,0,0,0,0,0,0,0,0,0.02569419783668,-0.0374857594143747,0,0,0,0,0.070083522401307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333516544450003,0,0,0,0,0,0,0,0,0,0,0.0769970993985148,0,0,0,0,0
X600104.SH,0,0,0.140766905079685,0,0,0,0,0,0,0,0,0,0.0804760593616451,0,0.388392653326593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452051717121178,0,0,0,0,0,0,0,0,0,0,0.0491712520923581,0,0,0,-0.00017297637032287,0.00260845259259767,0,0,0,0,0,0
X002415.SZ,0,0.211374084336956,0,0,0,0,0,0,0,0,0,0,0.304324434234601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120460179389256,0,0,0,0,0,0,0,0,0,0,0,0.154882888036467,0.193026211439665,0,0,-0.0424709677363135,0,0.0190760258031221,0,0,-0.0316511334478623,0,0,0,0
X000651.SZ,0,0,-3.46944695195361e-18,0,0,0,0,0,0.274241490257315,0,0,0,0,0,0,-3.46944695195361e-18,0.0290135264563131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436402952611364,0,0,0.293518200823993,0,0,-0.122511128820755,0,0,0,0.0849471557862285,0,0.0481688243327538,0.0438157872223117,0,0,0,0,0.0371402151298559,0,0,0,0,0,0
X002304.SZ,0.220082380143205,0,0.0178504620487514,0,0,0,0,0,0,0.058850281157725,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736563982870634,0,0,0,0.119760099036089,0,0,0.0316856556900884,0.131435308302824,0,0,0,0.0830361085347419,0.047872737667745,0,0,0.0374069793381333,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.1193394085563,0,0,0.0111316421894635,0,0,0,0.0743548521744647,0,0,0,0,0,0,0.0734623678165373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117839529983105,0.00643244218172611,0,0.261113016104033,0,0,0,0,0,0.0451729062828026,-0.0164328067584804,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0453026442186131,0,0,0.0551876171133855,0,0,0,0,0,0,0,0,0,0,0.096498218560641,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0301712586544885,0,0.0780148573849738,0.0261875238628284,0,0,0.00884856145093716,0,0,0,0.0165754857687873,0,0,0,0,0.0134051247383847,0.0133607806160617,0,0,0,0,0,0
X000725.SZ,0,0,0.146074860387761,0,0,0,0,0,0,0,0,0,0.121587901726595,0,0,0,0,0.0886972635125786,0,0,0,0,0.0186631108405215,0,0.0453530333672837,0,0,0,0,0.199412585398935,0,0.241556869485463,0,0.0334606262199769,0,0,0,0,0,0.00286597753034066,0,0,0,0,0,0,0,0,0,-0.0229042394119951,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0806993801929674,0,0,0,0,0,0,0,0,0.213807176343856,0,0,0,0,0,0,0,0.106134740551934,0,0.0848920056221125,0,0,0,0,0,0,0,0.0383333909091778,0,0,0,0,0,0,0,0,0,0,0.162364643590795,0,0,0.0725924907139318,0.0881767740408907,0,0,0,-0.0219594408782014,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010150336370963,0,0,0,0,0,0,0.376923302543455,0.00305154403486799,0,0,0,0,0,0,0,0.143687190166296,0,0.104152423866607,0.0199980489787534,0,0.0527024640461539,0,0.0359426472797649,0,0,0.0639649481198797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
