,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X600031.SH,X600118.SH,X002506.SZ,X002241.SZ,X002236.SZ,X002475.SZ,X000559.SZ,X000157.SZ,X600372.SH,X600177.SH,X000568.SZ,X000338.SZ,X002074.SZ,X300003.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002085.SZ,X002465.SZ,X002049.SZ,X600867.SH,X600498.SH,X601877.SH,X002456.SZ,X002007.SZ,X600582.SH,X002180.SZ,X000981.SZ,X000869.SZ,X300001.SZ,X000050.SZ,X000623.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0676252646155058,0.114873674090117,0,0,0.293506840470649,0,0,0,0,0,-0.0182423281816697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332223850287149,0,0,0,-0.0539762016489342,0,0,0.0603384299581722,0,1.38777878078145e-17,0,0,0,0,0.123970423362137,2.16840434497101e-19,0,0,0,0,-0.0150407977537354,3.46944695195361e-18,0,4.33680868994202e-19,0,0,0,0
X600104.SH,0.109363420423239,0,0.0703126449927969,0.167036357809448,0,0,0,0,0,0,0,-0.0106151250110458,0,0,0,0.449100124939159,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140015105000445,0,0,0,0,0,0,0,-0.00674096167189063,-0.019291919378979,0,0,0,0,0,0
X002415.SZ,0,0.00602602136088962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777185936129741,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.201502746528825,0,0,0,0,0,0,0,0.112554221769135,0,0,0.156363908689896,0,0,0,0,0.150087897260096,0,0,0,0,0,0.0410917899390562,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.295535985825206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380054250791342,0,0,0,0,0,-0.0395340090105296,0,0.0498972319304722,0,0,0,0,0,0.292708319481137,0,0,0.115836061172251,0,0,0,0,0.0413527859547394,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.033133561937796,0,0,0,0,0,0,0.0485694680074108,0,0,0,0.0194395763293953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149384982222519,0,0,0,0.0634530667183352,0.0581034696882613,0,0,0.0886043300950459,0,0,0.0881328024620422,0,0,0,0,0,0,0,0,0
X002304.SZ,0.053561234287532,0.296767266575605,0,0,0,0,0,0,0,0.146251020554046,0,0,0,0,0,0,0,0.00756935978843355,0,0,0,0,0,0,0,0.0971481447804034,0.103718968660364,0,0,0.038750015265813,0,0,0,0,0,0,0,0,0,0,0,0,0.0716537090166216,0,0,0,0,0,0.0121383644873543,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0111793816967313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262727406252004,0,0,0.0523136031220514,0,0,0,0,0,0,0,0,0.0555038598370476,0,0.00244567577386912,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,-0.00952364382401472,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0670916466238847,0,0,0,0,0,0,0,0,0,0,0.0916243452046025,0,0,0,0,0,0,0.0472867473982808,0,0.103682631511729,0.0577488525538748,0,0.138734391182434,0,0,0.0163800492877459,0,0.0098829346287977,0.122205531281457,0,0,0,0,0,0.0458208345678889,0,0.0697641976140987,0,0,0,0,0,0,0,0.105302531221069,0,0,0.00463461923024608,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.231374498958314,0,0,0,0,0,0,0,0,0.109701026878876,0,0,0,0,0,0.00205165942923503,0,0,0,0,0,0,0.10110175740811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893102364143894,0.169647521226559,0.00577721326556698,0,0,0,0.0653755085121723,0,0.0523407009399187,0,0,0.00298318647982213,-0.0306908867419497,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0112742450456002,0,0,0,0,0,0,0,0.0549700252581975,0,0,0,0,0,0,0,0,0,0,0,0.247198786998215,0.0316405446317767,0.0671586282791157,0,0,0,0,0,0,0,0,0.0638643607035635,0,0,0.0611244314574436,0.136581397875567,0,0.0872922435232451,0,0,0.0913651991328103,0,0,0,0,-0.00526730986115105,0,0,0,0,0,0,0
