,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002475.SZ,X002456.SZ,X600118.SH,X002085.SZ,X600177.SH,X002292.SZ,X000338.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X000559.SZ,X600372.SH,X300003.SZ,X600867.SH,X300124.SZ,X002426.SZ,X002506.SZ,X601877.SH,X600498.SH,X002508.SZ,X002074.SZ,X002294.SZ,X600089.SH,X600522.SH,X000050.SZ,X600418.SH,X000977.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0746375637533361,-0.0242417843233693,0,0,0.293106763319376,0,0,0.168659081662453,0,0,0,0,0.050469474398741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117071510106092,0,0,0,0,0,-0.0221590628477214,0,0,0,0,0.0750728884799006,0,0,0,0,0,0.0634965966488889,0,0,0,0.120189767813234,0,0,0,0,0,0,0
X600104.SH,0.0144286277679114,0,0.0670947086100101,0,0,0,0,0,0.347803205729056,0.009349547968688,0,0.235927121614156,0,0,0.0444587588508231,0,0,0,0,0,0,-0.13441690070288,0,0,0.0903828785719015,0,0,0,0.0421286909918198,0,0,0,0,0,0,0,0,0,0.0169551285524221,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938619649501695,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108203243899147,0.0164810817304174,0,0,0,0.128548506752971,0,0,0,0.0656104400940054,0,0,0,0,0.092639685885494,-0.056314621792634,-0.293371099267504,0,0,0,0,0,0.0392010894751743,0.151741878948555,0,0,0.370747222610165,0,0,-0.134932661593555,0,0,0,0.262701856135437,0,0,-0.0298518359310876,0,0,0,0,0,0
X000651.SZ,0,0,-0.00299853953953088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120688705190124,0,0,0,0,0,0,0,0,0,0.0238210131863511,0,0,0,0,-0.0511530710230364,0,0,0.11499195653428,0,0,0.0504152662956318,0,0,0.100053763804902,-0.00459857255908748,-0.0215834645229966,-0.0247287154626927,0,0,0,-0.107610289135548,0.128299230987541,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.0944500529723025,0,0,0,0,-0.0473864398884131,0.0220344500948535,0.648560258343173,0,0,0,-0.00449250123551896,0,0,0,0,0,0,0,0,0.062579908608142,0,0,0,0,0,0,0,0,0,0.101159588550144,0,0,0,0,0,0.122347053309285,0,0.0232462514334537,0,0,-0.00956077036686879,-0.00358921723458431,0,0,0,0,0,0
X600276.SH,0.0829448794704266,0,0.144432242642563,-0.00270780154173198,0,0,0,0,0,0,0,0.0564775979230214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205165137643071,0,0,-0.0958231846433489,0,0,0,0,0,0.154308151250452,0,0,0,0.129759014680262,0,0,-0.0837777548520214,0.0676308491240229,-0.0565638614418581,0.0219265989744864,0,0,-0.062811440841506,-0.0159852951016336,0,0,0,0,0,0
X002304.SZ,0.00641170618847976,0,0,-0.0310956807143958,0,0,0,0,0,0,0,0,0,0,0,0,0.267365468845642,0,0,0,0,0,0,0.00854648710047064,0,1.73472347597681e-18,0,0,0.0739603031532127,0,0,0.13314887261761,0,0,0,0,0,0,-0.0474478292652035,0,0,0,0,0.101296099080703,0,0,0,0,0.098179008321826,0,0.0356180337478183,0.064308345071559,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0192878658729315,0,0,0.172615371553197,0,0,0,0.0441960001555435,0,0.118794838754916,0,0,0,0,0,0,0,0.0304030416134305,0,0,-0.0161377561662862,0,0.0953521745355289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0847924615578812,0,0,0,0,0,0,0
X000625.SZ,0,0.10746313187305,0,0,0,0,0,0,0,0,0,0.0911329971815091,0,0.0102376144807773,0,0.0996418090834825,0.0171107378681487,0,0,0,0,-0.0211074391639898,0,0,0,0,0,0,0,0,0,0.0576828816723304,0,0,0,0.0546971374880636,0,-0.0061068105782213,0,0.016858885944153,0,0,0,0.0647055288151889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0919567673937071,0.134358586723428,0,0.046300279236075,0,0,0,0.221070831713612,0,0,0,0,0.177661400700717,0.0592484438284662,0,0.0217080174721662,0,0,0,0,0,0,0,0,0,0,0,0,0.121864479027387,0,0,0,0,0,0,0,0.0409987289390551,0.0188936721344932,0,0,0.158356845965199,0.00811905644719019,0.0050783001554879,0,0,0,0,0,0,0,0.00986364813936301,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394882470320596,0,0,0,0.0114614140130344,0,0,0,0.00255157339212117,0,0.0922354203318758,0,0,0,0,0,0,0,0,0,0,0,0.0351197678784986,0.141381860346543,0,0,0.186170169275459,0.00519752573787685,0,0,0.0151693458490733,0,0,0,0,0,0
X600741.SH,0,0.37266057883673,0,0,0.123204293611758,0,0,0,0.146687538864923,0,0,0,0,0,0,-0.00589161823507248,0,0,0,0,0,0,0,0,0,0,-0.0240707741317214,0,0.0672524344540832,0,0,0,0,0,0,-1.73472347597681e-18,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0580357512924355,0,0,0,0.0255064717861753,0.0435596673714021,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405830829203316,0,0,0,0,-0.0165746028816704,0,0,0,0,0.0373474411004411,0,0,0,0,0,-0.273803248193505,-0.132590777678227,0,0.0221833401153058,0,0.0482055621318721,0,0,0,3.46944695195361e-18,0,0,0,-0.00764458144965153,0,0,-0.0142534705517572,0,0,0,0,0,0,0
X600066.SH,0,0,0.0432073895167429,0,0.0252142078749487,0,0,0,0.247804755568078,0,0,0.196324372637015,0,0,0,0.205135575179645,0,0,0,0,0,0,0,-0.0244784070904592,0,0,0,0,0,0,-0.835217729928969,0,0,0,0,0.235150005649321,0,0.114590163902085,0,0,0.232224575184355,0,0,0.158901074472483,0,0,0.0333505685987008,0,0,0,0,0.012563423344531,-0.131946506288294,0,0,0,0,0
