,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002008.SZ,X300124.SZ,X300136.SZ,X600487.SH,X600809.SH,X002508.SZ,X300003.SZ,X600522.SH,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X600699.SH,X000157.SZ,X600498.SH,X600177.SH,X600271.SH,X000050.SZ,X000596.SZ,X600566.SH,X002180.SZ,X600118.SH,X000559.SZ,X600707.SH,X300115.SZ,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.024284429629205,0,0,0.0663924484131529,0.0528514986489551,0,0,0,0,0,0,0,0,0,0,0.0897471701431736,0,0,0,0,0.0541031353851658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172284129243847,0,0,0,0,0.0461332056188151,0,0,0,0,0.00217551599204699,0.00457985566246747,0,0,0,0,0,0
X600104.SH,0,0,0.0782931954189318,0,0,0.0177877792947184,0,0,0,0.0311053907110733,0.0580574172812645,0,0.387640423949751,0,0.143154980038646,0,0,-0.029771421102713,-0.0556407853538599,0,0,0,0,0,0,0,0,0,0,0,0,0.0558790716344294,0,0,-0.0349592124121989,0,0,-0.0319633133409431,0,0,0,0.0227771241891541,-0.0163142064693071,0,0,0,0,0,0,0,0,0,0.00316103333020759,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00190343053580543,0.133219721307967,0,0.0438673432428522,0,0,0,0.0215531105890954,0,0,0,0,0.0835065704902952,0.175719462049734,0,0,0,0.10866324877775,0,0,0,0,0,0.0178904020013644,0,0,0,0,0,0.0159081604997652,0,0.0877221025118211,0,0,0,0,0,0,0,0,0.012057124644671,0,0,0,0,0,0
X000651.SZ,0,0,-0.0699867615997102,0,0.0750642413943492,0,0,0,0,0.135306691505797,0,0.0719672762345056,0.0465505219513026,0.0981587791913736,0,0,0,0,0.209750572861414,0,0,0,0.0711529058679624,0,0,-1.73472347597681e-18,0,0.0232652602874782,0.280636636521704,0,0,0,0,0,0,0,0,0,0,0,-0.0780800676366475,0,0,-0.013590300600875,0,0,0,0,0,-0.0222286719041592,0,0.0148723496572884,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.146286330143834,0.0122496220143747,0,0,0,0.066708991344706,0,0,0,0.350240480700191,0,0,0,0,0,0,0,0,0,0,0.0451541413852148,0,0,0,0.114448544114553,0,0.120146918140835,0,0,0,0,0,0,0,0,0,0,0,0,0.165300590688609,0,0,0,0,0,0,0,0,0,-0.0088915848930988,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.261863390466853,0,0.0445643929243112,0,0,0,0.0800750304957377,-0.0514064179550008,0,0,0,0,0,0.162364350202866,0,-0.0417175773564364,0,0.18515638059849,0,0,0,0,0,0.0322297039584545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121756150370509,0.1438807239454,0,0,0,0,-0.0212225969249082,0.0197505981141161,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.146085911618827,0,0,-0.0271597628160959,0,0,0,0,0,0,0,0,-0.00265031107757855,0,-0.0732849520740512,0,0,0.00760418741504239,0,0,0.0116124759081818,0,0,0,0,-0.0742449440252134,0,0.137590861230754,0,0,0.121292214063086,0,0,0,0,-0.0722710811927372,0,0,0,0,-0.0802622015770569,-0.00340293964481058,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.326105552521939,0,0,0,0,0,0,0.129817880582271,0.0245543247987278,0,-0.0822825887189159,0,0,0,0,0,0,0,-0.0258000399218506,0,-0.0094503345410665,-0.0331334358221174,0,0,0,0,0,0.0807522602791824,0,0,0,0,0,0,0,0,0,0.00985960738310371,0,-0.0768746403874886,0,0,0,0.0600730806885613,0,0,0,-0.0433001533232233,0.0375683820425124,0,0,0,0,0,0
X000063.SZ,-0.0992101257701895,0,0,0,0,0.40901302768423,-0.223521038656563,-0.0747533484264574,0,0,0,0,0,0.104138426792051,0,0,0,0,0,0.0231651406941228,0,0,0,0,0,0,0,0,0,0,0.0343735922861612,0,0,0,0,0,0,0,0,0,0.126227270021082,0,0,0.0750552355578938,0,0,0,0,0,0,0,-0.0728997073407076,0.102612353973323,0,0,0,0,0,0
X600690.SH,0,0.157326952428263,0,0.139351860970884,0,0,0,0,0,0,0.087814942799185,0,0,0.119777987980319,0,0,0,0,0,0,0,0.0528435026266982,0,0,0,0.148883301192148,0,0,0,-0.0727493670524293,0.257846749489956,0,0,0,0,-0.172560606368354,0,0,0,-0.0169795752820102,0,0,0,0,0,0,0,0.00932649101204874,0,0.0912858595912269,0,0,0,0,0,0,0,0,0
