,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X600031.SH,X000625.SZ,X002456.SZ,X000338.SZ,X002241.SZ,X600487.SH,X002008.SZ,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X600498.SH,X600177.SH,X600699.SH,X000157.SZ,X000661.SZ,X600584.SH,X300142.SZ,X000596.SZ,X002129.SZ,X600118.SH,X002049.SZ,X000050.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.580904197821559,0,0,0.212182703827316,0.00680122240669562,0,0,0,0,0,0,0,0,0,0,0,-0.151274512484639,0,0,0,0.0379913479068421,0,0,0.0558675667041746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136921643207883,-0.0500249121721906,0,0,0,0.0392691699940086,0,0.148637307733715,0,0,-0.0255813916700146,0.0424955944216227,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241816647023851,0,0,0,0.0871637263935877,0,0,0.010293305345742,0.112609283186334,0,0,0,0.127343942991291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0949762525431947,0.0378604078173111,0,0,0,0,0,0.108082001063959,0,-0.0442672106724021,0.0471763871594881,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00813685594077929,0,0,0,0.0401199554799495,0,0,0.0252345945084635,0,0.266419382761841,0,0,0,0,0,0.158518571652973,0.326410967786651,0,0,0,0,0,0,0.0510452069639371,0.0491999887866068,0,0,0,0,0,0,0,0,0,0,0,0.0335412597632569,0.0301991097156345,0,0,0,0,0.0384226109227794,0,0,0,-0.0219273161449229,1.38777878078145e-17,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0270733303476668,0,0,0.159308489616927,0,0,0,0.162517402685257,0,0,0,0,0,0,0,0,0.0358218906081774,0.046096027892454,0,0.0175406455730443,0,0,0,0.317622015688496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216023043419755,0,0,0,0,0,0
X000651.SZ,0,0.0822120511501283,0,0.201797033463556,0,-2.16840434497101e-19,0,0,0.0637460472141483,0,0,0,0,0,0.0105678391823599,0,0,0,0,0,0,0,0,0,0,0,0.101711228280547,0,-0.0366632216074794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646721440463953,0,-0.0124695098958723,0,0,0,0.109849849132344,0,0.00996680080851456,-0.00659309094974863,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.481062717753441,0,0,0,0,0,0,0,0,0,0.0428987253918853,0,0,0,0,0,0,0,0,0,0,0,0,0.183070376331575,0,0.312953376012606,0,0,0,0,0,0,0,-0.0073051606842654,0,0,0.273619967087389,0,0,-0.038950596594838,0.275500257706851,0,0,0,0.0238444613432078,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0838036469063014,0,0,0.0481993516239853,0.212713171387154,0,0,0,0,0.0124689627529037,0,0,-0.207927111559059,0,0,0,0.134177174464081,0.0382788705485297,0,0,0,-0.11215615232907,-1.73472347597681e-18,0.168361855189242,0,0,0,0,0,0,0,0,0,0,-0.0873410146240829,0,0,0,0.170803569112087,0,0,0,-0.0850874771199045,0,0,0,0,0.0174203168765666,0,0,0,0,0,0
X002304.SZ,0.198449906256542,-0.0120417861822095,0,0.0975575806095572,0,0,0,0,0,0,0,0.33347861828816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678790072766812,0,0,0,0,0,0,0.0832402048909185,0,0,0,0,0,0,0.111934648164179,0,0,0,0,0,-0.0260778625657764,0,0,0,-0.0461227630893435,0.0421705218927328,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.450701910852765,0,-0.072601608539216,0,0,0,0,0,-0.0011122621566439,0.140601080479172,0,0,0,0,0,0,0,0,0,0,0,0.294816328260727,0,0,0,-0.0123873013585928,0,0,0,0,0,0,0.0559130229701292,0,0,0,0,0.210461333046918,0,0,0,0,0.129704364913624,-0.0539215895441395,0,0,0,0.00511718304954665,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.131585508590186,0,0,0,0.485632672176997,0,0,0.0383348503019951,0,0,0,0,0,0,0,0,0,0.194081011876882,0,0,0,0,0,0,0.0626117013478319,0,0,0,0,0,0,0.148822071249617,0,0.0505593134418742,0,0.333956775188621,-8.67361737988404e-19,0,0,0,0,0.000281059687930714,0,0,0,-0.0449209391065678,0.0291963874756846,0,0,0,0,0,0
X600690.SH,0,0,3.46944695195361e-18,0,0.104121954963584,0,0,0.105023384254829,0,0.0632706576452959,0,0,0,0,0.0948019730510812,-0.149203993611591,0,0,0,0.136563486497214,0,0.123244685387046,0,0,0,0.102085410290362,0.223315077171323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166274661548218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
