,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X000338.SZ,X002236.SZ,X000625.SZ,X601877.SH,X600487.SH,X002456.SZ,X002241.SZ,X002008.SZ,X600066.SH,X000100.SZ,X600809.SH,X300136.SZ,X002508.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X002085.SZ,X000981.SZ,X000596.SZ,X600177.SH,X600699.SH,X600566.SH,X600498.SH,X002179.SZ,X300142.SZ,X600118.SH,X000661.SZ,X002129.SZ,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0739987150929344,0,0.566110771636175,0,0.227603646003657,0,0.108346169598112,0,0,0,0,0,0,0,0,-0.125179665741446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797064230770137,0,-0.0254621860115447,0.0348423999898336,0,0,0,0,0,0
X600104.SH,0,0,-0.0536857522860502,0,0.288239307803971,0,0,0,0,0,0,0,0.244085014179581,0,0.0772115214075113,0,0,0,0,0,0,0,0,0,0.0363188115296084,0.0166003625322959,0,0,0,0,0,0,0.196820106321412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255944182540319,0.0327895458433282,0,0,0,0,0,0
X002415.SZ,0,0.030138091270311,0,0,0,0,0,0,0,0,0.0930241098630979,0,0,0.0596625518527237,0,-2.16840434497101e-19,0.0231538582809067,0,0.0706551100500487,0.261626262491035,0,0,0.293602861310284,0,0,0,0,0.0248656008536717,0.0192727828287037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909508486748758,0.00251802584421743,0,0,0,-0.00424427994070947,0,0,0,0,0,0,0
X000858.SZ,0.0783024296349339,0,0,0,0.0315100384807556,0,0,0.0804241023913893,0,0,0,0.301195626333861,0,0,0,0,0,0,0,0,0,0,0.0058245891195836,0,0,0.301370837191148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132284544354739,0,0.00313396989671552,0,0,0,0,0,0,0
X000651.SZ,0,0.105674776373072,0,0.216394923534482,0,0,0,0.0832504183724863,0.0221931056233639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481666687749897,0.138437637196094,0,0,0,0,0,0,0,0,0,0,0,0.00500849297651233,0,0,0,0,0,0,-0.00189248122805314,0.0218953883662447,0,0,0,0,0,0
X600276.SH,0.0356612896793624,0,0,0,0,0,0,0.033430596235818,0,0.0776059138056331,0.306422498219922,0,0,0,0,0,0,0,0,0,-0.0525980293339155,0,3.46944695195361e-18,0,0,0.0127078459700751,0,0,0.138181551543676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667362004930293,0,0,0,-0.125525173618945,0,0,-0.0190683774522254,0.0527479528587318,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.488569283131745,0.142727415673746,0,-0.153791781377242,0,0,0,0.0584602829437996,0,0,0,0,0,0,0,0,0,0.166778445250017,0,0,0.218474745015384,0.0394255875793067,0,0.117511453403031,0.0636596450634698,0,0,0,0,0,0.135679669290504,0,0,0,0,-0.0666302616607749,0,0,0,0,0,0.209221879320787,0,-0.0423450953892035,0.108119182490927,0,0,0,0,0,0
X002304.SZ,0.232215515286577,0,0,0.27459369363454,0,0,0,0,0,0,0,0.145919942292648,0.0739345988366575,0,0,0,0,0,0,0,0,-0.0256903118873674,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0699755374896625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712950270909953,0,0,0,0,-0.00521873793919355,0,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.00342312246623517,0,0,0.236139113462082,0,0,0,0,0,0,0,0,0,0.229992991169942,0,0,0,-0.0629096440123296,0.151232715585405,0,0,-0.00977887544939715,0,0,0,0,0,0,0.097828334196046,0,0.167862138924857,0,0,0,0,0,0,0.00411021794909384,0,0.471022951557749,0,0,0,0,0,0.192223765565091,0,0,-0.0199282936232936,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.059164418749357,0,0,0,0,0,0,0.237686579650172,0.176183900857793,0,0,0,0,0,0,-0.108912596550188,0,0,0.298676232284241,0,0,0,0,0.00863599229069349,0,0.0517273590113773,0,0,0,0,0,0,0,0,0.124781107564283,0,0,0,0,0.127173189300677,0,0,0,0,-0.054875883762251,0,0,-0.00343718622155506,-0.0125377788170884,0,0,0,0,0,0
