,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000625.SZ,X002008.SZ,X600487.SH,X600809.SH,X601877.SH,X002241.SZ,X000100.SZ,X002508.SZ,X600066.SH,X002456.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600271.SH,X600522.SH,X600089.SH,X000596.SZ,X600177.SH,X000157.SZ,X300136.SZ,X600566.SH,X002085.SZ,X000661.SZ,X000981.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X002129.SZ,X002180.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.118592327819514,0,0,0.578524506336293,-0.0367067514806744,0.196535354657588,0.106445088550197,0,0,0,0,0,-0.109485863101612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132955945195658,0,0,0.0045249879281072,0,0,0.108559428184516,0,-0.018321788762897,0.0236607587563674,0,0,0,0,0,0
X600104.SH,0,0,0,0.0866618189240012,0,0,0,0,0,0,0,0,0.214827904828319,0,0,0,0,0,0,0,0,0,0,0.000594223502837291,0,0,0.0744503691526399,0,0.0518365046487182,0,0,0,0,0,0,0,0,0.0856715121091281,0,0,0,0,0,0,0.149722370157643,0,0,0,0.1792809655287,0,0,-0.0288855413236553,0.052412305558887,0.0282985135306903,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0114318982437388,0,0,0.171381989467221,0.117766632969417,0.0168226696584777,0,0,0.311064282882425,0.125953302650947,0,0.141551887450915,0,0,0.0966170076187063,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0262186910430364,0,0,0.0415488869517468,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0101129326321339,-0.0255987317186522,0,0,0,0,0,0
X000651.SZ,0,0.00369839542951907,0,0,0.52374361745459,0,0,0,0.0195435776718992,0,0,0,0,0,0.0940462412543056,0,0,0,0,0,0.0905009290640222,0,0,0.04247154882215,0,0,0,0,0,0,0.0604597450575196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067171847000371,0,0,0,0.0381307592329925,0,0,-0.00320093966716676,0.0248268629322483,0,0,0,0,0,0
X000858.SZ,0.304624909743717,0,0,0.345108259428232,0,0,0,0.0347852218740649,0,0,0,0.227963123632702,0,0,0,0,0,0,0.0307172234287962,0,0.107963684859739,0,0,0,0,0,0,0,0,0,0,-0.0159495004832361,0,0,0,0,0,-0.017157627140308,0,0,0,0,-1.73472347597681e-18,0,0,-0.000804388846402119,0,0,0,0,0,-0.00122958430223655,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.440782112920814,0,-0.154578944211196,0,0,-0.0420405652193143,0,0,0,0,0,0,0.135156649434331,0,0,0,0,0,0,0,0.169642614893104,0,0.0743869342607987,0,0,0,0.0452790443497996,0,0,0.0746037370737471,0,0,0,0,0.221350328996762,0,0,-0.027704590418597,0,0,-0.00932169500934612,0.279537403324279,0,-0.0678632027665118,0.0875112949038516,0,0,0,0,0,0
X600276.SH,0.158786211329888,0,0.103625057098358,0,0,0,0,0.0288476948600727,0.05717425638168,0.0282083146179785,0.0990782732428876,0,0,0.160333456366757,0,0.135539788257642,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.319863251168829,0.0847964074689361,0,0,0,0,0,0,0,0,0,0.0549299510337154,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210851598966688,0.0505040633655846,0,0,0,0,0,0
X002304.SZ,0.275081394360007,0,0,0,0.0891738616019358,0,0,0,0,0,0,0.212352070263534,0,-0.00945285943337799,0.0592017078854604,0,0,0.0785406666716265,0,0,0,0,-0.0947077236656848,0,0.0228906590032463,0,0,0,0,0,0,-0.0118604189346559,0,0,0.005613793095272,0,0,0,0,0,0,0,0,0,0.357674486863211,0,0,0,0.0574406094468563,0,0,-0.00673894771622842,0.0255716138405453,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.223562209864603,0,0,0,0,0,0,0,0,0,0,0.0945470590961636,0,0.150416913813784,0,0,0,0.101481823245894,0,0,0,0,0,0,0,0.100282359885399,0.174892227647758,0.346705433557473,0,0,0,0,-0.0190180065893553,0,0,0,0,0.345325384207806,0,-0.0696782111865325,0,0,0,0,0,0,-0.0122305653539277,0.0191195070942371,0,0,0,0,0,0
X600690.SH,0,0.184421709997565,0,0.117370631012151,0.213337306247579,0.040944841996958,0.0778854030605427,0,0,0,0,0,0.107039255934217,0,0,0,0,0,0.0156037861306391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119124891030034,0,0,0,0,0,0,0,0,0,0,0.104665200811565,0,-0.0164829192240288,0,0,0,-0.00626708710036538,0.00320274495409624,0,0,0,0,0,0
