,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X000596.SZ,X600487.SH,X002008.SZ,X002236.SZ,X002456.SZ,X002007.SZ,X600809.SH,X000100.SZ,X600566.SH,X002179.SZ,X600867.SH,X600498.SH,X000661.SZ,X300146.SZ,X000625.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X300136.SZ,X000977.SZ,X600089.SH,X002506.SZ,X002180.SZ,X002241.SZ,X600372.SH,X300142.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.43254130400189,0.00547679784721149,0,0,0,0,0,0,0,0.0204979060764111,0,0,0,0,0.160450407991832,0,0,0.0390619217027669,0,0,0,0.0142461552865091,0,0,0.0628607269779139,0,0,0,0,0.0318706365236625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00458468355500454,0.00115238913214579,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.168057602920146,0.0405233243031003,0,0,0.314751118944477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265404502848713,0,0,0,0,0.0165236435508261,0,0,0,0,0,0,0,0,0.0939305939293367,0,0,0,0,0,0,0,0.150419135032459,0,0,0.0265828468586961,0.0368994952810104,0,0,0,0,0,0
X000858.SZ,0,0.114623412345401,0,0,0,0,0.0843316088991125,0.0108153878567208,0,0,0,0.303028431140339,0,0,0.0373996448013035,0,-1.73472347597681e-18,0,0.0331381448900603,0,0.162600800957932,0,0,0.0295463839375002,0,0,0.0898994023096161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732734329410007,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.277075851086254,0,0,0,0,0,0,0,0,0,0,0.184145723198311,0,0,0,0,0,0,0,0.0806622172966035,0.0435939905736888,0,0.081386631103633,0,0,0,8.67361737988404e-19,0,0,0,0.0415620439592086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415749842233473,0.049014900236567,0,0,0,0,0.0103366927284403,0.0121270716372315,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683198110922071,0.61099503932389,0,-0.018083673963051,0,0,0,0,0,0.0943636206238869,0,0,0,0,0,0,0,0,0.0445782718585947,0,0,0.0677560823241367,0,-0.0295347905619511,0,0,0,0,0.212651392719886,0.0326048880109583,0.0858480146261067,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.263214760888318,0,0,0,0,0.0549349765509013,0,0.196443668778039,0,0.147053320561604,0,0,0,0,0.0565738576809015,0,0,0.241708167730347,0,0,0.079227993662932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392523922415862,0.0304085303355827,0,0,0,0,-0.00789153487336089,0
X002304.SZ,0,0,0,0.207791437843091,0,0,0,0,0,0,0,0.656752767547872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839037619475537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429212303045408,0,-0.07269998890259,0,0,0,0,0,0.0258922679516588,0.00965871441478814,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0226057735338402,0,0,0.0553230301741639,0,0,0,0,0.142348025759077,0,0,0,0,0,0.366484452147554,0,0,0,0.0315027600986098,0.0771517763065273,0,0,0,0,0,0,0,0.0424523501817756,0,0.12168154895036,0.105792717286787,0,0.193536454961196,0,0.0941669251078455,0,0,0,0.00298432686277975,0.0439860720649452,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.0314836053059348,0,0,0.263771721193492,0,0,0,0,0.276539504221641,0,0,0,0,0,0,0,0,0,0,0,-0.026256814229416,0,-0.0115632687252335,0.132427225601082,0,0,0,0,0,0.17517396085189,0,0,0,0,0,0,0,-0.131315351003986,0.0264482298919111,-0.0535391123618588,0,-0.0460421089066287,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0919711680895358,0,0.0398414189969444,0,0,0,0.199882517259858,0,0,0,0,0.0958746779462422,0,0,0,0,0,0.13859822831175,0,0,0.256559023014677,0,0,0,0,0,0,0,0,-0.101355121106083,0,0,0,0,0,0,2.16840434497101e-19,0,0,0.195081915985414,0,0,0,0.233080205427293,0,0,0,0.0258775117332968,0,0,0,0,0,0,0
