,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600703.SH,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600487.SH,X600566.SH,X600498.SH,X000625.SZ,X000661.SZ,X002179.SZ,X600867.SH,X300146.SZ,X600809.SH,X000596.SZ,X600177.SH,X002180.SZ,X002294.SZ,X000157.SZ,X002506.SZ,X300142.SZ,X600089.SH,X300136.SZ,X600066.SH,X600372.SH,X002241.SZ,X000977.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.781687159642652,0,0,0.0904256625855603,0,0,0,0,0,0,0,0.0398427416127835,0,0,0,0,0,0,0.00787509161835579,0,0.101865947183017,0,0,0,0,0,0,-0.0036675405362467,0,0,0,-0.0330782396751383,0,0,0,0,0,-0.0152131412292707,0,0,0,0,0,0,0,0,0.0101168361106681,0.00396216661562641,0,0,0,0,0,0
X600104.SH,0,0,0.182551038770265,0,0,0,0,0,0.0143255137474087,0,0,0,0,0,0,0.423726399528624,0,0,0,0,0,0,0,0,0,0,0,0.123755837257606,0,0.00679327317313223,0,0,0,0.181700638777401,0,0,0,0,0,0,0,0,0,0,0,0,0.0502353888896462,0,0,0,-0.188060154164986,0,0.000534124827960176,0,0,0,0,0,0
X002415.SZ,0,0.0541998349671121,0,0.0826557562572217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542488357075896,0.0655469972593421,0,0,0,0,0,0.244600665143415,0,-0.107562462796651,0,0,0,0,0,0,0.0241514315761646,0,0,0,0,0,0,0,-0.113837839429397,0,0,0,0,0,0.170810479136,-0.0269088733724285,0.0771455115470228,0,0,0,0.0972794540101989,0,0
X600276.SH,0,0.0257050942247525,0.0474733294996156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326240510993377,0,0,0,0.117847456578857,0,0,0.0860505683482163,0,0,0,0,0,0,0,0.0782284593283244,0.337737621738656,0,0,0,0,0.0373554230489782,0,0,0,0,0,0,0,0,0,0,0,0.0140934240107059,-0.00806343882229704,0.0266594648394366,0.0325664527757499,0,0,0,0,0,0
X000651.SZ,0.0590840935104375,0,0,0,0,0,0,0,0,0,0,0.0163996833138579,0.0483309393767682,0,0.310658705545609,8.470329472543e-22,0.00170258213248975,0,0,0.151450333251489,0,0,0,0,0,0,0,0,0,0,0,0.0576862235200695,0,0.0307372464434322,0,0,0,0,0,0,0.137141351887848,0,0,0.107589645041975,0,0,0,0,0,0,0,0.00560032110754391,0.0132265848033684,0,0,0,0,0,0
X000858.SZ,0.130778640652727,0.0458093283761604,0,0,0,0,0.183322851905074,0,0,-0.0161828740724081,0,0,0,0,0.101147158137099,0,0,0,-0.0173737661073199,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183158756580406,0,0.253823700487796,0.134362976333137,0,0,0,0,0,0,0,0,0.110890206073369,0,0,0,0,0,0,0,0.0191707564642179,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.361071845184295,0,0,0,0,0,0,0,0,0.442350870515518,0,0,0,0,0,0,0,0,0,0,0,0,0.0282015532908141,0,0.0267585229638998,0,0.0538381270135335,0.0711677279976423,0.184646999090209,0.031244871245806,0,-0.108918888801088,0,0,0,0,0,0,-0.0137677732850693,0,0,0,0,0,0,0,0,0.0434477985973374,0,0,0,0,-0.000617833811927454,0
X000725.SZ,0,0,0,0,0,0,-0.0218495962437591,0,0,0,0,0,0,0,0,0,0.0761155571703714,0,0.0792180316378078,0,0,0,0,0,0.295839530935266,0.141900631399426,0,0.211161939458921,0,0.0698380186666797,0,0,0.0156588391659785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850102371064056,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.207624500253755,0,0,0,-0.00633856795912076,0,0,0,0,0.0672746544536652,0,0,0,0,0.290017688250705,0,0,-0.0306821202364584,0,0,0,0,0,0.0808776471184676,0,0,0.0570449553467963,0,0,0,0,0,0,0,0,0,0,-0.100473688719348,0.176206637905265,0,0,0.226872963358944,0,0,0,0,-0.0189528815943573,-0.0273731667476821,0,0,0,0,0,0
X000063.SZ,0,0,0.271450450100039,0,0,0,0,0,0,0,0.0305242178471657,0.217307619531295,0,0.203395774132605,0,0,-0.0573861796783501,0,-0.046861869345436,0,0,0,0.23566310145911,0,0,0.0886300848882666,0,0.118230033567273,0,0,0,0,-0.147521572882224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950564439269506,0,0,0,0.0145080367216268,-0.0929080644473874,0,0,0,0,0,0
X600031.SH,0,0,0.0196941753562886,0.047925963655753,0,0,0,0,0,0,0,-0.0140253258225691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310347577500159,0,0,0,0,0,0.0497799325707158,0.123478450403772,0,0.0740879826254472,0,0,0,0,0,0.297906715575463,0,0,0,0.236818829379899,0,0,0,0.049870319699528,0,0,-0.0224884535889367,0.0302093302384072,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020956681536951,0,0,0.176509608934992,0,0,0,0,0,0.565801420174983,0,0,0,0,-0.0616269652346378,0.0614475875551123,0.198119429163618,0,0,0,-0.140350590230432,0,0,0,0,0,0,0,0,0.0876630043699499,0,0,0,0.19075254944748,0,0,0,0,0.00709589308090541,0.0926474778451258,0,0,0,0,0,0
X000338.SZ,0,0.0976655437867326,0,0,0.292619115068815,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0147315639372216,0,0,0,0.031571201985525,0,0,0,0,0,0,0,0,0,0,0,-0.0480144314409406,0,0.0259160774199972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188267802503607,0,0,0,0.0506206688562271,-0.0682757415087352,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467779571099507,0.347272913781569,0,0.0948189455775943,0,0,0.281268638227214,0,0,0,-0.0444928694392302,0.499123695357662,0,0.299593757682136,0,0,0,0,0,0,0,0,0,-0.0616765253119607,0,0,0,-0.309435058847204,0,0.222226983849958,0,0,-0.061697716620362,8.67361737988404e-19,0,0,0,-0.134162812211672,0,0
X000568.SZ,0,0,-0.0630174485218707,0,0,0.462004475997602,0,0,0.116530296581921,0,0,0,0,0,0,0,0.0604914446596336,0,0,0,0,0,0,0.0307692500996315,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.317843575742962,0,0,0.186857749963095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937747560061699,0,-0.00290546521850699,0,0,0,-0.0386339538298177,0,0
X600741.SH,0,0,0,0,0.0159215866185818,0,0.0764326649648547,0,0.0359256294711727,0,0,0.113420489248601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194040199284579,0,0.157243745255493,0,0,0,0,0,0,0.0984895595620461,0,0.0701544844307451,0.15600574287152,0,0,0.0398067546550505,0,0,0,0,0.0149765834762793,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0.660934396420819,0,0,0,0,0,-0.105687616306159,0,0.105125536247658,0,0,0,0,0,-0.321498557342462,-0.0157869945007209,0,0,0,0,0.316888624102684,0,0,0,0,0,0,0,0.0664171853332581,-0.0155799218073716,0,0,0,0,0,0,0,0,0,0.0640884725154624,0,0.0277042929885267,0,0,0,0,0,0,0,0,0,0,0,0.0262110014612752,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.151605276820918,0.0255524931543458,0,0.0833731582081467,0,0,0,0,0,0,0,0.0381993249767789,0,0,0.141195283911225,0,0,0,0,0,0,0,0,0,0.0466077381286139,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0094918463823491,-0.0150295816456163,0,0,0,0,0,0
X600271.SH,0,0,-0.101201148753676,0,0,0,-0.123335460265191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140830551296377,0,0.186349594317943,0,0,0,0.133716659783118,0.293878539481067,0,-0.132399784010222,0,0,0,0,0,0,0,0.0833760587747068,0,0.0246779627098887,0,0.356581660741789,0,0.533656247053981,0,0,0,0.134610885621914,-0.00540355627832173,-0.00972921493267426,0,0,0,0,6.93889390390723e-18,0
X300124.SZ,0,0,0,-0.0726003434824143,0,0,0.0323835504065865,0,0.541707157785686,0,-0.00275559943302942,0,0,0,0,0,0,0,0,0,0.0297212465417744,0,0,0,0,0,0,0,0.168841978659217,0.0502513745112406,0,0.0613683715852565,0,0,0,0,0,0,0,0,0.130242420049715,0,0.0432284719296551,0,0,0,0,0,0,0,0,-0.0169104081497918,0,0,0,0,0,0,0
