,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X300003.SZ,X002007.SZ,X002236.SZ,X300124.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600498.SH,X002506.SZ,X600776.SH,X600867.SH,X600183.SH,X600487.SH,X300146.SZ,X000066.SZ,X000050.SZ,X600066.SH,X600566.SH,X002129.SZ,X600118.SH,X002049.SZ,X600522.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0221760286601099,0,0,0,0,0,0,0.231309221882102,0,0,0,0,0,0,0.112630918980686,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.00478193461951504,0,0.184149053199897,0,0,0,0,0,0,0,0,0.0185688473478529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600264785805925,0,0,0,-0.00760484827284895,0,0
X000858.SZ,0,0,-0.0583159241792805,0,0,0,0,0,0,0,0,0.201116572158743,0.274743157660717,0,0,0,0,0,0.269828755489807,0,0,0,0,0,0,0,0,0.183093077161442,0.0163719364309604,0,0,0,0,0.101065044905538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286859829058713,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.110083754052301,0,0,0,0.299264182164758,0,0,0.0547268191218878,0.0382893876986038,0.0405695776966429,0.135712183433164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116803981851532,0,0,0,0,0.025854287059829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344210449644722,0,0,0,0,0,0,0
X600104.SH,0,0,0.0311355166946852,0,0,0.135788502068499,0,0,0,0,0.0456996989382388,0,0,0,0.0324301272813869,0.00363737516250119,0,0,0,0,0,0,0,0,0,0,0,0,0.108984229735657,0,0.0733283715752734,0,0,0,0,0,0,0,0,0,0,0.11182634354012,0,0,0,-0.0305229165036826,0,0,0,0,0,-0.0205617470945498,0,0,0,0,-1.73472347597681e-18,0,0
X600276.SH,0,0,0.0657892743998749,0,0,0,0,0,0,0,0,0,-0.00830827499138014,0.258268989043972,0.0852411099931359,0.0762772883602244,0.116170215315908,0,0,0,0,0,-0.020696919268211,0,0,0,0,0,0.0668036728356469,0,0,0,0,0,0,-0.0626810205541557,0.0505757786400768,0,0,0,0.0248888401100682,-0.016393635608042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X002415.SZ,0,-0.0600951091939547,0,0.0247842927963849,0,0,0,0,0,0,0,0.152745577362179,0,0.18995000398279,0.0837612215588764,0,0,0,0,-0.0403078524468341,0,0,0,0,0,0.39019167116516,0,0,0,0,0,0,-0.0537088855115898,0,0,0,0,0,0,0.114078929103802,0,-0.010416257555103,0,0,0,0,0,0,0,0,-0.0740067913181438,1.73472347597681e-18,-0.0279736818445433,0,0,0,-0.0470433522020936,0,0
X002304.SZ,0,0.221578190044435,0.17400919692799,0,0,0,0,0,0,0,0.0202361260892836,0,0,0.0246102482936143,0,0.170670969508186,0,0,0.0533287725905897,0,0,0,0,0,0.115126262525587,0,0,0,0,0,0,0,0.0219482381607091,0,0,-0.00862471131288201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132174178210722,0,0,0,0.0105394085521321,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1622301569778,0,0,0,0,0,0,0,0,0,0,0.00864923847692747,0,0,0,0,0,0.0769522805223896,0,0.209516466323081,0,0,0.0348716264439737,0.145628830751472,0,0,0.131833555039764,0.0175537379901571,0,0,0,0,-0.0314810606207034,0,0,0,0,0.0399825406545026,0,0
X000063.SZ,0,0,0.0693827915827514,0,0,0,0,0,0,0,0,0,0,0.07184014880763,0,0,0,0,0,0,0.14627758554969,0,0,0,0,0,0.17237325743912,0,0,0,0,0,0,0.159426347697364,0,0.0569661531111211,0.145117475384531,0,0.169779200284408,0,0,0,-0.0651746367118207,-0.0543988550017449,0,0,0,0,0,0,-0.0469305955307814,0.00887891893382016,-0.131706746058613,0,0,0,-0.0197635452214799,0,0
X000568.SZ,0,0.332610630008599,0,0,0,0,0,0,0,0,0,0,0.182078368823681,0,0,0.0581612293987729,0,0,0.0993715031686637,0,0.0402957796446114,0,0,0,0,0.00576642561616915,0,0,0,0,0.0986636288437532,0,0,0,0,0,0,0.00850103776113027,0,0,0,0,0,0.0261394610825505,0,0,0,0,0,0,0,-0.020787469129718,0,0,0,0,-0.032403938681729,0,0
