,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X000661.SZ,X600809.SH,X600741.SH,X002241.SZ,X600703.SH,X000596.SZ,X300003.SZ,X600183.SH,X601877.SH,X002007.SZ,X002236.SZ,X000100.SZ,X000157.SZ,X300142.SZ,X000066.SZ,X002179.SZ,X300124.SZ,X300136.SZ,X002008.SZ,X600271.SH,X300014.SZ,X002463.SZ,X000977.SZ,X000625.SZ,X002371.SZ,X600177.SH,X002506.SZ,X002129.SZ,X002456.SZ,X600066.SH,X600867.SH,X002049.SZ,X600498.SH,X002508.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0363806385529632,0,0,0.580052328081462,0,0,0,0,0,0.0502522823706145,0,0.00858140401594454,0,0,0,0,0.0275427475210582,0,0,0,0,0,0,0,0,0,0.0442270637315777,0,-0.0613079823514306,-1.0842021724855e-19,0.00639434237653995,0,0,0,0,0.0623094633668141,0,0,0,0,0,-0.0707683624767581,0,0,-0.00400291344841395,0,0,0,0,0,0,0
X000858.SZ,0.215549219779291,0,0,0,0.00408173932858979,0,0,0.0203412869997353,0,0.0125499271900437,0.554904984625332,0,0,0,0,0,0.10458023888649,0,0,0.0513730045935494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119513466594716,0,0,0,0.00776058714435474,0,0,0,0.0211769851270058,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344847827731345,0,0
X600276.SH,0,0,0,0,-0.0114517235748118,0,0,0.0675603358875079,0,0,0.229276302118532,0,0,0,0.058456736256888,0.148157624359023,0,0.0927817551088314,0,0,0,0.0347203262867028,0,0,0,0,0,0,0.0169127503379302,0.00337345621320935,0,0,0,0.070590481210874,0,-0.0525160872104934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0200053860182248,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743162455997769,0,0,0,0.361477737380543,0,0,-0.0444581149855689,0,0,0.00648879811820549,0,0.0604277639783828,0,0,0,0,0,0,0.154861983610542,0,0,0,-0.0101794874410814,8.67361737988404e-19,0,0,0,0,0.119216135453605,0.0160948662203907,0,0,0,0,0,0.111839378056809,1.73472347597681e-18,0,-0.011861554409107,0,0,0,0,0.0253180615415557,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.02850450808775,0,0,0,0,0,0,0,0,0,0,0,0,0.0115737250028979,0,0.525745574560446,0,0,0,0,0,0,0,0,0,0,-0.0225473012895462,0,0,0,0,0,0,0,0,0,0,0,0.0361547556975447,0,0,0,0,0,0,0,-0.044267281651366,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210943330823442,0,0,0,0,0,0.101588224222767,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00349454342036681,0,0,8.67361737988404e-19,0,0,0,0,0,0.0118087512611735,0,0,0,0.048104999206075,0,0.0453333722187914,0.0108209147365323,0,0,0,0,0,0,0.000216886671477801,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0715854430713913,0,0,0,0,0,0.197178257268704,0,0,0,0,0.21153531113737,0,0,-0.0972830328934746,0,0,0,0,-0.326701548525632,0,-0.13978143025714,0,0,0,0,0,0,0,0.0341510582534516,0,0,0,0,0,-0.0058926597923218,0,0,0,0,0,0.0693638239234824,0,0,0.109604765516824,0,0,0,0.140701602033126,0,0
X002475.SZ,0.134285769419481,0.0705006622608532,0,0,0,0,0,0,0,0,0,0,0.11314171838156,0,0.347703540190318,0,-2.16840434497101e-19,0.0242259249317443,0,0,0,0,0.0229143356799575,0,0,0,0,0,0,0.182320978501585,0,0,0.173113918188471,0.117856436007363,0,0,0,-0.094399148306589,0,0,0,0,0,0.0922223332360212,0,0,0,0,0,0,0,0.0151901687809403,0,0,0,0,0,0,0
X002304.SZ,0,0,0.117550240282036,0,0.183466294677901,0,0.156881325866518,0.076360032285081,0,0,0.0104451197666851,0,0,0,0,0,0,0,0,0,0.178701861700409,0,0.024823673162161,0,0,0,0,0,0,-0.0532374067292691,0,0,0,0.00263425061549791,0,0,0,0,0,0,0,0,-0.00733992221851933,0,0,0.135438519833788,0,0,0,0,0,-0.0451877463877012,0.0773655826548533,0,0,0,-0.00862976442887727,0,0
X000063.SZ,0,0,0,0.212450362999612,0,0,0,0.0604983669283914,0,0,0.265637793408634,0.529969230769467,0,0,0,0,0.00238799097090211,0,0,0.049696489830334,0,0,0,0,0,0.329862511320157,0,0.0135851009122232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673334287085612,0,0,0,0,-0.0387228712606739,0,0,0,0,-0.0978619726903504,0,0
X000568.SZ,0.310258865219954,0.41229615490175,0,0,0,0,0,0,0.122897660262602,0,0,0,0,0,0,0,0,0,-0.00213477483119548,0,0.0453173234500301,0,-0.0652972315996816,0,0,0,0,0.00832160343003613,0.109657663009292,-0.0310423226528273,0,0,0,-0.0389082492140004,0,0.065446572447966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00284705108096966,-0.0150487934835005,0,0,0,3.46944695195361e-18,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0360600084817293,0,0.0585253105003288,0,0,0,0,0,0,0,0,0.014532740635213,0.0155771370673916,0,0,0.0128057501068108,0,0,0.0268898045984028,0,0,0,0,0,0,0,0.0425913729120123,0.0400377183215804,0,0.00201416798759484,0,0,0,0,0,0,0.034735040102521,0,0,0.123665122264002,0,0,0.0411207185478149,0,0,0.0134041155243185,0,0,0,-0.0101783119703416,0,0
X600031.SH,0,0,0,0,0,0,0,0.115415099905983,0,0,0,0,0,0,0.288341193970883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678004781131484,0,0,0,0,0,0.0318359030948015,0.0873370518008462,0,0,0,0,0,0,0,-0.0132961993659387,0,0,0,0,0,0,0,0,0,0,-0.00668971387994527,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.131788051727781,0,0,0,0,0,0,0,0.0150863525377013,0,-0.056094519089513,0,0,0,0.0765364096098057,0,0,0,0,0,0,0,0,0,0,0,0.173779274004336,0,0,0.0176887242330887,0,0,0,0,-0.154929979572334,0,0,0,0,0,0.098222364403728,0.10222554795262,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,-0.0196483221743029,0,0,0,0,0,0,0,0.31397628580749,0,0,0,0,0.0394504045736768,-0.0399920095536223,0,0.0798260198414038,0,-0.0200257368756913,0,0,0,0.0637580656979666,0,0,0.152541229803978,0,0,0,0,0,0,-0.0236221742684778,0,0,0,0,0,-0.0473398858219656,0,0,0,0,0,0,0,0,-0.0234715026525527,0,0,0,0,0,0,0
X000661.SZ,0,0,0.137036670714902,0,0,0,0,-0.00735167567842185,0,0,0.135763705130667,0,0,0,0,0,0,0,0.0397758555297281,0,0,0,0.0495394533662295,0,0,0,0,0,0.247349773512099,-0.110773508444705,0.202318726983017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341328747454772,0,-0.171499228758428,-0.028127717062312,0,0,0,0,-0.0925728686630782,0,0
X600809.SH,0,0.513313082998852,0,0,0,0,0,0.0181318553976206,0,0.0313279647980414,0,0,0,0,0,0,0,0,0,0.0135800086534537,0,0.0150955613102772,0,0,0,0,0,0,0,0.0180636155378508,0.0213766995083704,0,0,0.0198985655670718,0,0,0,0,0,0,0,0,0,0.0498882946864336,0,0,0,0,0,-0.13635265151066,0,0.0169606776607882,0,0,0,0,0,0,0
X600741.SH,0,0,0.17135417505699,0,0,0.0899948093326277,0,0.137082754209623,0,0,0.0930357573413913,0,0,0,0,0,-0.142388473839179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184694667629379,-1.38777878078145e-17,0,0,0.112774162655135,0,0,0,0,0,0.0299360955969312,-0.00695206705354941,-0.0584486084621782,0,0,0.273598907023986,0,0,0,0,-0.0179261076008076,0,0,0,0,-0.0675721521549499,0,0
