,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002304.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600703.SH,X000661.SZ,X600809.SH,X600741.SH,X000100.SZ,X002371.SZ,X600183.SH,X300003.SZ,X002007.SZ,X000596.SZ,X300014.SZ,X000977.SZ,X002241.SZ,X002236.SZ,X002129.SZ,X601877.SH,X000625.SZ,X300142.SZ,X300124.SZ,X000157.SZ,X002463.SZ,X600498.SH,X002179.SZ,X002456.SZ,X600487.SH,X600271.SH,X000066.SZ,X600584.SH,X600118.SH,X300136.SZ,X002180.SZ,X002414.SZ,X600522.SH,X002185.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00564131564042023,0,0,0,0,0,0,0,0,0,0,0.109597995902221,0,0,0,0,0.153600734809072,0,0,0,-0.0191748621988397,0.0976685350057285,0,0.206067516232897,0.138442160648292,-0.0765447467497422,0,0,0,0,0,0.263881294120598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377664276740429,0,0,0,-0.0223871458570695,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.0250098109206443,0,0,0.324290720873621,0,0,0,0.133090488438431,0,0,0,0,0,0,0,0.119036805806674,0.0458398829776024,0,0,0,0,0,0.0346976864000742,0,0,0.0910585573877806,0,0.058103201882784,0,0,0,0,0,0,0,0,0,0,0,0.0250342062037483,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122306798678493,0,0,0.0091148919874861,0,0,0.0650237528659512,0.114881355934195,0,0.0363792846004764,0.0304214603173701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247024857054553,0,0,0,0,0,0,0,0,0.00899823854962731,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.247289322719557,0,0,0,0.0713977273505566,0,0,0.0474970064277751,0,0,0,0.070323477283523,0,0,0,0,0.00918533636061972,0,0.0855049455360901,0,0,0,0,0.0530839675496507,0,0,0.0127359580194679,0,0,0,0,0,0.0161883552766731,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.144174648008634,0,0,0,0,0,0,0,0,0,0,0,0,0.0683820091612716,0,0.0283939175184053,0,0,0.204224028617735,0,0,0,0.00159573359333073,0,0,0.122050185925441,0,0,0,0,0.0430632008035144,0,0,0,0.130668087271169,0,0,0,0,0.0489005381354962,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.172500706720011,0.0673420645290265,0.0539357799329769,0,0,0,0,0,0,0,0,0.0578536171892151,0,0,0,0,0,0,0,0,0.0715229125074518,0,0,0.188540937699423,0,-8.67361737988404e-19,0,0,0,0,0.201748293591787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0594465121217002,0,0,0,0,0,0.0999449224609043,0,0,0,0,0,0,0,0,0,-0.0248894159508217,0.403202794983255,0,0,0,0,0,0,0,-0.0823478984388518,0,0,0,0,0,0,0,0,0.340857525250243,0,0,0,0,0,0,-1.73472347597681e-18,0.02055634401498,0,0,0,0.0187843693552209,0,0
X000063.SZ,0,0,0,0,0,0,0.121079910635236,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716189650464051,0.0396773118371291,0,0,3.46944695195361e-18,0.256217573144163,0,0,0,0,0,0.0814768862282425,0,0,0,0.0324425925513637,0.501839533479393,0,0,0,0,0,0,0,0.0334610577594929,0,0,-0.206186486585736,0,0,0,-0.0175262388297365,0.0623735345587279,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0.0883752801308339,0,0.222599445645833,0,0,0,0,0.0155094373337591,0,0,0,0,0,0,0,0.060630810683641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151116995421028,0,0,0.252948019749497,0,0,0,0,0,0,0,0,0,0.00843732747372305,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795429126615297,0,0,0.476200514765496,0,0.0646414489044188,0,0,0.0199949223264182,0.0250025475367791,0,0,0.0294997759581478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10751526310573,0.0170971984526314,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0490238885607448,0,0,0,0,0.0654060373372678,0,0.040935259269903,0,0,0,0,0,0.102933288026407,-1.73472347597681e-18,0,0,0,0.04766811429736,0,0,0,0,0,0,0.0194461704147872,0,0,0.482955900626298,0,0,0,0,0,0,0,0,0,0,0,0,0.0216886429015467,0,0,0,0.0161791450445803,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.135591090777002,0.0505424605105273,0,0,0.162327495987013,0.0156603405556768,0,0,0.0686132288735081,0,0,0,0.101595955364774,0,0,0,0,0,0,0.236461023126754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.131154039341141,0,0,0,0,0,0,0,0,0,0.0010123910347523,0,0,0,0,0,0.400556240887926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116278660049749,0,0,0,0.00461513197138056,0.0607336183537241,0,0,0,0,0.0211152206109377,0,0,0,0.0844881023173603,0,0,0,0,0,0,-0.0093178764802631,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.076617975581317,0,0.0293535583232856,0,0,0.405608741841004,0.17648850832444,0,0,0,0,0,0,0,0,0,0,0.113173097180461,0.256589918285648,0,0,0,0,0,0,0,0,0,0,0,0,0.0417443623444688,0,0,0,0,0,0,0,0,0.0458020628780116,-0.101944527366011,0,2.77555756156289e-17,0,0,-0.0475445295491551,0,0,0,0,0,0,0
X600690.SH,0,0.087003939895144,0,0,0,0,0.0712744518423353,0,0,0,0.241957586930616,0,0,0,0,0,0,0.0235188826684017,0,0,0,0,0,0,0.114228675751934,0.0983544307539894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0304829126605951,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.0791304380653127,0,0,0,0,0,0,0,0,0.0103756194734806,0,0,0,0,0,0,0.0249983287908532,0,0.132959744531166,0,0.0339465347881198,0,0,0,0,0,0,0,0,0.142268120772249,0,0,0,0.478835556164824,0,0,0,-0.0151059858576284,0.0792958230825164,0.0611876414044565,0,0,0,0.00197509124101068,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181462507580755,0,0,0,0,0,0,-0.0230746789512827,0,0.0812855665999154,0,0.194498429030068,0,0,0,0,0,0,0.177987415088736,0.0202563337096496,0,0,0,0,0,0,0.00274895987049698,0,0,0,0.141491482118767,0,0.0449055532790121,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.64415818719031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231332064707505,0,0,0,0,0,0,0,0,0.0439880922073305,0,0,0.0130818312425172,0,0,0,0,0,0,0.0943277375178501,0,0,0,0.00740117513780708,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.325418096370755,0,0,0,0,0,0,0,0,0.0145184015228781,0,0,0,-0.0449873783672277,-0.0775242262591962,1.38777878078145e-17,0,0,0,0,-0.0352771920642394,0.0563018339587305,0,0,0.00945820803760364,0.133312543867115,0,0.0571630015603912,0,0,0.120634395053161,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.045938736239693,0.0197726907628836,0,0,0,0.122821064336587,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0.303967709392655,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0066189758508698,0,0.158977837172699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735633390299763,0.103692123460618,0,0.0363542792767921,0,0.130392299796318,0,0,0,0.0407731532260213,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.0454730197654759,0,0,0,0,0.0967359544793078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25483444225621,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0232454526742397,0,-0.0517796069853979,0.194128124499467,0.0609010879026428,0,0,0.184218888887791,0,0,0,0.0316187191294171,0,0,0,0.0494000393974063,0,0
X600183.SH,0,0,0,0,0,0,0,0.188240276159664,0,0,0,0,0,0,0,0,0,0,0,0,0.0177638050428444,0,0,0,0,0,0,0,0,0,0,0.00871160174662572,0,0,0,0.243852807552008,0.273297107833224,0,0,0.0330594492349759,0,0,0.186107691139891,0.0135028760055313,0,0,0,0,0,0,0,0.0482166814735463,0.0173271779693795,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.204721804424972,0,0,0,0.0601487261904668,0,0,0,0,0.140014526968726,0,0,0,0,0,0.164525775316485,0,0,0,0,0,0,0,0,0,0.280896890525855,0.0189148704008654,0,0,0,0,0,0,0,0,0,0.0166826520890734,0,-0.0330627155110442,-0.0629816190440591,-0.362713663843632,0,0,0,0,0,0.0148178791767994,0.0726282471091594,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0.171566544077161,0,0,0,0.508234072303086,0,0,0,0,0,0,0,0,0,0,0,-0.0622093405430552,-0.0319380964717557,0.0247283742020448,0,-0.0012874053861554,0,0,0,0,0,0,-0.00374601594707387,0,0,-0.0866578832003137,0,0,0,0.015274469415081,0,0,0,0,0,0,0,0,-0.061959454460131,0,0,0,-2.71050543121376e-20,0,0
X000596.SZ,0,0,0,0,0,0,0,0.119243764695164,0.101908131454228,0,0.0816216281996057,0.177952812754835,0,0,0.128393675874851,0,-6.93889390390723e-18,0.172088320495928,0,0,-0.0557588282172384,0,0,0,0,0.0468105853561381,0,0.0533240142099778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10356414409743,0,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286476469152837,0,0,0,0,0,0,0,0.111160038362256,0.215406415597392,0,0,0,0.206213306773384,0,0.161501222414201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27975850352135,-0.0826828802356709,0.0194533711634029,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,-0.12978304441688,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143030101406609,0.193118865310903,0,0,0,-0.0435674706351758,0,0,0,0,0.297643428471949,0,0,0,0,0,0,0,6.93889390390723e-18,0.274606131461868,0.31693562131768,0.0599649585510642,0.00723503962717531,0.0135958739341444,0,0,0,0,0,0,0,0,0.033412183133341,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.107018494118527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324103132116878,0,0,0,0.200002668704719,0,0,0,0,0,0.00997400044403497,0,0,0,0,0,0,0,0,0,0,0.0778932241800766,0.0895216089548125,0.0130081791313826,0.0934618170343323,0,0,0.115308978959731,0,0,-0.0189445122245746,0.00702620901860968,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0.0746601709054801,0,0,0,0.242549065951714,0,0,0.0463159524406785,0,0,0.0278979903748106,0.183525676545197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158553522897952,0,0,0,0,0,0,0,0,0.0361164838700665,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0.0261763886274577,0,0,0,0,-0.0762087317296548,0,0,0,0.449737663698441,0,0,0,0,0.291474021793318,0,0,0,0,0.0354554034359946,0,0,0,0,0,0.0525543363047584,0,0,0,0,0,0,-0.00840027060754338,0,0,0,0,0,0,0,0.0500118149352244,0,0.0052595039844747,0,0,0,-0.0437133922734471,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131725603696168,0.423641014264105,0,-4.33680868994202e-19,0.0399004684422565,0,0,0,0,0.0809377310809007,0,0,0,0.0781998316480341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0416980777513036,0.0526046128030069,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0.129165743122283,0,0,0,0,0,0,0,0,0.201008275588193,0,0,0,-0.0415237932760096,0,0,0,0.19006086124912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216820378851236,0,0,0,0,0,0,0,0,0.308868525508952,0,0,0,-0.0219613116290659,0,0,0,0.0490342021492204,0,0
X300142.SZ,0.257537878770179,0.0834792917579622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0765802657190608,0,0,-1.35525271560688e-20,0,0.0516905283170778,0,0,0,0,0.0823756198817638,0,0,0,0,0,0.095116408316162,0,0,0,0,0.163426109703632,0,0.105602375049086,0,0.0374722389246957,0,0,0,0,0,0,-0.0890792346368939,0,0,0,0.00892350253217781,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.0244490941523824,0.0958160492640435,0,0,0,0,0,0,0.101110867988738,0,0,0,0,0,0,0,0,0.0949225965805159,0,0,0,0,0,0.132543592283222,0,0,0,0,0.194451344258492,0,0,0,0,0.0526632340362747,1.73472347597681e-18,0.0177508619929559,0,0,0,0,0.0390061793338216,0,0,0,0.0177388301235947,0,0,0,0.101621666840569,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.458849822551361,0,0,0.101417361914367,0,0,0,0,0,0,0,0,0,0,0.0572552155623692,0.0481687262690934,0,0,0,0,0,0.0580693137230171,0,0,0,0,0.0214283691806111,0,0,0.015762377035821,0,0,0,0,0,0,0,0,0.0611124807650337,0,0,0,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441431410952146,0,0,0,0,0,0,0,0,0,0.0162233172234509,0,0,0,0,3.46944695195361e-18,0,0.172883461703377,0,0,0.121381690495734,0.0459948571716801,-0.0119683797266327,0,0,0.0359619827461974,0,0.0987592921379402,0,0.102302353123789,-0.00568828436651178,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.209334992116125,0,0.0436751086877314,0,0,0.108902469047692,0,0,0,0,0,0,0,0,0.0731635344378233,0,0,0,0,0,0,0,0,0,0,0,0.101539065373707,0,0,0,0,0,0,0,0,0,0,0.0107899170157254,0,0,0.290394853394637,-2.77555756156289e-17,0,0.334779313244265,0,0.0498915265563228,0,0,0,0.159566967355139,0,0
X002179.SZ,0,0,0,0,0,0,0.00690607686937357,0,0,0.0626853478076632,0,0,0,0,0,0,0.103007100341726,0,0,0,0.0749270567280452,0,0,0,0.0368292009720066,0,0,0,0,0,0,0.0672934011205609,0,0,0,0,0.00404573105451441,0,0.0293954271196303,0.0125647143226402,0,0,0,0,0.0516199234047189,0,0,0,0.02997401864584,0,0,0,-0.0058581848347472,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596299792880967,0,0,0,0,0,0.108648123312381,0,0.237215217836983,0,0.184128550122605,0,0.189300430019362,0,0,0,0,0,0,0,0.195656009144419,0,0,0,0.0769031095044395,0,0.0221357019183036,0.245526129936507,0,0,0,0,0,0,0,0,0,-0.0313726664220543,0,0,0,0.0503321469369068,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.11172716278214,0,0,0,0.00702780304092391,0,0,0.101163861528301,0,0,0.0522271742218981,0,0,0,0,-4.33680868994202e-19,0,0.0800247261736453,0,0,0.25463502525925,0,0,0.0621795621609392,0.112661536496314,0,0.0245093729920511,0,0,0,0,0,0,0,0,0,0,0
