,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X300003.SZ,X002007.SZ,X000596.SZ,X600183.SH,X002371.SZ,X600741.SH,X300014.SZ,X300142.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X600118.SH,X002179.SZ,X002456.SZ,X300136.SZ,X600498.SH,X002223.SZ,X600271.SH,X002414.SZ,X600584.SH,X000066.SZ,X002049.SZ,X002185.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.316525642456781,0,0,0,0,0,0,0,0,0,0,0,0.230360310614472,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0636844014880143,0,0.0305790114042504,0,0,0,0.000336729872783667,0,0,0.000497628273408129,0,0,-0.0327715512444847,0,0,0.0366889108170276,0.0130521567838874,0.00320902619516758,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.168505943867406,0,0,0,0,0,0,0.288037491372648,0,0,0.161488863661405,0,0,0,0.167596651286679,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502720875696985,0,0,0.0027681306257638,0,0.0264057432030042,0.0267936203443488,0,0.00671490334825873,0.0115761600362973,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717625353809423,0,0,0,0,0,0,0,0,0.031294350983708,0,0.00236330903169732,0.0380894936720996,0,0,0.155252820152408,0,0,0,0,0,0.00267465740283538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01411336285903,0,0,0,0,0,0,0
X000651.SZ,0,0.280085249395055,0,0,0.0425684907517392,0.134733521294032,0,0,0.128893662598202,0,0,0,0.00343539027893827,0,0,0.153710548189258,0,0,0,0,0,0,0,0,0,0,0,0,0.0119913023634328,0,0.0485863280655534,0,0,0,0,0,0,0,0,-0.0714715685855202,0,3.25017326911743e-05,0,0,0,0,0,0,0,0,0,-0.013700134988444,0.00154700177760517,0,0,0,0,0,0
X002415.SZ,0,0.111985984598029,0,0,0,0,0,0,0,0,0,0,0,0.1020312566407,0,0,0,0,0,0,0.161026933259428,0,0,0,0.118990159853436,0,0,0,0,0,0,0,0,0,0,0.045754574602387,0,0,0,0,0,0.0725101289868425,0,0,0,0,0,0.159672780098484,0,0,0,0.0117587519436087,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0722797597490772,0.277830786818652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400903127798825,0.0772453404847364,0.118894237529094,0,0,0.161346886662555,0,0,0,0,0,0,0,0,0,0,0,0.0229853197942449,0.315912397360706,0,0,0,0,0,0,0,0,0,0,0.0202289638525328,-0.00793266091577534,0,0,0,0,0,0
X600104.SH,0,0.0899366985431189,0,0,0,0.054697893886455,0,0,0.0394821972617772,0,0,0,0,0,0,0,0,0,0,0,0.241584397079122,2.16840434497101e-19,0,0,0.076482309563589,0,0,0,0,0,0,0,0,0,0,0.0781054741226688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399578500716,0.0225433057517789,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922174215725747,-0.0254183039505485,0,0.209203572679349,-0.0953887557295126,0,0.0250026843948903,0,0,0,0,0,0,0,0,0,0,0.163826725547361,0,0,0,0,0.0143930555247122,0.468244576690179,0.227761054895954,0,0.0195426653046649,0,0,0,0,0,0,0.0704792535502526,0.0592103415826599,0,0,0,0,0,0
X600031.SH,0,0.140908280982216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0880223809362757,0,0,0,0,0,0,0.563918134732511,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0266030515041365,0,0,0,0.00895923718119564,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0360425253188948,0,0,0,0.0538488482360953,0,0,0,0,0.0658095575070064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531225090893556,0.00167842123524149,0.204125672445332,0.0433854593563884,0,0,0,0,0,0,0,0,0,0,0.0991765384597885,0.0493156490320464,0.043559140284692,0,0.0386502978633563,-0.0232569450382451,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.00174611164365156,0,0,0,0.144351602931599,0.25387275439284,0.067768763381796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141019510852953,0.0575324623800086,0,0,0,0,0.0375468750249363,0,0,0,0,0,0.0363658281462112,0,0,0,0.0374650301624592,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0664073293304265,0,0,0,0.0897353262314221,0,0,0,0,0.106376912698975,0,0,0,0,0,0,0,0,0.464107547811074,0.00889441784951762,0,0,0,0,0,0,0,0,0,0,0,0.0228111632618026,0,0.0108772010066731,0,0,0,0,0,-6.93889390390723e-18,1.73472347597681e-18,0,0,0.0231230587151661,0,0,0,0,0,0,0
