,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X002007.SZ,X300003.SZ,X000100.SZ,X002241.SZ,X600183.SH,X300142.SZ,X600741.SH,X300014.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002129.SZ,X000157.SZ,X600584.SH,X002236.SZ,X000625.SZ,X000800.SZ,X002049.SZ,X002463.SZ,X000066.SZ,X002414.SZ,X002456.SZ,X300136.SZ,X600498.SH,X600118.SH,X002179.SZ,X002185.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.137037795935981,0,0,0,0,0,0,0.0537800487340545,0.102352644165279,0,0,0,0.00185359400354006,0,0,0,0,0,0.257474041911241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201206077860572,0,0,0,0,0,0,0,0.0210311966261846,0.0486996108056166,0,0,0,0,0,0.0455751499746636,0,0,0,0,0,0,0,0
X000858.SZ,0.14501719352792,0,0,0,0,0.00822164719440434,0.0859934920118534,0,0,0,0,0,0,0.385400559643152,0,0,0.241146139327778,0,0,0,0.0283740208497317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410051463806681,0,-0.0576524275707082,0,0,0.00817561124023723,0.0321923316430028,0,0,0,0,0,0
X600276.SH,0,0.0103407226089984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124695010132019,0,0,0,0,0,0,0,0.0571448256062001,0,0,0.0494092596395658,0.103338285452449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706615422918491,0,0,-0.0177048982481272,-0.0048734188389274,1.0842021724855e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0254878540122845,0.033099426432182,0,0.0110390758006051,0,0,0,0,0,0.0338830334228201,0,0.167046622949932,0.449654084765552,0,0,0,0,0,0,0,0,0,0.0263174926756446,0,0,0,0,0,0,0,0,0,0.00176879362007045,0,0,0,-0.0700045512246795,0,0,0,0,0,0,0,0,0.0293314325931624,0.00608768986969032,0.0103761310847886,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00488316806721099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128376730281929,0.163591500450452,0,0,0,0,0,0,0,0.00520978274021062,0,0.0684460021247956,0,0,0,0,0,0.0249580290912317,0,0,0.0188930503212272,0,0,0,0,0.0289776184984891,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113047812153414,0,0,0.0369753953134898,0.109977064177955,0.198422753660847,0,0,0.0550182904398225,0,0,0,0.137416914531999,0,0,0,0,0,0.232178075571358,0,0,0,0,0,0,0.101805022228941,0,0,0,0,0,0,0.00621696019662893,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10567962121845,0,0.111856295320375,0,0,0,0,0.334070548298801,0,0.139417503967152,0,0,0.0125397417560735,0,0,0,0.11431050038589,0,0,0,0,0,0,0,-0.116379061283239,0,0,0,0,0,0,0,0.0224023527115931,0.0521726507180186,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0967030969008817,0,0,0,0.0397875788277674,0,0,0,0,0,0.016076563732293,-0.00165099217414334,0,0,0,0.192955359483733,0,0,0,0,0,0,0,0,0,0,0.168242572699115,0,0,0,0,0,0,0.204739122652079,0.442417007058732,0,0,0,-0.199483876028809,0,0,0,0.0275543026774865,0.103176264827787,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0995405730512345,0,0,0,0,0,0,0,0,0.278752971856054,0,0.0615152802315797,0,0,0,0,0,0,0,0.0369036626179891,0,0.0462222422442465,0,0,0,0,-0.0349576572482026,0.217826875530766,-0.0679743375507989,0,0.125389564733206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153241629932174,0,-0.0002342040251165,0.0316942575661732,0,0,0,0,0,0
X002304.SZ,0,0.305890798356028,0,0,0,0,0,0,0,0,0,0,0,0,0.13090072003611,0,0,0.0187218187788596,0,0,0,0,0,-0.0519405062313785,-3.46944695195361e-18,0,0,0,0,0,0,0.0252781991081125,0,-0.0559405848953706,0,0.105491719965502,0,0,0.0368279609527459,0,0,0,0,0.0473859092559641,0.0102744196346402,0,0,0,0,0,0,0.00475444058488061,8.67361737988404e-19,0,0,0,0,0,0
