,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X000568.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X600584.SH,X002129.SZ,X000800.SZ,X002414.SZ,X300136.SZ,X600183.SH,X000625.SZ,X002179.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.359932296630382,0.1589788659232,0.0303701213986838,0,0,0.107528395432921,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,1.35525271560688e-20,0,0,0,0,0,0.0254951406813851,0,0,0,0.022035947838843,0,0,0,0,0.0461469149207044,0,0,0,0,0,0.0408573292134796,0,0,0,0,0,0,0,0,0,0,0,0,-0.00511289145139852,-0.00187831519248304,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.163440417501689,0,0,0,0,0,0,0.460098154744945,0,0,0,0.0828708262005644,0.0847634218103216,0,0,0,0,0,0,-0.0514445035644019,0,1.73472347597681e-18,0,0,0,0,6.93889390390723e-18,0,0,0,0.095272190869485,0,0,0,0,0,0,0,0,0.0823310832646802,0,0,0,0,0,0,-0.000256727859534231,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0309956161840577,0,0.107869145317365,-0.0096981145237986,0.24303276836898,0,0,0,0,0,0,0,0,0,0,0,-0.0207546293316785,0,0,0.0160400126438793,0,0.0391979139123465,0,0,0,0,0.0382140000646672,0,-0.0799214186124679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116450066797769,0,0,-1.0842021724855e-19,0.00205695424009349,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285090004146393,0,0,0,0,0,0,0,0,0,0,0.0260813625279929,0,0,0,0,0.14824117400677,0.0359290322925296,0,0,0,0,0,0,0,0.00937883604431471,0.0192028952059819,0,0,0,0,0,0.133293432105465,0,0,0,-0.0278890430415956,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0521034176263415,0,0,0,0,0.100516719539134,0,0,0,0,0,0,0.236719109373164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084528576808517,0,-0.059489684400187,0,0,0,0.0576870305680868,0.041812744312749,0,0,0.0661917401505776,0.0339786891701836,0,0,0,0,0,0,0,0.0333432769744241,0,0.00530662698367033,-1.0842021724855e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0555508296365616,0,0.0626159314937664,0,0,0.0132585278082189,0,0,0.00244718450741652,0,0,0,0,0,0,0.142133098588542,0,0,0,0.0538838327644968,0,0,0,0.090664198980282,0,0,0,0,0,-0.0191003826875198,0,0,0,0,0,0,0,0,0.090721858028156,0,0,0,0,-1.0842021724855e-19,0,0,0,-0.0406876834182347,-0.0148667918938541,0,0,0,0,0,0
X000568.SZ,0,0.473046163394804,0,0,0,0,0,0,0.140255499133638,0.0832568634412259,0,0,0,0.083070834194602,0,0,0.01662357789215,0,0,0,0,0.0441411460493884,0,0,0,0,0,0,0,0,0,0,0.0926310117377054,-0.033440667533189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020881046874916,0,0,0,0,0.00338110913104697,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0653869323608484,0,0,0,0,0.0217571626028224,0,0,0,0.143226202817516,0,-0.0144202194956605,0,0,0.0157154514344628,0,0,0,0,0,0.0614990293076293,0,0,0,0.0672693576081842,0,0,0.152669733557635,0,0,0,0,0.0132016843188777,0,0,0.0961552532985226,0,0,0,0,-0.0634477668770872,-0.0237849043367635,0.0179858966061203,0,0,0,0,0,0
X002304.SZ,0,0.255538028755821,0,0.0953508218992195,0.00589261151926541,0.0674540293350941,0.375524277686826,0,0,0,0,0,0,0.00310284915782805,0,0,0,0,0,0,0,0.0631392022919191,0,0,0,0,0,0,0,0,0,0,0,0.0114394058434348,0,0,0,0,0,0.0952140914483377,0,0,0,-0.0328600032225524,0.0279033775455423,0,0,0,0,0,0,0.00562535921617532,-0.00981823592672771,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0342122828796208,0,0,0,0,0,0,0.0667098483105984,0,0,0,0,0,0,0,0.460860053792133,0,0.118339505955893,0,0,0,-0.0776262330372933,0,0,0.0138405932744719,0.0928335607911437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814778995707925,0.0210358467384852,0,0,0,0,0,0
