,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002007.SZ,X002236.SZ,X300142.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X601799.SH,X300003.SZ,X000799.SZ,X000800.SZ,X002074.SZ,X002008.SZ,X000066.SZ,X300146.SZ,X600089.SH,X002294.SZ,X000977.SZ,X600707.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.263197308524191,0,0,0,0.0736740312689302,0.135251610040819,0.017303501118904,0.0294893745175116,0.0146871974909184,0,0,0,0.0159591322400407,0,0,0,0,0,0,0,0.0307093437584841,0,0,0,0,0,0,0,0,0,0,-0.170098945240478,0,0,0,0,0,0.0419590481734765,0.12171776704821,0,0,0,0,0,0,0,0,-0.0173377491635093,0,0,0,-0.00938553222164418,0,0,0,-0.0216678975321519,0,0
X000858.SZ,0.023458889503125,0,0,0,0,0.362412078234653,0,0.158302852816644,0.00527938174571493,0.111188693038082,0,0,0,0,0,0,0,0,0,0,0,0.0493439106376516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792119983947439,0,0,0,0,0,0,0,0,0.0110319510760823,0,0,-0.0149480848629092,-0.0055709239295982,0,0,0,-0.0459043987073642,0,0
X002415.SZ,0,0,0,0,0,0.0124036648606667,0,0,0,0.150246675539776,0.15484708280156,0,0,0,0,0,0,0.0218714934366021,0,0,0,0,0,0,0,0,0,0,0.0605881096520525,0.12526345079476,0.404443516069538,0,0,0,0,0,0,0,0,0.0346590223757467,0,0,0,0,0,0,0,-0.015608030556917,-0.0135703857551713,-0.114698819415718,0,0.0160654062693347,0,0,0,0,4.33680868994202e-19,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0181694844802521,0,0,0,0,0.0580866956779467,0,0,0,0,0,0.0488051249860784,0,0,0,0,0,0.00959819230326562,0.184866341077317,0,0,0,-0.0465790009742929,0,0,0,0,0.100596617965637,0,0,0,0,-8.67361737988404e-19,0,-0.168158331144211,0,0.142455413115864,0,0,0,0,0,0.0112244781754411,0,0,0,-0.0154633693076935,0,0
X000651.SZ,0,0.0726056649233012,0,0,0,0,-0.102238706285137,0,0.143077299075701,0.134414244233551,0,0,0,0,0,0.0983209213789244,0,0,0,0.0781073434358807,0,0.0222612810567208,0,0.0365565998659563,0.0207790230553645,0,0,0,0,0,0,0,0,0,0,0,0,-0.113549158024356,0,0,0,0,0,0,0,0,0,0,0.0122774743683848,0,-0.0374144837716594,-0.0376971413882107,0.0239694233562509,0,0,0,0,0,0
X000568.SZ,0.110826483390904,0.325536307524496,0.00449289809887426,0,0,0,0,0.0475798260445563,0,0,0,0.0538484516819363,0.0467504252479849,0,0,0.0135807798897748,0,0.0765219558654042,0,0,0,0,-0.144676908137815,0,0,0,0,0,0,0.0631922137958307,0,0,0,0,0,0,0,0,0,0.28471576143433,0,0,0,0,-0.0398352427066399,0,0,0,0,0,0,0,-0.0371567653601736,0,0,0,0.0444328201169328,0,0
X600031.SH,0,0,0,0,0,0,0,0.0536612217571698,0,0,0.260299186204213,0.0221550482379645,0.179065842568862,0,0,0.0827828578371373,0,0,0,0,0,0,0.0456685287132138,0,0.0243270525315632,0,0.0388547239889336,0,0,0,0,0,1.0842021724855e-19,0.227445445504618,0,0,0,0.0452983600537065,0,0,0,0.0620223754109093,0,0,0,0,0,0,0,0,0,-0.0365165221045303,0,0,0,0,-0.023221715154322,0,0
X600809.SH,0,0,0,0,0,0,0.175375230481245,0,0,0,0.07612828748091,0,0,0,0,0.0418253999374165,0,0.0813281333246191,0,0,0.0959023928026599,0,0,0,0,0,0,0,0.0636271156807884,0,0,0,0,0,0,0,0,0.273750366691888,0,0.1136008267868,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0030020820481837,0,0,0,-0.0765858035898102,0,0,0,-0.0748225333645274,0,0
X600690.SH,0,0,0.216280651240097,0,0,0.0972849069338075,0,0.284874557135946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342578481592184,0.183890070118894,0,0,0.0838605881825937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370624480780181,0,0,0,0,0,0,0.00859282295372817,0,0,0,-0.0551803861350748,0,0
X002304.SZ,0.0201305407445142,0.311246261638617,0,0,0,0,0,0,0.0463850707866919,0,0,0,0,0,-0.0153304746896444,0.0253637571463259,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115698327954704,0,0.0719906828656441,-0.0503141862631001,0.114543186351938,0.0799331428265858,0,0,0,0,0,0.0272370501555046,0,0,-0.027744244249234,0,0,0,0,-0.0884479770919464,0,0
