,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X300124.SZ,X300014.SZ,X000725.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000625.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X601877.SH,X600702.SH,X000799.SZ,X002007.SZ,X600584.SH,X000157.SZ,X002074.SZ,X600741.SH,X002236.SZ,X600183.SH,X002414.SZ,X600779.SH,X601799.SH,X600089.SH,X300146.SZ,X000800.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.070599801621199,0,0,0,0,0,0.223190711844282,0.0594145711177931,0,0,0,-0.00491153798502853,0,0,0,0.037806525643109,0,0,0.0772489752112438,0,0,0,0,0,0,0.0058318678441136,0,0,-0.0313791113912678,0,0.1107283082414,0,0,-0.110511499161524,0,0.0259820144042632,0,0,0,0,0.0372761479930223,0,0,0,0,0,0,0,0,0,-0.0109549868134025,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.270338342760909,0,0.419474190348831,0,0,0,0,0,0,0.021971264146911,0,0,0,0,0,0,0,0,0,0.0279637633042916,0,0,0,0,0,0,0,0.0533022334018227,0,0,-0.0487787647481881,0,0,0,0,0,-0.103768183232688,0.0754118343584724,0.11454681917603,0,0.139793214030457,0,0,0,0,0,0,0,-0.0348458174494579,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.199303935519839,0,0,0,0,0.122706375493309,0,0,0,0.137124047587288,0,0,0.0672338389659167,0,0,0,0.0405805505444266,0,0.0164943051801407,0,0,0,0,0,0.0610367477800203,0,0,0.0114389115330436,0.0180154436037553,0,0,0,0,0,0.0719935255363889,0,0,0,0,0,0,0,0,0,0,0.0428061736114871,0,0,-0.00638200601382275,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,-0.154207126136524,0.0299816520908405,0,0.169067283272679,-0.105902324284635,0,0,0.205847060575485,0,0,0,0,0,0,-0.120990585338091,0,0,0,0,0.044983959361396,0,0,0,0,-0.0347062462347454,0,0,0.476349249407867,0,0,0,0,0,0,0,0,0.0679325515539538,0,0,0,0,0,0,0,-0.0298150143937268,0,-8.67361737988404e-19,0.0706398351736709,0,0,0,0,0,0
X600276.SH,0,0,0,-0.0732356487113418,0,0,0,-0.0397479217200648,0.248131615391071,0,0,0.188225299785768,0.255191186418423,0,0,0,0,0,0,0,0,0,0,0,0.142324043302097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.441441682664679,0,-0.00396532196357064,0,0,0,0,0,0,0,0,0,0,0.0617360428242783,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0969828486263237,0,0,0,0,0,0,0,0.19085597077119,0,0,0,0,0.00349555779786609,0.0437445227748785,-0.0260240162719532,0,-0.081653470525703,0,0,0,0,0.111506305304985,0,0,0,0,0,0,0,0,0,0,-0.0199320869418368,0,0,0,0,0,0,-0.0711821306137589,0,0,0.0902345805452418,0,0,0,0,0,0
X000568.SZ,0,0.627501737095141,0,0.0794150025809324,0,0,0,0,0.112262634468048,0,-0.28289036451912,0,0,0,0,0,0,0,0,0,0.0660576893818998,0,-0.0150293225553856,0,0,0,0.139244006622417,0,0,0,0,0,0,0,0.0194309447788144,0,0,0,0,0,0.0328294620897525,0,0,0,0,0,0,0,0,0,0,-0.0110282591632152,0.00879087991415284,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456344723628143,0,0,0,0,0,0,0.0668104408044849,0,0,0,0,0.129955021091082,0,0,0,0.0254853066338268,0,-0.0407060054092657,0,0,0,0,0,0,0,0,0.0830297211674837,0,0.150160146867917,-0.100911150559101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.408703780529308,0,0,0.31944115807562,0,0,0.0502105830863555,0,0,0.0784102414627558,-0.259535127543046,0,0,0.294511843109652,0.103489331257394,0,0,0,0,0,0,-0.0468790848285497,0,0,0,0.0847658930681976,0,0,-0.00612934012942805,-0.124984553167861,0,0,0,0.0520413785357258,0,0,0,0,0,0,0,0,0,0,0,0.0198289327564561,0.0967543083100971,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.305951095701786,0,0.205252323934363,0,0,0,0,0,0,0,0,0,0.271182889699531,0,0,0,0,0.0075504573129933,0,0,0,0,0,0,0,0.007017016926306,0,0.0126003600534333,0,0,0,0,0,0,0.0224532162844619,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0490908995810507,-0.0294691238044831,0.00823353233085546,0,0,0,-8.67361737988404e-19,0,0
