,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600104.SH,X300014.SZ,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002241.SZ,X600703.SH,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X002049.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X600741.SH,X300142.SZ,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600563.SH,X600522.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.47961256860682,0,0,0.130367143701261,0,0,0,0,0,0,0,0,-0.0136098068701481,0,0,0,0,0,0,0,0,0,0.0255117373946733,0,0.0295656922789372,0,0,0,0,-0.00324273386889291,0,0,0,0,0,0,0,0,0.039343081232276,0,0,0,0,0,0.0470564132413916,0,0,-0.0716878908677823,0,0,0.0420551677005029,-0.0566574001549764,0,0,0,4.33680868994202e-19,0,0
X000858.SZ,0,0,0,0.316210384162343,0,0,0,0,0,0.0784373209463234,0,0,0,0,0,0,-0.114048614847399,0,0,0,0,-0.0169030270592483,0,0,0,0,0.108625186577645,0,0.0124907057084146,0,0,0,0,0,0,0.195530244650511,0,0.0884164976741922,0,0,0,0,0,0,0,0,0,-0.0179322202049978,0,-0.0576252195986223,0,0,0,0,0,0,3.46944695195361e-18,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0320062734667145,0,0,0.155019972886245,0,0,0,0,0,0,0,0.0383940949389553,0,0,-0.015045163254134,0,0,0,0,0,0,0,0,0,0,0.114064895421495,0,0,0,0.0475030315410004,0,0.0505943969366579,0,0,0,0,0,0,0,0,0.0249454902714449,0,0,0,0.00667135032145697,0,0,0,0,0.0335770637199807,0,0
X600809.SH,0,0.109834535860212,0,0,0,0,0,0.258525180024032,0,0,0,0,0,0,0,0,-0.0704233009673294,0,0,0,0,0,0,-0.0572560361572037,-0.0221891938423908,-0.00988623949576508,0,0,0,0.100925217651987,-0.0355892165225993,0,0,0,0,0.443154430395997,0.0288336357186611,0,0.128592436109305,0.115525821867146,0,0,0,0,0,0,0,0,0,0,0,-0.00939510348113545,0,0,0,0,0,0,0
X000568.SZ,0,4.33680868994202e-19,0,0.207576361854857,0,0,0,0.0332322024618539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413228567107661,0.184294492577435,0,0.00164700410698951,0,0,0,0,0,0,0,0,0.153554816086414,-0.115622419076595,0.118381645200541,0,0,0,0,0,0,0,0,0,0,-0.0328230273603057,0,0,0.0376798331524178,0,0,0,0,0.0517909834196371,0,0
X600276.SH,0,0,0,0.325583797993331,0,0,0,0.109325532284988,0,0,0,0,0,0,0,0,0,0,0.0308568422225003,0,0,0,0,-0.025885523966662,0,0,0,-0.0751441335727238,0,0,0,0,-0.0175999301673045,0.0414899133478615,0,0.245636177241597,-0.292327374617408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139285385943624,0,0,0,0,0.0186927039654442,0,0
X002475.SZ,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.102458054656497,0,0,0,0,0.169639605392001,0.172247098001028,0,0,0.216949707770112,0,0,0,0,0,0,0,-0.262286549510957,0,0.0399842719948853,0,0,0,0,0,0,0.0772105161190371,0.144922447076306,0,0,-0.0251407900084831,0,0,0,0,0.0529067305386051,0,0,0,0,0,0,0,0,0,0.0359426809919835,0,0
X002304.SZ,0,8.67361737988404e-19,0,0.2878176156379,0,0,0,0,0,0,0.0748650380673563,0,0,0,0,0,0,0,0,0,0,-0.120118441575392,0,0,0.134137039943826,0,0,0,0,-0.0380543816024058,0,0,0.0363338790268836,0,0,0.146456101912903,-0.0284324875933701,0.0379436004928924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246722425436738,0,0,0,0,-0.0476039015638788,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161305255569453,0,0.0614902973431408,0,0,0,0.0275887924947775,-0.0112865939192094,0,-0.016317294075987,0,0,-0.0358867949010054,0.0668287428429657,0,0,0,0,-0.109768099468493,0.0234207027748373,0,0.0484878237433908,0.021472026325018,0,0,0,0,0,0,0,0.0239585792124463,-0.0714395002576106,0.0639348234091747,0,0,0,0.0575813172208908,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0.247003791948117,0,0,0,0,0,0,0.0439179501183403,0,0,0.133939938334715,0,0,0,0,0,0,0,0,0,0.130830650829213,0,0,0.0600245028634039,0,0.0564031124625624,0,0,0.0883590259795008,0.0734226758722787,0,0,-0.207284695145245,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0416513944563203,0,0,0,0,0.13628181638096,0,0
