,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X002475.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002129.SZ,X002371.SZ,X600703.SH,X002049.SZ,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X002074.SZ,X000661.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600522.SH,X600884.SH,X000733.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X002007.SZ,X600779.SH,X601799.SH,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.576980299869269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851651352229913,0,0,0,0,0,0.00791620699639132,0,0,0,0.0304955688690104,0,0,0.0621558723583473,0,-0.0309510650503316,-0.00894424762320213,0,0,0,0,0,0,0.0436269122193813,0,0,0,0,-0.00625973085496914,-0.0119431558723368,0,0,0,-8.67361737988404e-19,0,0
X000858.SZ,0.290784900194868,0,0,0,0.0191212877318055,0.103367870592486,0,0,0.126210020535941,0,0,0,0,0,0,0,0,0,0,0,0,0.0868178223742273,0,0,0,0,0,0,0,0,-0.0400486938778369,0,0,0,0,0,0.0526186788522578,0.0114793438741143,-0.00969047574097837,0,0,0.0815255621157249,0,0,0,0,0,0,0,0,0,0.032087939260987,-0.0288139363369606,0,0,0,0,0,0
X002415.SZ,0,0.089164924957499,0,0.0248510382011116,0.092270808481472,0,0,0,0.0055629975116634,0,0,0,-0.0676113777792373,0,0,0,0,0,0,0,0.18694574614838,0,0.0265531362867922,0,0,0,0,0,0,0,-0.172747202121021,0,0,0,0,0,-0.19114085989979,0.164392399168942,0,0.108609458164128,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.00716180946629501,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.175502386781804,0,0,0,0,0,0,0,0,0,0,0,0,-0.286261981504115,0,0,0,0.124457129882616,0,0,0,-0.0429151385782822,0,0,-0.0238660824661549,0,0,0,-0.00852356018125761,0,0,0.230323294332084,0,0,0,0,0,0.202197093501587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198801308423843,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365382675473281,0,-0.0979501027452681,0,0.180722554440349,0,0.0347917700953395,0,0,0,0,0,0,0,-0.0426331939594957,0.0318015044462636,0,0,0.0041392785715014,-0.084373887187946,0,0,0.0275441489518556,-0.12706353402016,0,-0.0206571294601125,0,0,0,0,0,0.110380556990692,0,0,0,-0.0875997278714247,0,0,0,0,-0.0843998877406574,0,0
X000568.SZ,0.236329092732584,0.105133317316134,0,0,0,0,0,0,0,0.170361527763607,0,0,0,0,0.0146637342308941,0,0,0,0,0,0,0,0,0.215651649348464,-0.00499176774885013,0,-0.0599534597408099,0,0,0,0,0,0,0,0.152263750414501,0,0,0,-0.0094820415160012,0,0,0,-0.22869149122099,0,0,0,0.180359212875728,0,0,0,0,0,0.00962337526810367,0,0,0,-0.00298096578631056,0,0
X600276.SH,0,0.0147096960976459,0.0687962284676557,0,0.156518533288138,0,0,0.148392904747487,0,0,0,0,0,-0.112056025141881,0,0,0,0,0,0,0,0,0,-0.0090475948340487,0,0,-0.19777248613958,0,0,0.103194466213911,-0.0845738596150033,0,0,-0.061346067325195,0.0576563944603094,0,0,0,0.10640581960079,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258488214871634,-0.00380132429615742,0,0,0,0,0,0
X600690.SH,0,0.153406653956786,0,0,0.0299634605270893,0,0.167710028773319,0,0,0.199599181714743,0,0,0.245530260076425,0,0,0,0,0,0.0893542826331821,0,0,0,0,0,0,0,0,0,0,0.0237638964944741,0,0,0,0.0219642418987845,0,0,0.0312003993175293,0,0.0401537081954189,0,-0.0144649902399958,0,0,0.0166851695246487,0.0342133001644951,0,0,0,0,0,0,-0.0158061967853209,0,0,0,0,0,0,0
X002304.SZ,0,0.123951026001202,0.00458433111458068,0,0,0,0,0.0591810882295475,0,0,0,0,0,-0.0819473329195329,-0.00767095014345868,0,0,0,0,0,0.164176994405009,0,0.0618111601475822,0.13058112100788,0,0,0,0.0317981278734395,0,0,0,0,0,0,-0.0762652007860772,0,0,0,-0.0373066233316172,0,0,0,0,-0.0102033991395663,0,0,0,0,0,0,0,0.0109300448369001,8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0619344805314501,0,0,0.00665395288016583,0,0,0,0.179594719402725,-0.0275999904491559,0.183731894258009,0,0,0,0,0,0,0,0,0.0300813384369278,0,0,-0.0452596436269528,0,0,-0.0402062735298458,0,0.0217199690507888,0,0,0.0303761306995643,0,0,0,-0.0234729651196296,0,0,0,0,0,0,0,0,0,0,0.0661015505407009,0,0,0,0,0,0,0.00760432961829007,0,0
X600104.SH,0,0,0,0,0.089964035465933,0.107200755515217,0,0,0,0,0,0,0.137943882185984,-0.0569313764377631,0,0,0,0,0.0830231585587586,0,-0.121839935041161,0,0,0,0,0.135907822312782,0,0,0,-0.0116386733851603,0,0,0,-0.000268145774970093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00747925593788668,0,0,0,0,-0.0479067346526128,0,0
X000725.SZ,0,0,0,0,0.037296943015919,0,0.0270128776261725,0.0325803695979114,0,0,0.022356688590057,0,0,0,0,0,0,0,0.0587421235008026,-0.00893667902464909,0,0.00101919955319306,0,0,0,0,0.00819332799665994,0,0.367261048252667,-0.0385022276756359,0,0,0,0,0,0,0,0.0119990903863804,0,0,0,-0.018344780639835,0,0,0.0151185958508212,0,0,0,0,0,0,0.00507414206092032,0,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0996682130332913,0,0,0,0.0543789540916002,0,0.212661551492325,0,0,0,-0.030160264268234,0.0166205795519846,0,0,0,0.16097907580099,0,-0.0256096320856334,0,0,0,0,0,0,0,0,0.0199139922556414,0,0,0,0,0,0.347871080493137,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0203620504131931,0,0,0,0,0,-0.01909039801666,-0.0313944940774294,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445262520939601,0,0,0,0.0106795754904622,0,-0.0280245652150788,0,0,0.107350915394468,0,0,0,0.124601979530356,0.0681130620641234,0.0527831852724223,0,0.186892814589823,0.114385684444424,0,0,0,0.040898672568123,0.327564941868819,-0.0534717482419006,0,0,0,0,0,0,0.331235030832983,0,-0.132987613394523,0.0777451264039219,0,-0.0216321875946471,0,0,0,0,0,0
