,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X600031.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002241.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X002180.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X600584.SH,X002236.SZ,X000799.SZ,X002414.SZ,X601799.SH,X600487.SH,X002176.SZ,X600563.SH,X300003.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.22328328546272,0,0,-8.67361737988404e-19,0,0.0235955621783141,0,0,-0.00155812993445152,0,0,0,0,0,0,0,0,-0.0198938324977643,0,0,0,0,0,0.0636683094232328,-0.0553529535754371,0.0755402945744328,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.083879837317174,0,0,0,0,-0.0184395589898006,-0.0601885933677192,0,0,0.00690717541976016,0.00844635688185636,0,0,0,0,0,0
X000858.SZ,0,0,8.67361737988404e-19,0,0,0,0,0.00764101917089778,0.0268322171721879,0,0,0.0109760365200928,0,0,0,0,0.0223824900130824,0.0345546422705363,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.154401151451066,0,0,0.334448755610267,0,0,0,-0.111895485910573,-0.0123595726061815,0,0.0460387853194283,0,0,0,-0.0499929707965821,0.0230659937266621,-0.00534470430356761,0,0,0,0,0,0
X600809.SH,0,0,0,0.0554948037403706,0,0,0,0,0,0,0,0,0,0,0,0,0.290707983636846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299517173450198,0,0,0,0,0,0,0,-0.141015466844686,0.0533582139753238,0,0,0,0.0332282969243019,0.294470630451656,-0.0976566146532913,-0.00630972514131717,0,0,0,0,0,0
X000568.SZ,0,0,0.199778615310815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539603010292474,-0.0237472014770556,0,0,0,0,0,-0.0117636984478464,0,0,0.0344891100830703,0,0,0,0,0,0,0,0,0,0,0,0,0.313207919316776,0,0,0,-0.00413751712202325,0,0,0,-0.0264922854009074,0.0608083051301697,0,0,-0.0404144659258649,0.000370907466866917,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.000295133219016952,0,0,0,0,0,0,0,0,0,0,0,0.0527681183811105,0,0,0,0,0,0.228285919772367,0,0.0613022459067679,0,0,0,0,0,0,0,0.0106543417036193,0.644450940383824,0,0,-0.0950148995570695,0,0,-0.146949073711991,0,0,0,0,0.0412534246013292,0,0,0,0,0,0
X600690.SH,0,0,0.205662501098037,0.0408535618832627,0,0,0,0,0,0,0,-0.00731756267004019,-0.0129655764181077,0,0,0,0,0,0,0,-0.000723514713255176,0,0,0,0,0,0.254850403983787,0,0,0,0,0,-0.18976019816802,0,0,0,0,0,0,0.0157851554407821,0,0,0,0,0,-0.0511380919249996,0,0,0.200135544748509,0,0,-0.0237052534787463,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0768017921868799,0,0.35757870072108,0,0,0,0,0,0,0.0529626379223576,0,0.169661032150629,0,0,0,-0.0152174905870351,0,0,-0.16991687999036,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0515687702897332,0,0,0,0,0,0,0,-0.132069582628241,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.273500583033968,0,0,0,0,0,0,0,-0.221080037082642,0,0,0,0,0,0.339294038598159,0,0,0,0,0.167533366595162,0,0,0,0,0.385873511107771,0,0.0311583065219795,0,0,0,0,-0.168294799152112,0,0,0,0,0,0,0,0,-0.137328711944816,-0.293876639956236,0,0.108593493628103,0,0.0195355825255676,0,-0.0576474210917734,0,0,0,0.0966715136002812,0,0
X002304.SZ,0,0.299742134470733,0,0,0,0,0.0298640262157484,0.0259574125280945,0,0,0,0,0,0.0688415612573885,0,0,-6.93889390390723e-18,0,0,0,0.0528226031283117,0,0,0,0,0,0,0,0,0,0,0.10987980982133,0,0,0.014183351260685,0,0,0.015779290412235,0,0.1472114922794,0,0,0,-0.130177044118002,0,-0.0296422948576892,0,0,0,0,0,0,0.0308013697724685,0,0,0,0.00329077219781742,0,0
X000651.SZ,0,0,0,0,0,0,0.0399028762632185,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524931910468873,0,0.0256726943342332,0,0,0.00509108282874834,0,-0.007163963744736,0.109639446681898,0,0.171695189324352,0,0,0,0,0.0415623155018241,0,-0.024635048832725,0,0,0,0,0,0,0,0,0.117524841692088,0,0.0700857393610442,0,0,0,-0.0790930350335022,0,0,0,0,0,0
