,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000100.SZ,X002049.SZ,X002236.SZ,X600372.SH,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X002180.SZ,X000733.SZ,X002463.SZ,X002074.SZ,X000988.SZ,X600702.SH,X600460.SH,X000066.SZ,X300142.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.216165349053723,0.150258722268922,0,0.0793269970968405,0,0,0,-0.0380987382516912,0.125137708667756,0,0,0,0,0,0.0436552593298697,0,0,0,0.0201145991392632,0,0,0,0,0,0,0,-0.018662002595671,0,0,0,0,0,0,0,0,0,0,0,-0.0252182362439202,0,0,0,0,0,0,0,0,0,0,0,-0.0186116341480426,0.0502826521560178,0,0,0,0,0,0
X000858.SZ,0.13548381460439,0,0.379510076028175,0,0,0.0170166888036285,0,0,0,0.0662322841694145,0.053045570118585,0,0,0,0,0,0.0515357738600088,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270931267352144,0,0,0,0,0,0,0,0,0,0,0,0,0.168896232649886,0,0,0,0,0,0,0,0.0601845623968003,0,0.0152942682940129,0,0,0,0,0,0
X000568.SZ,0.306882865585944,0.370127379520792,0,0,0,0,0,0,0,0,0.217690201776617,0,0,0,0,0.0185537693778028,0,-0.0385670625359547,0.0280326209367355,0,0,0,0,0,-0.0372163143353538,0,0,0,0,-0.00689535361757686,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0409628221581979,0.149182084849844,0,0,0,0,0,0,0,0,-0.00465226805742095,0,0,0,0,0,0,0
X002415.SZ,0,0.0216395172476948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148243444865272,0.18557115683025,-0.118660767914765,0,0,0.307848604045334,0,0,0,0.249644980869738,0,0,0.292879240946378,0,-0.00591850324886688,0,0,0,0,0,0,-0.100117118713859,0.170603180011392,0,-0.0597930634100551,0,-0.0394675268486145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0126546834469784,0,0,0,0.0435994323263742,0,0,0,0,0,0,0,0,0,0.115745970126986,0,0,0,0,0,4.33680868994202e-19,-0.189363135616107,0,0.0596466202574668,0,0,0.0493869382484678,0,0,0,0,0,0,0.165751812608019,0,0,-0.261024265950981,0,0.114971049007423,0,0,-0.00287595499270751,0,0,0.0869618359313665,0,0,0,0.00920352277221769,0,0,0,0,0,0,0
X600809.SH,0,0.0625340996177472,0,0,0,0,0,0,6.93889390390723e-18,0,0.181481843141508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585836825742456,0,0,0,0,0.0034560729249759,0,0,0,0,0,0,0,0,0,0.100302960318573,0,0,0,0,0,0,0,0,-0.347937364246691,0,0.373844883811873,0,0.0724924145079515,0,0,0,0,0,0
X002475.SZ,0,0,0,0.137183326270584,0,0,0,0,0,0,0,0.0257331008156952,0,0,0,-0.0170044902288754,0,0,0,0.0768338898498801,0,0,0,0,0.0347519228459563,0,0,0,0,0,0.352895734210262,0.423081093548997,0,0,0,0,0,0,0,0,0,0.19194301657551,0.11851583422263,0,0,0,0,0,0,0,0,0,-0.0289684855620279,0,0,0,0,0,0
X600690.SH,0,0,0,0.000970374165793341,0.149215495356424,0,-0.00621167396206161,0,-0.0353170292993306,0.184486220337577,0,0,0,0.0632432108175503,0,0,0.215976804298239,0,0,0,0.00677202961315059,0,0,0,0,0,0,0,0,0.0405336716170583,0,0,0,0,0,0,0,-0.0761431381728307,0,-0.0716145621037519,0.0413208499150755,0,0,0,0,0.244039120914506,0,0,0,0,0,0.0522265651919066,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.220333928368363,0,0,0,0,0,0,0,0,-0.0505192820336496,0.110712656184339,0.0361351888544615,0,0,0,0,0,0,0.113405348148057,0,0.177926699831132,0,0,0,0,0,0,0.202193124193602,0,0,0,0,0,0,0,0.0896689907823569,0,-0.192985259619087,0,0,0,0,0.0498784005469287,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0682213140970525,0.142309857004623,0,0,0.303306083921407,0,0,0,0,0,0,0,0.0329935438005351,0,-0.468829309706129,0,0,0,0,0.0599497349810346,-0.0560096644493984,0,0,-0.0278819254262612,0,0,0,0,0,0,0,0,0,0,0.0616769688280834,0.28334361935359,0,0.0714007954149269,0,0,0.0928667041366801,0,0,0,0,-0.00399284130402335,0,0,0,0,0,0
