,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X002236.SZ,X600372.SH,X000661.SZ,X002241.SZ,X002049.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X601799.SH,X600460.SH,X002463.SZ,X600418.SH,X002180.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.444618986033061,0,0,0.024123723288266,0.0824415102156177,0,0,0.0152799279562238,0,0,0,0,0,0,0,0,0,0,0,0,0.0913395702264372,0,0,0,0,0,0,0,0,-0.144465890563688,0,0,0,0,0,0,0,0,0,0,0.108900528574125,0,0,0.0900958721160816,0,0.0806029521017238,0.245466211985534,0,0,0,0,0,0.0374059530015554,0,0,0.0709685854313208,0,0
X000858.SZ,0.294213967024975,0,0,0,0.00266095089168696,0.184204229316081,0,0.0850378938012299,6.93889390390723e-18,0,0.149226677248133,-0.0833206562696786,-0.123691340166715,0,0,0,0,0,0,0,0.114575902722925,0,0,0,0.014107626502481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777616669297318,0,0,0,0.0167585787827666,0,0,0,0,0.00146670152035222,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0452635566866559,0,0,0,0,0,0.00672685097068162,0,0,0,0,0,0,0,0,0,0,0.238445982940462,0,0,0,0,0.0838436473157092,0,0,0,0,0,0,0,0,0,0,0,0,0.103398652650646,0,0,0.137283290058046,0.00620051467047263,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0719281354689091,0,0.0643412811992319,0,0.0427255299113396,0,0,0,0,0,0,0,0.0895139255263187,0,0,-0.0484243022799158,0,0,0,0,0,0,0,0,0.0403977152458758,0,0,0,0,0,-0.0228636792538309,0,0,0,0,0,-0.02314632547374,0,0,0,0,0,0,0,0.328591011710893,0,0,0.00925746677585391,-0.0043564155955275,0,0,0,0,0,0
X000568.SZ,0.319730611238484,0.163613798111456,0,0,0,0.173992123881512,0,0,0,0,0,0,0.159397382673801,0,0,0.29912467068726,0.0697237013783498,0,-0.0400082875461192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00194612944317027,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434401108634716,0,0,-0.00550683060926434,-0.00546344793122104,0,0,0,0,0,0
X600809.SH,0.259039945263223,0,0,0,0.200829737520626,0,0,0,0,0,0,0,0,0,0,0.322209499268926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423199542044703,0,-0.0575774617406482,-0.0850796667033412,0,0,0,0,0,0.0230336056104458,0,0,0,0,0,0,0,0.0286972446753346,-0.0623012702316087,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.416520570560223,0,0,0,0,0,0,-0.152481121977434,0,0,0,0,0,0,0,0,0,0,0,0,-0.00865110158785211,0.116680759432384,0,0,0.153848197480386,0,0,0,0,-0.0430801634673093,0,0,0.0730292751731455,0,0,0,0,0,0.345263037656296,0.0572536804304809,0,0,0,0.30028312507891,0.0994755602331597,0,-0.0576794311542594,0.0949613279279177,0,0,0,0,0,0
X600690.SH,0.136516993306136,0.00133178531661097,0,0,0.0499886739429058,0,0,0,0,0.101392451638678,0,-0.0324954348328651,0,0,0,0.0866577948236877,0.0696113824654179,-0.0472042601972448,0,0,0.072214228262855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035822169458178,0,0,0,0,0,0,0,0.0111824610727623,0,0,0,0,-0.0320146078384501,0,0
X000625.SZ,0,0,-0.301479498912781,0,0,0,0,0.0376905407622077,0,0,0.176848828383744,0,0,0,0,0,0.366078147098715,0,0,0,0.0447536831720789,0,0,0,0,0.174645039403271,0,0,0,0,0,0,0,0,0,0,0,0.106181119084983,0,0,0,0.00147120877844898,0,0.140646176496517,0.372700563398652,0,0,0,0,0,0,0,0.0165750814419301,0,0,0,0.00211918918372297,0,0
X000651.SZ,0,0,0,0,0,0,0,0.194006837427761,0.0316116124153918,0,0,0,0,0,0,0,0.0705030680383103,0,0,0,0,-0.0110176817923519,0,0,0,0,0,0,0,0,-0.211719843165156,0,0,0,0,0,0.0952354050203636,0,0,0,0,0.135414878052488,0,0,0,0,0.0869428061275404,0,0.0339169253252254,-0.0438254146166365,0,0.0470481285140066,-0.115611524243108,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0871230330915079,0.249882907407754,0,0,0.0133182853004549,0,0,0,0,0,0,0,0,0.044432827003865,0,0,0.117864158168393,0,0,0,0,0.0297157638594558,0,0,0,0,0,0,0,0,0.089837597766279,0,0,0,0,0,0,0,0,0.0212825580005219,0,0,0,0,0,0,0,0.0306629237271405,-0.0758203449758776,0,0,0,0,0,0
X600104.SH,0.189728795812489,0,0,0,0,0,0,0,0.0620151559662833,0,0,0,0.0277266492728904,0,0,0,0,0,0,0,-0.109798325761534,0,0,0,0,0,0,0,0,0,-0.102447931934969,0.10986864493647,0.139955022070568,0,0,0,0,0,0,0,0,0,0,0,0.0791412443174432,0,0.00826095294737322,0,-0.13912966502672,0,0,0,0.0114741860151343,0,0,0,-0.0555773620283433,0,0
X300124.SZ,0,0,0,-0.050170207052848,0.176714568201616,0,0,0,-0.0128000272874202,0,0,0,0,0,0,0,0,0,0,0,-0.272354061808807,0,0,0,0,0,0.00910606961987314,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571913634728934,0,0,0,0,0.080726695924942,0.354856548938578,0,0,0,0,0.016609797892405,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.024547183126195,0.00432516649112317,0,0,0,0,0,0,0.162647847005584,0.0529785811849581,0,0,0,0,0,0,0,0,0,0,0,-0.0478553911425714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365604577811814,0,0,-0.110902025883257,0,0,0.0431891031244406,-0.0422939850510749,0,0,0,0.148202912221035,0,0
