,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000063.SZ,X002371.SZ,X000596.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X002463.SZ,X002007.SZ,X000800.SZ,X600522.SH,X601799.SH,X002028.SZ,X600460.SH,X600418.SH,X002074.SZ,X002294.SZ,X300142.SZ,X000066.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.398684844621654,0,0,0.323267244669559,4.33680868994202e-19,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590523320264354,0,0,0,0,0,0,0,0.013442224410012,0.303306847901352,0,0.100701477074432,0,0,0.0230485081453974,-0.0190688170453465,-0.0209845421018653,0,-0.00838182334022611,0.0304634033176603,0,0,0,0.0899584606661472,0,0
X000858.SZ,0.129417136890293,0,0,0,0.102654189370199,0.308290755675999,0,0.122711219004707,0,0,0.0338748960993759,0,-0.10277594351978,0,0,0,0,0,0,0,0.0565736232332165,0,0.0985386144333707,0,0,0,0,0,0.0524079692728524,0,0,0,0,0,0,0,0,0,0,0,0.00533576524609581,0,0,0,0,0,0,0.0157068282962533,0,0,0,0,-0.00502534883326127,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0293416922986763,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.119754792123496,0,0,0,0.27148131896261,0,0,0,0,-0.0511813476855912,0,0,0,0.119250658421397,0,0,0,0,0,0,-0.125900722328716,0.164530655248365,0,0.0225378723301323,0,0,0,0,0,0.0824596615632117,0,0.031904256994748,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0986405869094047,0.0188572308415036,0,0.0483083267791041,0,0,0,0,0,0,0,0,0.122718892140528,0,0,0,0,0,0,0,0,0,0,0.05848924649189,0,0,0,0,-0.0359994583845881,0,0,0,0.0918425799831943,0,0,0,0,0,-0.00880649408412661,0,0.225527582873939,0,-0.0143571305279303,0.00192674096429451,0,0.0137253553653043,-0.014146459891596,0,0,0,0,0,0
X600809.SH,0.192254223729309,0,0,0,0,0.36404887919583,0,0,0,0,0,0,0,0,0,0,0,0.260474635437749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490258338707845,0,0,0.0931771543343778,0,-0.0778033752342846,-0.0978475095060491,0.000129537436515659,0,0,0,-0.014533280345366,0,0,0,0,0,0,-0.0106828047476978,0,0,0,0,0,0
X000568.SZ,0.107421018236027,0.539822768718959,0,0,0.393116696153119,0,0,0,0,0,0,0.0215329680497122,0,0,0,0,-0.0274971619349359,0,0.00378682088816507,0,0,-0.0692397963456377,0,0,0,-0.0524827320098108,0,0,0,0,0,0,0,0,0,0,-0.0650561206753998,0,0,0,0,-0.0332716764490843,0,0,0,0,0,0.00258762401124229,0,0,0,0.00244586183412114,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409378666546653,0.120986699650985,-0.0852649016981737,0.00151232758992231,0,0,0.262529673309621,0,0,0,0,0,0,0,0,-0.067072051040002,0,0.0169784234190718,0,0,0,0.048878439710753,0.0315377931517102,0,0,0.0747216389735187,0,0,0,0,0,0,-0.00262331558967773,0.0323043857149903,0,0,0,0,0,0
X600690.SH,0.0505095048903323,0,0,0,0,0.259460977010898,0,0,0.22071095812722,0,0,0,-0.0327779512889701,0,0,0,0,0.0440813660041127,0.0397560690833457,0,0.0583262315731588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00018969327407747,0,0,0,0,0,0,0,0,0,0,0,0,0.0951581969391521,0,0.0240425635143119,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0889659822398089,0,0,0,0.13792396266238,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339744392087516,0,0,0,0,0,0,0,0,-0.245813479226942,0,0,0,0,0,0,0,0,0,0.159456053034287,0.238409407364573,0,0,0,0,0,0.0590960975107944,-0.0285946493816301,0,0,-3.46944695195361e-18,-0.0499106061253302,0,0,0,0,0,0
X000625.SZ,0,0,0,0.145393288199344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38380923326969,0,0.0656595560499784,0,0,0,0,-0.0573209724063422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135017663567484,0.321270481298367,0,0,0,0,0,0,0.00800361609529677,-0.0134630455859477,0,0,0,0,0,0
