,X600519.SH,X000858.SZ,X600809.SH,X600690.SH,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X000157.SZ,X002179.SZ,X600089.SH,X600066.SH,X600703.SH,X002463.SZ,X000921.SZ,X600372.SH,X002236.SZ,X002241.SZ,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X601799.SH,X002180.SZ,X600487.SH,X600060.SH,X600566.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.129933082762612,0,0,0.0181652287172241,0.166121827563072,0,0,-0.0393038238262543,0,0,0,-0.000205503151341663,0,0,0,0.0972200892899767,0.0383837053349334,0,0,0,0,0,0,0.0406325468020375,0,-6.7762635780344e-21,-0.0301817824605979,0,0,0,0,0,0,0,0,0,0,0.0516630499018789,0,0,0,0,0.0167999920052507,-0.0261729379860886,0,0,0,0,0,-0.00688148600976462,-1.35525271560688e-20,-0.00100833065975406,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.42271461903357,0,0,0,0,0,0,0,0,0,-0.00477551047575431,0.24449118085179,0.0692289148681158,0.00358476366879473,0,-0.014117317320996,-0.0443179957205176,0,0,0,0,0.0570792170539778,-0.0423369463509619,0,0,0,0,0,0,0,0.00871286871313127,0,0,0.0145814133225504,0,0.0600480296927966,0,0,0,0,0,0,-0.0120328019061028,0,0,-0.0111017628249237,-0.0145988658656028,0,0,0,0,0,0
X600809.SH,0.156230903677252,0,0,0,0,0,0.321310858849711,0,0,0,0,0.0176192657749215,0,-0.0323718720946558,0.136576231240155,0,0,0,0.0578930487354758,0,0,0,-0.0888290496478039,0,0,0.132843254046157,0,-0.0775537094014142,0,0,0,0,0,0,0,0,0,-0.0133159116822267,0,0,0,-0.0297125686107585,0,0,0,0.0725132536661068,0,0,0,0,0,-0.0837588699720161,0.014214802075528,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.129141832388923,0,0,0,0,0,0,0,0,0,0.120464357888141,0,0,0,0,0,0.0462568228030736,0,-0.0150615168150787,0,-0.0944794079189317,0.239236810952697,0,0,0,0,0,0,0.0649906413230776,0,0.0149244382412313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111237173356311,-0.0137704572336918,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0728071525623615,0,0.0755884058980839,0,0,0,0,0,0,0,0,0.0986176227065415,0,0,0,0,0,0,-0.021371821395213,0,0,0,0,0,0.149525081099262,0,0,0,0,0,0.0772086428336418,0,0,0.0372298974415048,0,0,0.111760571380593,0,0,0,0,0,0,0,0,-0.00510136670670282,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426669338437861,0,0,0,0,0,-0.0172453172974348,0,0,0,0,0,0.152401333831946,0,0,0,0,0,0,0,0,0.415346205661649,0,0,0,0.0792019343758446,0,-0.0333242751928403,0.0308777065899286,0,0,0,0,0,0,0
X000568.SZ,0,0.804550069805204,0.223145059932342,0,0,0,0,0,-0.0204958724665111,0,0,0,0,0,0,0,0,0,0,0,0.11084925657202,0.0902494234491193,0,0,0.0422170437045287,0,0,-0.114702015136708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119547040612068,0,0,0,-0.0124881042128999,-0.0455931825425891,0,0,0,0,0,0.0312653336409495,0,0,0,0,0,0
X000651.SZ,0,0,0,0.293377503142308,0,-0.0476419985916862,0.0930871870216389,0,0,0,0,0.202849770939514,0,0.0774324665598179,0,0,-0.108242144328326,0,0.0193644713515643,0,0.0583742521618658,0,0,0,0.19212785464748,0,0,-3.46944695195361e-18,0.140296398331402,0,0,0,0,0,0,0,0,0.016014636082856,-0.0995258141098959,0,-0.185112699015774,0,0,0,0,0,0,0,0,0,0,0,-0.00596355087321088,0.0525171941039924,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729147164304301,0.0080824886785698,-0.02735011561969,0.328010646777804,0,0,0,0,0,0,0,0.337097657336973,0,0,0,0,0,0.0571966059384899,0,0.0502711832514682,0,0,0,0,0.206951450007201,0,0,0,0,0,0,0,0.0212597539061014,-0.293284824617566,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.0764409215543577,-0.0696737235231889,0,-0.0365719923489267,0,0,0,0,0,0,0,0,-0.238345848256401,0,0.302782876572881,0,0.149641918628656,0.103821497511735,0,0,0,0,0,0.0683129859084273,0,-0.0909899431035245,0,0,0,0,0.104827336240411,0,0,-0.10425063668418,0,0,-0.307121703704387,0,0,0,0.00739789506526075,0,0,0.276649250049062,0,0.108765332768597,-0.0625126704908094,-0.0589219981897822,0,0,0,0,0,0
