,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X000921.SZ,X002236.SZ,X000977.SZ,X600584.SH,X600741.SH,X002049.SZ,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X002223.SZ,X002129.SZ,X000800.SZ,X002180.SZ,X600060.SH,X002156.SZ,X600177.SH,X600487.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.039087408554212,-0.00706249344871646,0.319422905569751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437285301389051,0,-0.0912896350025952,0,0,-0.0406015326136015,0,0,0,0,0,0,0,0,0,0,-0.0196895578943927,-0.00382986270954719,0,0,0,0,0,0,0,0,0.0579176709506315,0,-0.00432577449201117,0,0,-0.0356158148997909,-0.00829299167125944,-0.0236529533957162,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.451068474164576,0,0,0,0,0,0,0,0,0.213450318123971,0,0,0,0.0609126964241504,0,0,0.021495721177248,0,0,0,0.0344522496104942,0,0,-0.0355510909018763,0,0,0,0.0198619844067627,-3.46944695195361e-18,0,0,0,-4.33680868994202e-19,0,0.0403589192009192,0,0,0,0,0,0.00970605986956839,0,0,-0.0293671840255461,0,-0.0160362983621617,-0.0196037304655458,0,0,0,1.0842021724855e-19,0,0
X002415.SZ,0,0,0,0,0,0.0485632595480282,0.0285613247517056,0,0.0571240491066757,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.022654385306646,0.101199259187422,0,0,0,0,0,0,0,0,0,0,0,0.172012394286797,0.0546465057413064,0,0,0.0255358096730229,0,0.0231209722620503,0,0,0,0,0.0166326837065547,0,0,0,0,0,0,0,0.0466921478311146,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.312420570308449,0,0,0,0,0.033825372975461,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752657945842329,0,0,0,-0.0742713051737426,0.304232639346217,0,0,0,0,0,0.0217690119551402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108662421028876,0.0165445997856043,-0.130925674999081,0,0,0.133025192008158,0,0
X600809.SH,0,0,0,0,0,0,0.190094982676238,0,0,0,0.0170854434746633,0,0,0.0650531188845469,0,0,0,0,-0.134456714408928,0.224685679075208,0.0273994102592384,0,0,0,-0.178061018282225,0,0,0,0,0,0.0750177688601269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802072829423785,0,0,0,0,0,0,-0.0135043017744591,0,0,0,0,0,0,0
X600276.SH,0,0,0,-0.196492275700659,0,0,0,-0.173517893272484,0,0,0.136729271397835,0,0,0,0,0,0,0,0,0,0.234679828032692,0.135115582347008,0.00733903656289957,0,0,0,-0.0350957547607128,-0.150077632049474,0,0.0164633213881815,0.0529488024697852,0,0,0,0,0,0.071845802854614,0.387715922688451,0,0,0,0,0,0,0,0,-0.0187692101040453,0,0,0,0,0,-0.0116035194657176,-0.161089384014094,0,0,0,0,0
X000568.SZ,0,1.08477727658498,0,0.034616342550836,0,0,0,0,-0.0841994890196348,0,0.107496058456992,0,0,0,0,0,0,0,0,0.158580840750816,0.026819863898821,0,0,-0.0489249700034009,0,0,-0.142751781609168,0,0,0,0,0,0,-0.0166599930623967,0,0,0,0,-0.0154285133093944,0,0,0,-0.0178282286259018,0,0,0,0,0,-0.129527625203449,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.107846265836898,0,0,0.0690180294922876,0,0,0,0,0,0,0.0194153777759932,0,0,0,-0.0695521039021005,0,0,0,0.00233195188811153,0,0.398513295468287,1.73472347597681e-18,0,0,0,-0.034588553386577,0,0,0.214487872883638,0,0,0,0,0,0,0,0,0,0,-0.0786132828991404,0,0,0,0,0,0,0,0,0,-0.0142135921203887,0.0663876860631222,0,0,-0.0286108447493546,0,0
X002475.SZ,0,0,0,0,0,0,0.0718626264601865,0,0,0,0.0596837035531844,0,0,0,0,0,0,0,0,0,0.254685917741042,0,0,0,0,0,0.164031946359812,0,0,0,0,0,0,0.0642522218384769,0,0,0,0,0.153696811524992,0,0,0,0,0,0,0,0.0676992891960187,0,0,0,0,0.0654397370983404,0.00177051388695967,-0.132790421581008,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.122197046785506,-0.122656109345957,0,0,0,0,0,0,-0.103211716315149,0,-0.446317075892,0,0,0,0,0.0427449461155072,0,-0.00391199281475474,0,0.173636821356607,0,0,0,0,0.0326711758339725,0.0566408200288825,0,0,0,-0.152351571820658,0,0,0,0,0,0,0,0,0,0,0,-0.00189108667210503,0,0,0.0348227769680732,0,1.73472347597681e-18,-0.0406787540169283,0,0,0,-0.0204993933941832,0,0
