,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X600104.SH,X002371.SZ,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X002179.SZ,X002463.SZ,X600418.SH,X000977.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X600183.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000921.SZ,X000066.SZ,X002156.SZ,X600460.SH,X600487.SH,X600839.SH,X600177.SH,X000988.SZ,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.221340877632672,0,0,0,0,0,0,0.00188517166676605,0,0,0.0117592286653857,0.0353942003340041,0,0,0,0,0.194773929427684,0,0,0,0.132362021270935,0.00214777961296103,0,0,0,0,0,0,0,0,0,0,0.0282242172540825,0,0,0,0,0,0,0,0,0,-0.00297027554979177,0,0,0,0,0,0,0,0.00582029252634159,0,0,0,0,-0.0219562330579228,0,0
X000858.SZ,0.298091443421273,0,0,0.0819489629751042,0,0,0,0.198956250658688,0.0152090100292459,0,0,0.366757820152755,0,0,0,0,0,0,0,0,0,0.0378963399877368,0.00750770228731076,0,0,0,-0.0516759405968939,0,0,0,0.0106151443487428,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.0646695022517216,0.00180594015505555,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0276471557310655,0,0.0606930660899748,0,-0.0689123846611989,0,0,0,0,0,0.00699846406574121,0,0.0514270550263626,0.180000865026083,0,0,0,-0.0670112401518481,0,0,0,0,0.128866872017141,0,0,-0.0344114696002804,0,0,0,0,0,0,0,0.160824644530665,0,0,0,0,0,0,0,0,0,0,0.0307275649382543,0.00814020034164356,0,0,-0.0355923468311531,0,0
X002475.SZ,0,0,0,0,0,0.103312908705794,0,0,0,0,0,0,0,0,0.112149460677843,0,0,0,0,0,0.0292471553735618,0,0.289547424415179,0,0.0406736897006372,0.0195223185659844,0.0295499301643358,0,0,0,0.0714364500152483,0,0,0.128625475421625,0,0,0,0,0,0,0.024333818085241,-0.00263591222902627,-0.0161005374802947,0,0,0.0541697331079413,0,0,0,0,0,0,0.0104119688044896,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.103997543317079,0,0,0,0,0.122387647422033,0,0.0734488145624842,0,0,0,0,0,0.0811012296969083,0,0,0.00204004444016616,0.0241804865446558,0,0,0.0810698588271661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007367248987989,0.0167752013983395,0,0,0,0,0,0,0,0,0.0132648234844061,-0.0104362887989807,0,0,0,-0.0898447179606443,0,0
X600690.SH,0,0,0,0.171776819598956,0,0,0.0443558034836313,0.00249190678911902,-0.0123061822248269,0,0,0.024951648278097,0,0,0,0,0,0,0,-0.028544462737701,-2.16840434497101e-19,0,0,0,0,0,0.0210683335373413,0,0,0,0,0,0,0.0401434721839599,0,0,0,0,0,0,0.222627546120828,0,-0.024380388467555,0,0,0.039849370687324,0,0,0,0,0,0.0459750601321916,-0.017026622984508,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0669034911207237,0,0.055850126842663,0,0,0.0673321539779952,0,0,0,0.0366497193883631,0,0,0,0,0,0,0,0,0,0,0,0,-0.174591954259018,0,0,0,0,0.194187202523552,0,0,0,0,0,0,0,0,0,0.134246158510918,0,-0.0408963327781464,0,0,0,0,0.0960250022096855,0,0,0,-0.0121553605900131,0.000858941448267762,0,0,0,-8.67361737988404e-19,0,0
X600809.SH,0,0.00328806553869184,0,0,0,0,0,0,0.0008613812818303,0,0,0.438722717186834,0.0374336101202078,0,0,0,0,0,0,0,0,0.315391224005323,0,0,0,0,0,0,0.108700895354987,0,0,0,0,0.045730873825248,0,0,0,0,0,0,0,-0.0324287566181815,0,-0.0186085020067315,0,0,0,0,0,0,0.0475671994481428,0,0,0,0,0,0.00648882241133011,0,0
X600104.SH,0,0,0,0,0,0,0,0.0297670450910784,0,0,0,0,0,0,0,0,0.411431648619429,0,0,0,0,0,0,0,0,0.276656899884445,0,0,0,0,0,0,0,0,0,1.04812596278797,-0.0114651463870678,0,0,0,-0.220969895035035,-0.205801758914175,0,-0.0384164818717518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117286084001135,0,0,0,0,0,0,0,-0.0134121107135527,0,0,0.0308800766011323,0.24691938125262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703215164117642,0.128152873411682,0,0,-0.00529883436917334,0,0.118536373906084,0,0,0,-0.00146765064688632,0,0,0,0,0.0233662664160707,0,0
X003816.SZ,0,0.220645197082672,0,0,0,0.0785269411917438,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.161974802716011,0,0,0,0,0,0,0.0612431863799545,0,0,0,0,0,0,0,0.0817515372267463,0,0,0,0,0,0,0,0,0,0,0.0427734754205783,0,0,0,0,0,0,0,0,-0.0536813622316843,-0.00772726782480157,-0.0365164908444469,0,0,0,-0.0191860826144416,0,0
X000568.SZ,0,0.390012033832145,0,0,0,0,0,0.330471818399289,0,0,0,0,0,0,0,0,0,0.0178048226070579,0,0,0,0.114733198311385,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.00665290248483905,0,0,0,0.0492470322827037,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0244272110511703,-0.0138002357469676,0,0,0,-0.00607501257859629,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.116984156172647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207912885421871,0.243026551626781,0.167600133280988,0,0,0,0,0.103287041627108,0.0275486718323563,0,0,0.341830602127188,-4.33680868994202e-19,0,0,0,0.126398441194801,0,-0.162078058857847,0,-0.00541528709708669,0,0,0,0,-0.00200742601317611,0,-0.0103665700863834,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.00317937079545498,0,0,0,0,0,0,0,0,0,0,0.183394209844938,0.0391779867128303,0,0.00412797531848495,0.0654725175936167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149622603958611,0.194836494385745,0,0,0,-0.0842022279157045,0.0190220738430431,0,0.0647746045536232,0,0.0882030801452994,0,0,0,-0.0229479847212863,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0.114702489328864,0,0,0.0471508369973409,0,0,0,0,0,0,0,0,0,0.381988818054139,0,0,0.0934647682675307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505660580778351,0.0693668102206797,0,-0.0386302436877493,0,0,0,0.0495398601379421,0,0,0,-0.00211250184943061,0,0,0,0,-0.104345790857634,0,0
X600031.SH,0,0,0,0,0,0.0634259153876185,0,0.0861417838600737,0.0297405975063152,0,0,0,0.0723285554278287,0,0.00531689202358606,0,0,0,0,0.0513020406264402,0,0,0,0,0,-0.0170092656680539,0,0,0,0.307389030105079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781421534815871,0,0,0,0,-0.0176638035172958,0,0,0,-0.0072953950130279,0,0
X000625.SZ,0,0,0,0.10876030418739,0,0,0,0.00452348417786671,0.0130071324788227,0,0,0.00522403201966486,0,0,0.140837051342607,0,0,0,0,0.139062712976109,0,0.163087117768894,0.0515147993768345,0,0,0,0,0,0,0,0,0,0,0.0497735118777818,0,0,0,0,0,0,0,0,0.0383196318153506,0,0,0.0726454948409903,0,0,0,0,0,-0.0442184056346333,0.0390453520694679,0,0,0,0,0,0
X002304.SZ,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0261525297048885,0,0,0.448809864496254,0.0341476581976405,0,0.0321355724847477,0,0,0,0,-0.0215589671829139,0,0,0,0,0,-0.22903427200713,0,0,0,0,0.0567261382632322,0,0,0,0,0,0,0,0,0,0.10681754106938,-0.0115977671453228,0,-0.0128467039380741,0,0,0,0.131808727190021,0,0,0,-0.00507444234636013,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0371049926878632,0,0,0.137304064727124,0,0,0.0224550655406853,0,0,0,0,4.33680868994202e-19,0.147667596007834,0.151723037157102,0,0,0,0.0140777278454114,0,0,0,0,0.0522823147696108,0,0,0,0,0,0,0,0,0.0482399121685662,0.076714934757112,0.0216272990053042,0.0093255098855203,0,0,-1.0842021724855e-19,0,0,0.0798865268977796,0,0,-0.0424528713928626,0.0245201409638311,0,0,0,-0.00197202778471535,0,0
X000100.SZ,0,0,0,0.0684891635664037,0,0,0.105508059253881,0,0,-0.00383673984428536,0,0,0,0.156465438406821,0,0,0,0,0.0608232102066341,0,0.122685608095603,0,0,0,0,0,0,0,0,0.10117099812093,0,0,0,0.116285350671895,0,0,0,0,0,0,0,0.0407314976407165,0,-0.0296368161797229,0,0.0673048318048489,0,0,0,0,0,1.0842021724855e-19,0.0108944018859801,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0.0519133589970379,0,0,0,0,0,0.328277816961804,0,0.240293301572808,0,0,0.059307266065241,0,0,0,0.175034857381257,0,0,0.199042362251599,0,0.141922133257023,0,0,0,0,0,0,0,0,0,0,0,0,0.0350942797934874,0,0,0,0,0.00344793235456425,0,0,0,0,-0.035815828406104,0.0225629884035954,0,0,0,-0.0625029410229175,0,0
X000596.SZ,0,0,0,0,0,0,0,0.525423321094876,0.0496760692595041,0,0,0,-0.0999157559614441,0,0.0873758803282677,0,0.101251398860796,0,0,0,0.142345042018608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526799471629655,0,0,0,0,0,0.00522374580672182,0,0,0,0,0,-0.171045721709464,0.0385809218333915,0,0,0.0303586120891694,0,0.0740808773140383,0,0,-1.0842021724855e-19,0,0
X002241.SZ,0,0,0,0.16011622610732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346410680964021,-0.0783823067145715,0,0,0,0,0,0,0,0,0,0,0,0.36550304627518,0,0,0,0.0448779106408824,0,0,0,0.157716116151329,0,0,0,0,0.0679687307755402,-0.041995403849238,-0.00773167449584007,0,0,0,-1.38777878078145e-17,0,0
X002179.SZ,0,0,0,0.0985578335521289,0,0,0,0,0,0,0,0,0,0,0.0899217657086255,0,0,0,0,0,0.0851191486366975,0,0,0,0,0,0,0,0,0,0,0,0.264663083753195,0,0,0,0,0,0,0,0,0.077251901624271,0,0,0.103910984103894,0,0,0.101957029002679,0,0,0,0.00483478793817982,0.0155909838773136,0,0,0,0.00294589143210761,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0.019587683117581,0,-0.273248385120037,0,0,0,0,0,0,0,0.08903183702479,0.135038299552145,0,0,0,0,0,0,0,0,0,0.0157674104915026,0,0,0,0,0,0,0,0,0.0699972614900198,0,0,0,0.326913062008158,0,4.33680868994202e-19,0,0,0,0,0,-0.0571043248564033,0.0834055104010098,0,0,0,0,0,0
X600418.SH,0,0,0,-0.155189238316254,0,-0.130033172548184,0,0,0.149186776231252,0,0,0,0.187051164293432,0,0,0,0,0,0,0,0,0,-0.23743277166348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737186323771397,0,0.396838351654942,0,1.0842021724855e-19,0,0,0,0.117952635936213,-0.104663221359665,-0.063848044580982,0.132175013958634,0,0,0,0.143453436082655,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0.102125361826745,0,0,0.396030752040298,0,0,0,0,-0.119389227057737,0,0,0.241265635556739,0,-0.00882327506222864,0,0,0.0597020968376792,0,-0.0189608574986215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244281926819452,0,0.043705715579994,0,0.0205478044274184,0,0,0,-0.00436812390771219,0.0076754377061573,0.200867937831249,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,-0.0445049991450302,0,0,0,0.00186191236232044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129445157586456,0,0,0,0.0354929671764627,0,0,0,0,0,0.322736949521826,0,0,0,0,0,0.199182384991117,0.0181351064464699,0,0.0238113772124438,0,0.110386286934624,0,0,-0.052628253242018,0,0,0,0,0,0,0,0
X600089.SH,0,0,0.0586829484559631,0,0,0,0.044761929509443,0.0136725633319004,0,0,0,0,0,0,0,0,0,0,0,0,0.277164259128227,0,0.00119962866187904,0,0,0,0,0,0,0.178106994912919,0,0,0,0,-0.038499289680387,0,0,0,0,0.0953440199525986,0,0,0,0,-0.133970024317106,-0.0176444011575535,0.102544816549051,0,0,0,0,0.0209187233491134,0.00438469636017833,0,0,0,0,0,0
