,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600276.SH,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X000100.SZ,X600271.SH,X600031.SH,X600372.SH,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002292.SZ,X002475.SZ,X002236.SZ,X000559.SZ,X002129.SZ,X600839.SH,X600066.SH,X000547.SZ,X300124.SZ,X600177.SH,X601877.SH,X600582.SH,X002465.SZ,X600435.SH,X300003.SZ,X000016.SZ,X002456.SZ,X000568.SZ,X002294.SZ,X002498.SZ,X002179.SZ,X002049.SZ,X600198.SH,X002008.SZ,X000977.SZ,X000800.SZ,X600060.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.106624968596823,0,0,0.0837415349440921,0,0.0180655148472151,0.0324434242111927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00234644397975425,0,0,0.0865316466237328,0,0,0,0,0,0.0365969003530153,0,0,0,0,0,0,0,0,0,0,0,0.00821126205214493,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.111941812453605,0,0.227557214306604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104906492413697,0,0,0,0,0.150167048144479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788131613084471,0.0210262008206462,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.136764281294137,0.136604718000441,0,0,0,0,0,0,0,0,0,0,0,0,0.0321433219335825,0,0.0421859324760879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900655239864781,0.0759750793027889,0,0,0,0,0,0,-0.0041091374905006,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0282069970980518,0,0,0,0,0.135450742842816,0,0.0341045854393795,0,0.0687801335897463,0,0,0,0,0,0,0,0.0346251279006098,0,0,0,0,0,0.0241812338398893,0,0,0,0,0,0,0,0.38508128105669,0,0,0,0.0422619111855497,0,0,0,0,0,0,0,-0.0193507892465006,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0453789019408221,0,0,0,0.106913425465694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0143558365777285,0,0,0.024158517043222,0,0,0,0,0,0,0.156658788662887,0,0.182326804618939,0,0,0.195997126798416,0,0,0,0,-0.00538971400422214,0.0356108322269458,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.120324603247129,0,0.011429019905738,0,0,0,0,0,0,0.0515035499506619,0,0,0.230309332784345,0.0433958187865569,0,0.0566138738664293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473493590610487,0,0,0,0,0,0,0,0,0,0,0,-0.0127021815875932,0,0,0,0,0,0,0
X002304.SZ,0,0.0954903531608051,0,0,0,0.404663349480357,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0632634613093913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100010774319823,0,0,0.0104651144564892,0.0203217489636791,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.114781313182676,0,0,0,0,0,0,0,0,0,0.160179288842292,0,0,0,0,0,0.323727045914654,0.0663950651094509,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0308962474522654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754273896015995,0,0,-0.017916155750813,-0.0299102960332601,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.109292726023614,0,0,0.0971162770341667,0.127066310153405,0,0,0.0619331326304125,0,0,0,0,0.120523559958497,0,0,0,0,0,0,0.0154228726286425,0,0,0.13132322819093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624209836195241,0,0,0,0.0183595459582994,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0392308433440278,0,0,0.0405979013173335,0,0,0,0,0.116693211060567,0,0,0.0445727978651957,0,0.0571213619164737,0,0,0,0,0,0,0,0,0.00730048506144941,0.0230316123410047,0,0,0.160941585010019,0,0,0,0,0,0,0,0.173228887456167,0,0,0,0,0,0,0,0.0524545971678455,0,0,0,0.00577195805495582,-0.00230759303745949,0,0,0,0,0,0
