,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X600066.SH,X002292.SZ,X000559.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X601877.SH,X002129.SZ,X600177.SH,X000016.SZ,X000547.SZ,X600839.SH,X300124.SZ,X000568.SZ,X600435.SH,X002465.SZ,X300003.SZ,X600582.SH,X002294.SZ,X002074.SZ,X002276.SZ,X000066.SZ,X600252.SH,X002456.SZ,X000581.SZ,X000550.SZ,X000977.SZ,X002008.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.122211329987923,0,0,0,0,0.0146053446492835,0,0.0426784418860263,0.0416211230620617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857504043167645,0,0,0,0,0,0,0,0,0,0,0,0,0.0749544524954063,0,0,0.0110983430490494,0,0,0,0,0,0,0,0,0,0,0,0,0.0101942701655471,0,0,0,0,0,0
X600104.SH,0.315172378504421,0,0,0,0,0,0.263865675350577,0,0,0,0,0,0,0,0,0,0,0,0.16237081886965,0,0,0,0,0,0,0.0392602988028354,0,0,0,0,0,0,0,0.10057719841872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850557466650779,0,0,0.00762590175468213,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0408456028532936,0,0,0,0,0,0.0630657305668806,0.110743028081917,0,0,0.0828579651944496,0,0,0.0564816276919229,0,0,0,0,0,0.0271910617982515,0,0,0,0,0,0,0,0.378614062693424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255667683065871,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.173163031697347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519874853859562,0,0,0,0.102150926542503,0,0,0,0,0,0,0.0736314309644186,0,0,0,0.0735753527261567,0,0,0,0,0,0,0,0,0,0,-0.0325194114025676,-4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0245989420371416,0.146808520828156,0.198524643497375,0,0,0,0,0,0,0.134673663907904,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974041517317489,0,0.0484872540049704,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.226715335742519,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.000533251808361781,0,0,0,0,0,0,0,0.236181694416423,0,0,0,0,0.595138690079433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879069677021386,0,0,0,0,0,0
X002304.SZ,0,0.185019176919082,0,0,0,0.444520969337458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049564073129017,0,0,0,0,0,0.048962102153134,0.0192077886376801,0,0,0,0,0,0,0,0,0,0,0.00406160450500476,0.0289645409958887,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0502583913297011,0,0,0.0381838184114243,0.0731456553933004,0,0.139864147114168,0,0,0,0,0,0,0.00124394875146429,0,0,0,0,0,0,0.180800527900653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151453066215898,0,0.0512664789413639,0,0,0,0.00687144023365586,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.140565200723647,0,0,0,0,0,0,0,0,0.0981822323932985,0,0,0,0.41591854930633,0.0350430482881731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535792417423321,0,0,0,0,-0.0166225737937179,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0647738234006449,0,0.0334882519927839,0,0,0,0,0,0,0.117957488030933,0,0.0791314220382853,0,0.00444263205346881,0,0.0197048222492483,0,0,0,0,0.252537640077811,0,0,0,0,0,0,0,0,0.0775120081204211,0,0,0,0,0,0,0,0,0,0,0,0.0212896833815404,0,0,0,0,-0.0017892315340242,0,0,0,0,0,0,0
