,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600703.SH,X600690.SH,X600741.SH,X002292.SZ,X600066.SH,X002241.SZ,X000100.SZ,X600031.SH,X600118.SH,X002236.SZ,X600177.SH,X002506.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600089.SH,X002456.SZ,X002426.SZ,X002465.SZ,X002007.SZ,X600498.SH,X000869.SZ,X002180.SZ,X601877.SH,X002508.SZ,X000050.SZ,X000977.SZ,X002008.SZ,X002049.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0701996355139349,0.127961124752954,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.0221719560906028,0,0,0,0,0,0,0,0,0,0.0685922014041974,0,0,0,0,0,0,-0.0263121458683279,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0340336451330012,0,0,0,0,0,0,0
X600104.SH,0,0,0.125936407648749,0,0,0,0,0,0,0,0,0,0,0.324153029999472,0,0,0,0,0,0,0,0.152173756971288,-0.0763882449940797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00656858766614186,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.140398790453452,0,0,0,0,0,0,0.0128652865556063,0,0,0.0705048479172189,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0846836296583214,0,0,0,0.200265796965581,0.202221841969723,-0.0736538324848051,0,0,0,0,0,0,0.0705025956067834,0,0,0,0,0,0,0.0157619253773674,0,0,0,0,0,0,0
X000651.SZ,0,0,0.0622599807769414,0,0,0,0,0,0,0.0484419827965645,0,0,0,0,0,0,0,0,0,0,0,0.0197644277774732,0.0142210102346049,0,0,0.025527032277719,0,0,0,0,0.035038162500835,-8.67361737988404e-19,0,0,0,0,0,0,-0.0449299183023668,0,0,0,0,0,0,0,0,0,0,0,0,0.041084641484157,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.144689662583028,0,0,0,0,0,0,0,0,0.096603828227245,0,0,0,0,0,0.0194254729376753,0,0,0,0,0,0,0.217907193549627,0,0,0,0,0,0,0,0,0,0,0,0,0.0245465728724858,0.0260490179527053,0,-8.67361737988404e-19,0,0,0,-3.3881317890172e-21,0,0,0,0.00963710620354503,0,0,0,0,0,0,0
X002304.SZ,0.00154219109991906,0,0,0,0.287204364008211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990115082199395,0,0,0,0,0,0,0.288173835978623,0.0138915648164307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103555295490046,0,0,-0.0270111632225011,0,0,0,0,0,0,0
X600276.SH,0,0.197658833528419,0,0,0,0,0,0,0.0395396070379179,0,0,0,0,0,0.085056463440886,4.26278977256662e-06,0,0,0,0,0,0,-0.134436629164796,0,0,0,0,0,0,0,1.73472347597681e-18,0.12904578669247,0,0,0,0,0.0262486298737703,0,0.0809947313594901,0,0,0,-0.0891849914199607,0.0324945057166804,0,0,0,0,8.67361737988404e-19,0,0,-0.0108861977272616,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841809302603611,0,0,0,0,0,0,0,0.132803591295939,0.142192113475751,0,0,0,0,0,0,0,0,0,0,0,0,0.0779814205481564,0,0,0,0.0332529409796661,0,0,0,0,0.0394617297404126,0,0,0,0,0,0.00316125770953004,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.128107483765681,0,0,0,0,0,0,0,0,0,0,0,0,0.0285532651812173,0.120309908332012,0,0,0,0,0,0,0,0,0.101555313209098,0,0,0,0,0,0.0207310171768801,0.11664885453097,0,0,0,0,0,0.00175141958400114,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.349117983979014,0,0.226937301012779,0,0,0,0,0,0,0.0284060063654314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
