,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000100.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X002236.SZ,X600118.SH,X600271.SH,X002085.SZ,X600177.SH,X000157.SZ,X002007.SZ,X600372.SH,X300124.SZ,X300003.SZ,X000559.SZ,X600867.SH,X002294.SZ,X002292.SZ,X600089.SH,X002180.SZ,X002426.SZ,X600522.SH,X002074.SZ,X002508.SZ,X002506.SZ,X000981.SZ,X601877.SH,X000623.SZ,X300136.SZ,X000536.SZ,X600498.SH,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0550706077090024,0,0.335070560068475,0,0,0.0564963378525769,0,0,0,0,0,0,0.0162931956430406,0,0,0,0.0191112276518243,0.0702599402111685,0.0191780526758807,0,0,0,0.00382922032858865,0,0,0,0,0,0,0.0187983216530758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288118054901028,0,0,0,0,0,0
X600104.SH,0.00785516656190437,0,0,0,0,0,0,0,0,0,0,0,0.545690746593046,0,0.117399692618558,0,0,0,0,0,0.151748801164394,0,0,0,-0.0648785527188693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149909295889731,0,0.0468076589503098,-0.0506975463459812,-0.0167275662191092,0,-0.00656516920529711,0.0505388630215486,0,0,0,0,0
X000651.SZ,0,0,0,0.06923026512419,0,0,0,0,0,0.425923958189264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610615302693444,0,0,0,0,0,0,0,0,0,0.138718684079005,0,0,0,0,0,0,0,0.278836619587234,0,0,-3.46944695195361e-18,0,-0.117929253592698,0,0.0311822432703554,0,0,0,0,0,0
X002415.SZ,0,0,0.0478895024532823,0,0,0,0,0,0,0,0,0,0,0.070874663846985,0,0,0,0,0.0643654663834947,0,0,0,0,0,0.0497705531042359,0,0,0,0,0,0.0467986557111129,0,0,0,0.116274931838278,0,0,0,0,0,0.101075517586637,0,0,0,0.0459245773139997,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0889579410543436,0,0,0.0709927895217441,0,0.0396350861979851,0.467521815419058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513528617453405,0,0,0,0,0.000325340627239455,0.00679747473173682,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.00305183622155187,0,0,0.02395275915318,0,0,-0.0429292777942989,0,0,0,0,0,0,0,0,0.0630187042245495,0,0,0,-0.0751388246601887,0,0,0,0,0,0.00889048802144637,0.0865712146675119,0,0,0,0,0,0,0,0,0.0496626203645915,0,0,0.05973059886927,0,0,0,0,0,0.0170124229773958,0.0951656644564126,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0165302285516575,0,0,0,0.112511168369354,0,0,0,0.201243237629829,0,0.208886090652304,0,0,0,0.0494917205985093,0.0269398237259131,0,0,0,0,0.0103520128389937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00720327699952615,0.0198302235794293,0,0,0,0,0,0.00611348340526029,0,0,0,0,0,0
X000725.SZ,0,0,0.0972861890014499,0,0,0,0,0,0,0.179461077297782,0,0,0,0,0,0,0,0,0.105683777128272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195065461969589,0,0.00544920577099785,0,0,0,0,0,0,-0.00955580423150774,0,0,0,0,0,0
X000625.SZ,0,0.19410495045235,0.166504081385849,0,0.0391833802888951,0,0,0,0,0,0,0,0,0.0137313168928231,0,0,0,0,0,0,0,0,0,0,0.0833664695089258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244433820522873,0,0,0,0,0,0,-0.00216261343075163,-0.00673017228758849,0,0,0,0,0,0
X000063.SZ,0,0.0631781382367805,0.0874799703092427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259330099588348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172928975530341,-0.0649487641665354,0,0,0,0,0.00412582185634055,0,0,0,0,0,0,0
