,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0300337646016982,0,0.00584692686845978,0,0,0,0,0,0,0.210719249398014,-0.110485907593239,0,0,0,0.0837923864535593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336886619668762,0,0,0,0,0,0,0,0,0.0348632717907738,0,0,0.00603809638582431,-0.000898446925334995,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0010948393764484,0,0,0,0.020528207764124,0,0,0,-0.047027031417878,0.032701587723103,0,0,-0.060707882346712,0,0,0,0,0,0,0,0,0,0.291130186522088,0,0,0,0.0212018759102912,0,0,-0.00245510930280107,0,0,0,-0.016907400641342,0.187896191766616,0,0,0.102299308004864,0,-0.0775598488152124,0,0,0,0,0,0,0.00594304408126715,-0.00721994642008924,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0502050550317033,0,0,0,0.00109756740420812,0,0,0,0.136306620182731,0.0363902877375852,0,0,0,0.170825593250598,0,0,0.134205581968161,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637616235565292,0,0,0,0,0,0,-0.0809130436510782,0,0,0,0,-0.0084651050894316,0,0,0.00718728249735592,0,0,0,-0.0220652472022438,0.00393832121802371,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.279669417271608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323647096671609,0,0,0,0,0.0123298461351377,-0.00175200643547941,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0509411173202929,0,0.0877808617176409,0,0,0.0550729681980257,0,0,0,0.3185452126587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821084825825112,0,0,0,0.0865367544540911,0,0,0,0,0,-0.00266316324034631,0,0,0,0,0,0.00797282429442015,0.001462164529385,0,0,0,0,0,0
X002304.SZ,0,0,0,0.109067179352017,0,0,0,0,0,0,0,0,0.354121860504003,0.113966710227853,0,0,0,0,0,0,0.0594159086028467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578315802676679,0,0,0,0,0,0,0,0,0,0,0,0,0.0281230638860492,0,0,-0.00488621444414618,-0.00283484175676929,0,0,0,0,0,0
X600276.SH,0,0,0,0.0155329273546424,0,0,0,0,0,0,0,0.215332491993785,0,0,0,0,0,-0.0679179736566362,-0.0212630076120146,0,0,0,0,0.0614079355858682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183204133527879,0,0,0,0,-0.0225882699894207,0,0,0,0,0.0781599122510491,-0.0700948137060432,-0.00286214100931552,0.00440993435302957,0,0,0,0,0,0
X000725.SZ,0,0,0,0.205981494289252,0,0,0,0,0,0,0,0,0.0168602236734935,0,0,-0.114175690068635,0,0,0,0,0.0389077664710784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197249495728288,0,0,0,0,0,0,0,0.0135784818816331,0,0,0,0.16674983386321,0.144565304432359,0,0,-0.0304856321059515,0.0101553773541308,0,0,0,0,0,0
X000625.SZ,0,0.151892656837354,0,0,0.0606012172809789,0,0,0.0357278232927966,0,0,0,0,0,0,0.252196591893419,0,0,0.140410190147988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125807109445157,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.250303658816778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523326776706607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169792358391304,-0.00823270904239668,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0235728282850426,0,0,0,0,0,-0.0424609581808642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107666387076809,0,0,0.0147218741262322,0,0,0,0.0555063322544059,0,0,0,0.00110411751240985,0,0,0,0,0,0.155813723587736,0,0.0174522419807717,0.00218504068507668,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.10787161426348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00169840558846459,-0.0771381626620357,0,0,0,0.252431391115622,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0.0221340040523547,0,0,0,0,0,0
X000568.SZ,0.175244229409604,0,0.0271605282899922,0,0.664376763993243,0,0,0,0,0,0,0,0,0,0,0,0,0.0597261561782867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181702934025273,0,0,0,0,0,0,0.135403976499142,0,0,0,0.00667274656074103,0,0.120634273484321,0,0,-0.00522786449429607,-0.00488464726600609,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.176850691364813,0,0,0,0,-0.0352060730392633,0,0,0,0,0,-0.149827687739904,0,0,0,0,0,0,0,0,0,0,0,0.26803292349969,0,0,0,0,0,0,0,0,0,0,0.247113523256607,0,0,0,0,0,0,0,0,0,0,0,0.00885230004132778,-0.000902369386975614,0,0,0,0,0,0
X600741.SH,0,0,0,0,1.73472347597681e-18,0,0,0.052125688063508,0,0,0,0.193934445964583,0,0,0,0,0,0,0,0,0,0.0498999492625423,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.102820432431377,0,0,0.022784270400805,0,0,0,0,0,0,0,0,0,-0.00578271573407549,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.08512222864852,0,0,0,0,0,0,0,0,0,0.0650715508912926,0,0,0,0,0,0.112377073325055,0,0,0,0,0,0,0,0,0,0,0.456959125738133,0,0,0,0,0.092702631859625,0,0,0,0,0,0,-0.068067084163099,0,0,0,0,-0.0208126263884722,0.00283325499425961,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0398646407461187,0,0,0,0.0358757090498715,0,0.0141946952000834,0,0.0774457119997948,0,0,0,0,0,0,0,0,0,0.0307047664155392,0,0,0,0,0.0680194297806526,0,0,0,0,0.0949711338161067,0,0,0,0,0,0,0,0,0.0689540306481678,0,0.0955676874166601,0.00365508959685948,-0.00414245613072387,0,0,0,0,0,0
X002236.SZ,0.172725940827467,0,0,0.147451909677905,0,0.0458160983379662,0,0,0,0,0.00906182541963154,0.222477462417684,0,0,0,0.0417689169942042,0.259117868894132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11900894255993,0,0.1011219088516,0,0,0,0,0,0,0,0,0,0,-0.242656115691338,0,0.170183525827401,0.0907347724242878,0,0,0.0172332867144246,-0.0137259100497462,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0.0450382489203831,0,0,0.221231746253452,0,0,0,0,0,0,0,0,0.0297125332776598,0,0,0,0,0,0,0,0,0,0,0.116175453693394,0,0,0.0406412728595993,0,0,0,0,0,0,0,0.0222775133680743,0,0,0,0,0,0,0,0,0,0,0,-0.0179050951295805,0.00755084428367912,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0.0963118722545905,0,0,0,0,0,0,0.170293899395499,0,0,0,0,0,0,0,0,0,0.322011862528207,0,0,0,0,0,0,-0.020244929840821,0,0,0,0,0,0,0,0,0.192753433911495,0,0,0,0,0,0.121501205003775,-0.0491679392003687,0.120885785149723,0.0130047161818064,-0.0132694766503984,0,0,0,0,0,0
