,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002456.SZ,X002008.SZ,X002241.SZ,X600487.SH,X000100.SZ,X600066.SH,X300136.SZ,X601877.SH,X600809.SH,X300124.SZ,X002508.SZ,X600522.SH,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X002129.SZ,X600498.SH,X000596.SZ,X600177.SH,X000157.SZ,X600699.SH,X600118.SH,X300142.SZ,X600566.SH,X002179.SZ,X000661.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.101017922294375,0,0,0,0,0,0,0,0.0241409280979594,0,0,0,0,0,0,0,0.0492577699664253,0,0,0.0863099622477562,0,0,0.0598523070203178,0,0,0,0,0,0,0,0.0279378947509896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00551902738805344,0,0,-0.018335818873392,0.0504235933750128,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0230284901108799,0.131786762190067,0,0.12475015299581,0.0938806391758493,0,0,0,0,0,0.034871132707027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346795531533321,0,-0.0118886534533617,0.0225677525592091,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0807187947637589,0,0,0.00687164743570739,0.135298382571562,0,0,0,0,0.246893702560277,0,0.107627970990637,0,0,0,0.0587159517927483,0,0.108936292425737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021705227154138,0,-0.0135248323828946,0,0,0,0,0,0,0
X000858.SZ,0.111706141235393,0,0,0,0,0,0,0.0920023916047072,0,0,0,0.359030783074279,0,0,0,0,0,0,0,0.00966500853192601,0,0.0401516428359161,0,0,0,0,0.246252792258956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699133577540199,0,0,0,0,0,0
X000651.SZ,0,0.144869284282199,0,0.253021310072101,0,0,0,0,0.0921803685171961,0,0,0,0,0,0,0,0,0,0,0,0,0.00377571547883071,0,0,0,0,0,0,0,0.0304710929337757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646183883384127,0,0,0,0,0,0,0,0.00263385517575871,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.355731462957228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238335274189888,0,0,0,0.143515480178298,0,0,0,0,0,0,0.115099503070655,0,0,0,0,1.73472347597681e-18,0.142598951740163,0,0,0,0,0,0,0,0,0,0.141477382901964,0,-0.0367719454175592,0.0600220282549321,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.126978236064055,0,0,0,0.107608611163664,0.0329963992884152,0.112598668429121,0,0,0,0,0,0,-0.0470669913029559,0.0291727355297207,0,0.0247078589635478,0,0,0.0541879945330655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143416205422314,0,0,0,0,0,0.0982791114856441,0,0,0,-0.011934342001153,0,0,-0.015415830222141,0.0374417818160672,0,0,0,0,0,0
X002304.SZ,0.204512957124478,0,0,0.219583596733753,0,0,0,0,0,0,0,0.128720390542417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110957474156835,0,0,0,-0.0215038968582995,0.0228842001247723,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.263664505330117,0,0,0,0,0,0,-0.0584531291004806,0,0.0558620974787758,0,0,0,0,0.0323941316483555,0,0,0,0,0,0,0,0,0,0.262191413910362,0,0,0.0941909295253048,0,0,0,0,0,0.301719790979154,0,0,0,0,0,0,0,0,0,0.128727194208705,0.122492069396487,0,0.0076167666956101,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.141230270322653,0,0,0,0,0,0.0451052037293804,0,0.101943605294704,0,0.179917735550514,-0.170374897991621,0,0,0,0.129287204107039,0,0,0.187880893693757,0,0,0,0,0,0,0.15414292107415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165973830900049,0,-0.00293881688947808,0,0,0,0,0,0,0
