,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X600487.SH,X002241.SZ,X002456.SZ,X002008.SZ,X000100.SZ,X601877.SH,X600066.SH,X300136.SZ,X600809.SH,X002508.SZ,X002294.SZ,X300124.SZ,X600522.SH,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X000596.SZ,X600498.SH,X002129.SZ,X600177.SH,X000157.SZ,X600699.SH,X000661.SZ,X600566.SH,X600118.SH,X002179.SZ,X300142.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0823124544981594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822595565510884,0.0224860904674758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166233977339052,0,0,-0.012898688119169,0.0340079094658103,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0976260287252447,0,0.167933888992571,0.116066483475928,0.0318181827465781,0,0,0,0,0,0,0,0.0875315709581331,0,0,0,0,0,0,0,0,0,0,0.0266377342418388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801082378345795,0,-0.0192339936664385,0.0262010906944962,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0641708669393527,0,0,0,0.106405535670772,0,0,0,0.189537343830527,0,0,0.250275561888933,0,0.170199399626337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171798491549085,0,0,0,0,0,0,0
X000858.SZ,0.0964444920580053,0,0,0,0,0,0,0.0940542720250536,0,0,0,0.364874575660144,0,0,0,0,0,0,0.0464970519747338,0,0,0.014252525298562,0,0,0,0,0.227437442893469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703743555838237,0,0,0,0,0,0
X000651.SZ,0,0.170199415796779,0,0.272809995816416,0,0,0,0,0.107033690434711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155516889638109,0,0,0,0.00841114342341321,0,0,0,0.0533815630153578,0,0,0,0,0.000185422126373139,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.319309239242925,0,0,0,0,0,0,0,0.0605002752346863,0,0,0,0,0,0.212010504440633,0.0149282701024856,0,0,0.145020591778865,0,0,0,0,0,0.0165972700552933,0.125824544220934,0,0,0,0.132009130152034,0,0,0,0,0,0,0,0,0,0,0,0.166609506991633,0,-0.0473856689747219,0.0770085668437081,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0675683080258794,0,0,0,0.041403430718912,0.152727594407064,0.0542746653297886,0,0,0,0,0.0896234115464305,0,0.067927139299498,0,-0.111740535513504,0.0153077997325149,0,0,0,0.0930695741475044,0,0,0,0,0,0,0,0,0,0,0,0.0976308401686281,0,0,0,0,0,0,0,0,0,0.0200731724607411,-0.0366973441661129,0,0,-0.0241234341408296,0.049818987377489,0,0,0,0,0,0
X002304.SZ,0.204512957124478,0,0,0.219583596733754,0,0,0,0,0,0,0,0.128720390542417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110957474156835,0,0,0,0,0,0,0,-0.0215038968582996,0.0228842001247724,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.265069033598065,0,0,0,0,0,0,-0.0496382006597199,0,0.0663497449204438,0,0,0,0,0,0,0.0389647861654163,0,0,0,0,0,0,0,0,0.254739528647395,0,0.138698529116621,0,0,0,0,0,0.305550385147002,0,0,0,0,0,0,0,0,0,0.133091109632222,0.0964282939795613,0,0.00504652690028525,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.00536927946282803,0.134197832207334,0,0,0,0,0,0.0438738764336521,0,0.103109794362879,0,0.181249057605248,-0.170193000287414,0,0,0,0,0,0.128472900699368,0.186946866185462,0,0,0,0,0,0,0,0.156434093843021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166247953689453,0,-0.00298626454796894,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.159926569386434,0,0,0,0.128498251825492,0,0,0.0531649923701739,0.00895490292265542,0,0,-0.00338596126260448,0.03859946146572,0,0,0,0.145674148160229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325855977104711,0,0,0,0.0824064032012527,0.205615857907352,0,0,0,0,0.0531884363084837,0,0,-0.0315451333719204,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.232234156267424,0,0,0,0.0591454624257251,0,0.00184108142956143,0,0,0,0,0.104956249890407,0,0,0,0,0,0,0.0971088803928484,0,0,0,0,0.104159357891906,0,0,0,0,0,0,0,0,0,0,0.0954243291364471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.051317191956358,0,0,0,0,0,0.215830113162513,0,0,0,0,0,0,0,0,0,0,0,0.0360600131533124,0,0.00817009714493521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0539970329179421,0,0,0,0,0,0,0,0.154497605605837,0,0,0,-0.0486410892834998,0.0896252439572454,0,0,0,0,0,0
X002475.SZ,0,0,0.03072090296845,0,0.0367457259441265,0.0344362056629161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227301826684183,0.166598687931762,0,0,0,0.179432843072874,0,0,0,0,0,0,0,0,0,0,0,0,0.0796268471029094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0.405883620116845,0,0,0,0,0,0.0516925883785749,0.0756952230822254,0,0,0,0.0290633626559638,0,0,0,0,0.0786704486809752,0,0.226664543235712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076512810590021,0,0,0,0,0,0,0,0,0,0,-0.142692917065615,0.0639448160547255,0,-0.0142001493092166,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.171887704385821,0,0,0,2.16840434497101e-19,-0.0443028399839921,-0.0449274956814546,0,0,0,0,0,0,0,0,0,0,0,0.0697551897912211,0,0,0,0,0,0.164184609203648,0,0,0,0,0,0,0,0,-0.162682320722357,0,0,0,0.0162982035545644,0,0,0,0,0.121370484514367,-0.0324940835880746,0.0528694027837838,0,0.0110813951002464,0,0,0,0,0,0,0
X000338.SZ,0,0,0.0705980848727833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649492048467914,0,0,0,0,0.178660829400524,0,0.0466812493536766,-0.175068370575265,0,0,0,0,0,0,0,0.245776195249331,0.101773190990428,0,0,0,0,0,0,-0.0317805872042018,0,0,0.0402993703597149,0,0,0.020058710250339,0,0,0,0,0,0
X000625.SZ,-0.0728429987228218,0,0,0,0,0,0,0,0,0,0.0379582699210955,0,0,0,0,0,0,0,0,0,0,0.043128513067304,0,0,0,0,0,0.0884477030840909,0,0,0.0384542068217731,0,0,0.0794964742355877,0,0,0,0,0.0447727343019074,0.113905023422733,0,0,0,0,0,0,0,0,0.0327157727531013,0,0,-0.00666148496944218,0.0133650577569528,0,0,0,0,0,0
X600487.SH,0,0,0.00393415496126046,0,0,0,0,0,0,0,0,0,0,0,0.143792697161264,0,0,0,0,0,0,0.0322534623037248,0,0.1080605082043,0.113702889537256,0,0,0,0,0,0.0422781668454546,0,0,0,0,0,0,0,0.461401271186855,0,0,0,0,0,0,0,0,0,0,0.11431606425537,0,0.0113671970068708,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,-0.0977173668029978,0,0,0.121244874491261,0,0,0,0,0.403716046734136,0,0,0,0,0,0,0,0,-3.46944695195361e-18,1.73472347597681e-18,0,0,0,0,0,0.152067864401227,0.0806016253037812,0,0,0.100227305916139,0,0,0,0,0,0,0,0,-0.0798709467296762,0,0,0,0,0,0.0211149400821422,0,0,0.00248138665130751,0.0352306383959135,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0.0564051207974823,0,0,0,0,0.583083867311278,0,0,0,0,0,0,0,0,0,0,0,0.127859971890296,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0874520181160243,0,0,0.16429055854981,0,0,0,0,0,0,0.00519597055476559,0,0,0,0,0,0,0,0,0
X002008.SZ,0,0,0.285536696822406,0,0,0,0,0.169909216723337,0,0.102241852586154,0.0541538561228325,0,0.0216221112908359,0,0,0,0,0,0,0,0,0,0.15394400618822,0.010671397333,0,0.167290437748992,0,0,0,0.175127268472266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109754970155862,4.33680868994202e-19,0,0,0,0,0,0
X000100.SZ,0,0,0.031950853673715,0,0,0.116633679233403,0,0,0,0,0.196870154523546,0,0,0.00618207779687155,0,0,0,0,0,0.0640597122272132,0,0.0539564152355411,0,0.026129717925726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664516298168389,0,0,0.0725473526999961,0.0105772033037678,0,0,0,0,0.0106233151171777,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215198099740019,0,0,0,0,0,0,0.0667307474226334,0,0,0,0,0,0,0,0,0,0,0,0.0300286072446311,0.127371020457473,0,0,0,0.0498877173070216,0,0,0,0,0.174704582153638,0,0.0597222270366076,0,0.0138848736977734,0,0,0,0,0,0,0
X600066.SH,0,0.0771570455408649,0,0,0,-0.0711818968076968,0,0,0,0,0,0,0,0,0,0.303463170349403,0,0,0,0,0,0.0591751593594141,0,0,0,-0.128149035799496,0,0,0,0.512113655648664,0,0,0,0,0,0,0,0,0,0,0,0,0.00817400518428733,0,0,0,0,0,0,-0.0541243560031073,0,0,0.0204827663396166,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0.0492954749504801,0,0,0.0110758953257284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0376336451705919,0,0,0.0319101316330614,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.0525883666383255,0,0,0,0,0,0,0,0.278508231790471,0,0,0,0,0,0,0,0,0,0.106771271483728,0,0,0,0,0,0,0,0,0,0,0,0,0.04335623999619,0,0,0.301593327341936,0,0,0,0,0,0,0,0,0,0,0,-0.106134280542124,0,0.00657289638932657,0,0,0,0,0,0,0
X002508.SZ,0,0,0.17892189795861,0,0,0,0,0,0,0.176727031450933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835807515952073,0,0.308094559075244,0,0,0,0,-0.0177175468354301,0,0,0,0,0,0,0.0616000048493743,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353376731168113,0.0364337294021985,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.0979158652707685,0.0592394639764632,0,0,0.108448116559869,0,0,0,0,0,0,0,0.0520420994310372,0,0,0,0,0,0,0.191805219887942,0,0,0,0.0140831943206464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701482288140007,0,0,0,0,0,0.0530265381097161,0,-0.0102610358078862,-0.0293728378306877,0,0,0,0,0,0
X300124.SZ,0,0,0.107873580341049,-0.0388101144418361,0,0,0,0,0.0129934460818051,0,0,0,0,0,0,0,0,0,0.207927633838229,0,0,0.0549992314731992,0,0.180928692108112,0.0904679914774296,0,-0.0488711091935464,0,0,0,0,0.0962148733291451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127653885982362,0,-0.015000058273133,0.0075560179739797,0,0,0,0,0,0
