,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000568.SZ,X000063.SZ,X600703.SH,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002008.SZ,X601877.SH,X300124.SZ,X600487.SH,X002456.SZ,X002236.SZ,X600809.SH,X600867.SH,X000596.SZ,X000100.SZ,X000661.SZ,X600498.SH,X300136.SZ,X000977.SZ,X000625.SZ,X600066.SH,X600566.SH,X000157.SZ,X300142.SZ,X002179.SZ,X002294.SZ,X002180.SZ,X002007.SZ,X600522.SH,X300146.SZ,X002049.SZ,X002241.SZ,X000869.SZ,X000981.SZ,X600177.SH,X002371.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.347251585492188,0,0,0.00999031313046926,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0924104441816869,0,0.0697538156608563,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.04171099179602,0,0,0,0,0,0,0,0.0117631957313762,0,0,0,0,0,0,0.0079824118722017,0.0162813165301219,0,0,0,0,0,0
X600104.SH,0,0,0,0.0185731790726182,0,0,0,0,0,0.136168262444594,0.0325204013014605,0.0502525494393766,0,0,0.347264967908877,0,0,0,0,0,0,-0.105095593954455,0,0,0,0.0609467742712429,0,0,0,0,0,0,0,0,0,0,-0.0719686406707485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052721950393526,0.0258585779663138,0.052515142477508,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.116282315685081,0,0.00710552768305476,0,0,-0.0638912276645887,0,0,0,0,0,0.0297857314402556,0,0,0,0,0.366954886002201,0,0,0.041588373800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106470096519543,0.0142612105840057,0,0,0,0,0,0
X000858.SZ,0.179428216096223,0,0,0,0,0.0964730373926841,0.314563195917309,0,0.00113313502459426,0.0162025996753651,0,0.21785039904492,0,0,0,0,0,0,0,0,0,0,0,0.0588925226697289,0,0,0.0588536253685715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865599088841526,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132975897393244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842129730227285,0,0.361849852894934,0,0,0,0,0,0,0,0,0,0.22064166910302,0,0,0,0,0,0,0,0,0,0,0,0,0.012426626709648,0.0208475225163138,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0703926380611063,0,0,0.169024417902621,3.55021742635728e-05,0,0,0.068362353896632,0,0,0.134146018623406,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0539590137703408,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199449443141554,0.0299636438830617,0,0,0,0,0,0
X002304.SZ,0,0,0,0.451470095812405,0.0675691448312962,0,0,0,0,0,0,0.409659679363155,-0.0736860101025941,0,0,0,0.0322576064408928,0,0,0.0632605874456993,0.0420419841573254,0,0,0,0.0201644562036613,0,0.0043175226647708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0983150441413973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103875057455735,0,0,0,0,0,0,0,0,0,0.458407737102974,0,0,0,0,0,0,0,0,0,0.00662619117364821,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.222818378626921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327156942386941,0,0,0.0933869796285554,0.09187378280767,0,0.127099208559518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125476245444013,0.045456370436403,0,0,0,0,0,0
X600031.SH,0,0,3.46944695195361e-18,0,0,0,-0.0386016852120608,0,0,0,-8.67361737988404e-19,0,0,0,0.201771278478516,0,0,0,0,0,0,0.198086288088466,0.0190163840531209,0,0,0,0,0,0,0,0.0157266866754493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860785979554328,0,0,0,0,0,0,0
