,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000100.SZ,X300003.SZ,X600703.SH,X600271.SH,X002236.SZ,X002007.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X300142.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600487.SH,X300146.SZ,X002506.SZ,X600066.SH,X600867.SH,X000050.SZ,X002241.SZ,X600776.SH,X600566.SH,X600522.SH,X002129.SZ,X600118.SH,X600183.SH,X600089.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.157655917517344,0,0,0,0,0,0.0869161074524403,0,0.0185131292673889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670797208229742,0,0,0,0,0,0.0547193598460006,0,0,0,0,0,0.0811430391324279,0,0,0,0,0,0,0,0,0,0,-0.0114853296435889,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.198289728833698,0,0,0,0,0,0,0.150057651505752,0,0,0,0.371623958917706,0,0,0,0,0,0.0101724473486871,0,0,0,0,0,0.00835915540235571,0,0,0,0,0.0213563293675411,0,0,0,0,0,0,0.0115646436455788,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.214284177540386,0,0,0,0,0.0547080806940453,0,0,0,0,0.120978969716238,0,0,0.0492434712179749,0,0,0,0,0,0,0,0,0.0292406376451947,0,0,0,0.0506521772654585,0,0,0,0,0,0,0,0,0,0.00630343700495249,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305662403170244,0,0,0,0,-0.0593577847766788,0,0
X600104.SH,0,0,0.110225613170421,0,0,0.0215218400051026,0,0,0,0,0,0.0810845244529557,0,0.00163533360328765,0.0504340874990637,0,0,0,0,0,0,0,0,0,0,0,0,0.139336673025473,0.0298755685725352,0,0,0,0,0,0.00712694674270658,0,0,0,0,0,0.0320062365484887,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.097221923689332,0,0,0,0.0260176192439004,0,0,0,0,0.0609385216274923,0.0595057711118298,0,0.0662897729373612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776187267691948,0.0765441850770138,0,0,0,0,0,0,0,-0.117739682304349,0,0,0,0.0831436291203061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196339153937378,0,0
X002415.SZ,0,0,0.0433868834000033,0,0,0,0,0.0267536831610053,0,0.0108066896877088,0,0,0.0990155968322671,0,0.0596257951071501,0,0,0,0,0,0,0,0,0.293740176824192,0,0,0,0,0,0,0,0,0,0,0,0.0814211808129557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169918015957389,0.0161276346653706,0,0,0,0,0,0
X002304.SZ,0,0.131774711553265,0.246924839338215,0,0,0,0,0.0064114998965282,0,0,0,0.0388417033609031,0.0387145775355854,0,0,0.208755267562707,0,0.154431389306744,0,0,0,0,0,0,0.0533443977667521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313880400030118,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0935868150107967,0,0,0,0,0,0,0,0,0.175475138269205,0,0,0,0,0,0,0,0,0,0,0,0,0.0511002388398809,0,0,0,0,0.0358664635023274,0,0,0.15980316574828,0,0,0,0,0,0,0,0,-0.0392355874775954,-0.0604960216029107,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266084290398891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194644087816584,0,0.0258027406479735,0,0,0.128167077403092,0,0.132976330070847,0,0,0,-0.0494418195242652,0,0,0,0,0.0106186336033206,0,0
X000568.SZ,0,0.315601099971823,0,0,0,0,0,0,0,0,0,0,0.0367099512469407,0.190288640539086,0.018364767655091,0.118521862434961,0,0.0824104224897424,0,0,0,0.0544650002521129,0,0,0,0,0,0.0494595327948356,0,0,0,0,0,0,0,0,0,0,0.00659762514355781,0.0454899371269436,0,0,0,0,0,0,0,0,0,0,0,-0.0200828005883988,0,0,0,0,-0.00762808959718005,0,0
X600690.SH,0,0.0662155993566295,0.0122010063849557,0,0,0.14804617977633,0,0,0,0,0,0,0,0.138421081110166,0.112738988347176,0,0,0,0,0,0,0,0,0,0,0,0.107798986287696,0.0356420587517867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0.0344474681049037,0,0,0,0.233656590313528,0,0,0,0,0,0,0.184359659611754,0,0,0.0270036970094597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178453258546809,0,0,0,0,0,0,0.0934857545208602,0,0,0,0,0,0.0702615898264075,0,0,0.0159221742922649,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0111116704288019,0,0,0,0,0,0,0,0.092261465517395,0,0,0,0,0,0,0,0.139897073688478,0,0,0,0,0,0,0.00602439961072596,0,0,0,0,0,0,0.202802891042238,0,0,0,0,0.0343303568069631,0,0,0,0,0.0228506065297922,0,0,0,0,0,0.0145977867144101,0,0,0,0,-0.0587984707961018,0,0
X000338.SZ,0,0,0,0.114583901860206,0,0,0,0,0,0.108279746645529,0,0.19922428977553,0,0,0.083255696400494,0,0,0,0,0,0,0,0,0.00308317677607842,0,0,0,0.0683885131833586,0,0,0,0,0,0,0,0,0,0,0.130185633648901,0,0,0,0,0,0,0.0617124496381145,0,0,0,0,0,0,0.0243672685080695,0,0,0,0,0,0
X600741.SH,0,0,0.190317983344231,0.17698914575446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309850156989868,0,0,0,0,0,0,0,0.186098709385542,0,0,0.127675241356275,0.0495137168436199,0,0,0,0.114776009002549,0,0,0,0,0,0,0,0.0102811267660985,0.0192425248483117,0,0,0,0,0,0
X000596.SZ,0,0.17250293851823,0,0,0,0,0,0,0,0,0,0,0,-0.0190831273700087,0,0,0.200019573839856,0.332168288203,0,0,0,0,0,0,0,0,0,0,0,0.0226921709795666,0,0,0,0,0,0,0,-0.0293114432007751,0,0,0,0.12304015341481,0,0,0,0,0,0,0,0.0220188044223133,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0.100984501748222,0,0,0,0.291465985373466,0,0,0,0,0.117561005046322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0091585079740231,0,0,0.0219964036908104,0,0,0,0.073361614629536,0,0,0,0,-0.0413000477740138,0,0,0,-0.00127139161790292,0,0
X600809.SH,0,0.371748422741784,0,0,0,0,0,0,0,0.00258864922247142,0,0,0.0685830302892892,0.137169930918168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244383628776801,0,0,0,0,-0.0740246097850548,0,0
X601877.SH,0,0.0285551313031059,0,0,0,0,0,0,0,0,0,0,0.0502770504804398,0.140862756725637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694882949347971,0,0,0,0,0,0,0,0,0,0,0.0266530806021017,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243862702306052,0,0,0,0,-0.00710712792500479,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.108872501382372,0,0,0,0,0,0.0421518088218742,0,0,0,0,0,0,0,0.0426223396486232,0,0,0,0,0.192283730077252,0,0,0,0.179096620970666,0.0158240496638435,0,0,0,0,0,0,0,0,0,0.100181064149167,0,0,0,0.0359611214524155,0,0,0,0,0,0,0,0,0,0.0900930452339406,0,0
X300003.SZ,0,0.0353198129500636,0,0,0,0,0,0.118262663570477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517278301413431,0,0,0,0,0,0,0.0202825831586252,0,0.0510113994024154,0,0.175179800108845,0,0.0406846984139551,0.0861639374269591,0,0,0,0.129994523434206,0,0,0,0,0,0,0,-0.0158362149521637,0,0,0,0,0.0258346993214236,0,0
X600703.SH,0,0,0,0,0,0,0,0.00356309763317394,0,0,0,0,0.0521757908562688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112835218847576,0,0,0,0,0,0,0.195553597199835,0,0,0,0.00577536843191832,0,0,0,0.144974937040646,0,0,0.0419304658379473,0,0,0,-0.133055845412547,0,0
X600271.SH,0,0,0,0,0,0,0,0.049233046110808,0.0593925549012524,0,0,0,0,0.103981949392255,0,0,0,0,0,0.0966688158948573,0,0,0,0,0,0,0,0,0,0,0.0406228901088181,0,0.061968582164397,0,0,0,0,0,0,0,0,0,0.0513214308852347,0,0,0.0329767087184854,0.0970750289560488,0,0,0,0,-0.0352103992613325,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0.147604856377709,0,0,0,0,0,0,0.0558665031110534,0.0931361295268153,0,0,0,0,0,0,0,0.115815756389707,0,0,0,0,0,0,0,0.0651017171217134,0,0,0.0586026036299012,0,0,0.110442650081504,0,0,0,0,0,0.0847354649372049,0.0406800334530475,0,0,0.0993102240276107,0,0,0,0,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.298004939968463,0,0,0,0,0,0,0.0999998789198733,0.0239112241842341,0,0,0,0,0.143300240797908,0.0638555077630858,0.104639931011161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160214966843262,0,0.0965936799882823,0,0,0,0,0,-0.0273547622280659,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.176508428699938,0.0180126898490157,0,0.118096122396184,0.0644192988917573,0.044792010578433,0,0,0,0,0,0,0.0283343184681415,0,0,0,0,0.107320049491096,0,0.00352177416695675,0,0,0.0702075471472837,0,0,0,0,0,0,0,0,0,0.0476630225326435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0.092338729222992,0,0,0,0,0,0.0708391175756217,0,0,0.0343347691639242,0,0,0.00247255212826334,0,0,0,0,0,0.065517481901285,0,0,0,0,0,0,0,0,0,0.121220147831478,0,0,0.0683608496244767,0,0,0,0,0,0,0,0,0,0.0346868697064849,0,0,0,0,0,0,-0.0016279533206965,0,-0.0265168715061878,0,0,0,0,-0.00828104661531524,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00231254978811752,0,0.203236068147344,0,0,0,0,0,0.362674791580006,0.23669523911732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648216525149459,0,0,0,0,0,0,0,0,0,0,0,0.140687421895739,0,0.0250768501910913,-0.0771760415231001,0,0,0,0,0.0284383697169559,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0281941989015762,0.0488258484884797,0.0895282071646086,0,0,0,0,0.105468445366043,0,0,0,0,0,0,0,0.0142878393787823,0,0,0,0,0,0,0,0,0,0,0,0.018877312158348,0,0,0.199039696190598,0,0,0,0,0,0,0,0.077923500780983,0,-0.00796846209648713,0,0,0,0,-0.0467226975417888,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0.133335737887894,0.104013149632469,0,0,0,0.0215420062898707,0,0,0,0.0748799629050281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677434095427793,0,0,0,0,0,0.0364065061522491,0,0,0,-4.33680868994202e-19,0,0,0.0736786093044916,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0314310223974202,0,0
X002179.SZ,0,0,0,0,0,0,0,0.138635050802375,0.0624034475855025,0,0,0,0,0,0,0,0.086727743617405,0,0,0.150405655365884,0.0238804307889718,0.00828375082521731,0,0,0,0,0,0,0.0695598844789202,0,0,0,0.0311670320463905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629209909729675,0,0,0,0,0.0141583360427145,0,0
