,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X600104.SH,X002415.SZ,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X002007.SZ,X002241.SZ,X600703.SH,X000100.SZ,X002179.SZ,X300142.SZ,X000157.SZ,X600271.SH,X000625.SZ,X300124.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600066.SH,X000977.SZ,X600498.SH,X000066.SZ,X300136.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002049.SZ,X300146.SZ,X002371.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.143393440482517,0,0,0,0.112144331664306,0,0,0,0,0,0,0,0,0,0,0.123407947628427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281845633732412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144608589753199,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.267269695187036,0.0713554312314369,0,0,0,0,0,0,0.213330847313023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503254957080504,0,0,0.044972091000594,0,0,0,-0.00267468365639149,0.0103903000719593,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0567713193223835,0,0,0.121391741849151,0.00825218387394587,0,0,0,0,0,0,0,0,0.153503586189156,0,0,0,0,0,0,0,0,0,0.255942932799649,0,0,0,0,0,0.185283425834721,0,0,0,0,0,0,0,0,0,0,0.0907973524376582,0,0,0,0,0,-0.00428481923515409,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.112907317793286,0,0.0285492451368376,0,0,0,0.085402805664043,0.110284807686243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195108809007194,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00565880947080891,-0.00709917784451816,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691731601701229,0.128961166795273,0,0,0,-0.0497313126689373,0,0,0,0,0,0,0,0,0.0138839540773225,0.0616691050133492,0,0.103077942521204,0,0,0,0,0,0,0.0459533836265016,0,0,0,0,0,0,0,0,0,0,0,0,-0.00954938060159304,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.237698545846613,0,0,0,0,0,0,0,0,0,0,0.200667085324176,0,0,0,0.129091122770024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705234654173503,0.0311702093030104,0,0,0,0,0,0,0.002487265652003,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.316933947137625,0,0,0,0,0,0,0.0533804315962425,0.137313863688185,0.0889403128104858,0,0,0,0,0,0,0.0750315930323287,0,0,0,0,0,0,0,0,0,0,0,0.0555354189504036,0,0,0,0,0,0,0,-0.0653956327259725,0,0,0,0,0,0,-0.00816863830520376,0.0361005263984244,0,0,0,0,0,0
X000568.SZ,0,0.622530360373816,0.0559395779132123,0,0,0,0,0.0286597239346598,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.206233519041915,0,0,0,0,0,0,0,-0.109999206794918,0,0,0,0,0,0,0,-0.0238104247500525,0,0.0334544660478654,0.0507410009956948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.6360370311856e-05,0,0,0,0,0,0,0
X002475.SZ,0,0.282009581339268,0,0,0,0.2023870865749,0,0,0,0,0,0,0,0,0,0.0446361470527937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082907253562659,0,0,0,0,0,0,0,0,0.180758526779075,0,0,0,0,0,0.0192310783782999,0,0,0,0,0,0,0
