,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X000977.SZ,X002007.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300136.SZ,X600118.SH,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X002463.SZ,X002179.SZ,X002414.SZ,X002049.SZ,X002185.SZ,X000050.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24650798777007,0,0,0,0,0,0,0,0,0,0.127846355779121,0,0,0.0617306141847468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895053115083396,0,0,0,0,0,0,0,0,-0.0348007303685494,0,0,-0.00791657586947314,0,0,0,-0.0399851716765099,0,0
X000858.SZ,0,0,0,0.0289230902940928,0,0,0,0,0,0,0,0.0102506862685563,0,0.499248110057025,0,0,0,0,0,0,0.0385705835959403,0.0191351534250962,0,0.00744445346315131,0,0,0,0,0,0,0.0476676979298892,0,0,0,0,0,0,0.0309279356949173,0,0.11027760551146,0.00199384665091743,0,0,0,0,0,0,0,0,0,0,-0.0027450038309419,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.123990564094958,0,0,0,0,0,0,0,0,0,0,0,0,0.0336029424874461,0,0,0.00593914935735709,0,0,0,0.07548109415907,0,0,0.0967240986559454,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0128587433015506,1.0842021724855e-19,0,0,0,-0.0125076057827062,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.100018526266974,0,0,0,0.137686881217048,0,0,0,0,0,0,0.0804095394907095,0,0,0,0,0,0,0,0,0.0547695943890297,0,0.0775592413029985,0,0,0.0356346066911478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219854623435337,0,0
X002415.SZ,0,0,0,0,0,0,0.0345025697091937,0,0,0,0,0,0,0,0,0,0,0,0.0474234076429632,0.095758251759047,0,0,0,0,0,0.269640037858325,0,0,0,0,0.229203385522702,0,0,0,0,0,0,0.00601031869067489,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00317232649587591,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-0.0273821506764018,0,0,0,0.324311955227681,0,0,0,0.0213287574907767,0,0,0,0,0,0,0,0,0,0,0,0.107309789515061,0,0,0,0.0344778340829097,0,0,0.163260351573734,0,0,0,0,0,0,0,0,0,0.210081024184404,0,-0.072718182882297,0,0,0,0,0,0,0.00246453019662288,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0638102471261381,0,0,0,0,0,0.0066829847943112,0,0.0228484680762894,0,0,0.408030931847477,0,0.00788607832762072,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.140843706659108,0,0,0,0,0,0,0,0,0,0.0275387363635757,0,0,0,0,0,0,0,0,0.024145268120353,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164657599252078,0,0,0,0,0,0,0,0,0,0,0,0.0635799061886648,0,0.0769745287075353,0,0,0,0.0742247123938811,0,0,0,0,0,0,0,0.247285571075237,0,0,0,0,0.0613752255560944,0,0.0424675746955687,0,0,-0.00726995843475773,0,0,0,0.00424307390891085,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250422216517665,0,0,0.387379675645572,0,0,0.0652013673733168,0,0,0,0,0,0,0.0606919915564371,0,0,0,0,0,0,0.0227074472244997,0,0.085848345667398,0,0,0.0840055008681243,0,0,0,0,0,0,0,0,0,0,0,-0.000378854442268193,0,0,0,0.0225691749401098,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0506371159834996,0,0,0,0,0.127538083883683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122958825663041,0,0,0,0,0,0,0.0518965873435892,0,0,0.0199753601603684,0,0.0365497187335934,0,0,0,0.114851548384287,0,0,0,0,0,0.00100020732837498,0,0,0,0,0,0,0.0217443776754796,0,0
