,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X002371.SZ,X000100.SZ,X000596.SZ,X000977.SZ,X002241.SZ,X300014.SZ,X000625.SZ,X601877.SH,X002236.SZ,X000157.SZ,X300142.SZ,X300124.SZ,X002463.SZ,X002129.SZ,X600498.SH,X002223.SZ,X002179.SZ,X002456.SZ,X600271.SH,X000066.SZ,X600118.SH,X300136.SZ,X600487.SH,X600584.SH,X600177.SH,X002414.SZ,X600522.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.386776126871523,0.113781196035412,0,0,0,0,0,0,0,0,0,0,0.00638489532595913,0,0,0,0.137452964622981,0.0418625710879512,0,0,-0.0460885490404426,0,0,0,0,0,0.0461589247934841,0,0,0,0,0,0,0,0,0.0423544535259972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10638038514506,-0.0130309066513332,0.000695903782058325,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0221317570930519,0,0,0.109501235425134,0,0,0,0,0.480606912871895,0,0,0,0,0,0,0,0,0,0,0.142335606601144,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191533944488389,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101973123997716,0.0575291309686555,0,0.191041615620391,0,0,0.0342692228921816,0,0,0,0,0,0.0630498226692011,0.00400687435744412,0,0,0,0,0,0,0,0,-0.0150230522192163,0,0,0,0,0,0.0108149028907623,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0553346307217085,0.077385804036648,0,0,0,0,0,0,0.196735788725301,0.0319944597840519,0,0,0,0,0,0,0,0,0,0.125498883572598,0.0335827209471745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337864381213322,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336983531128511,0.0720280916032136,0,0,0.0333606882581476,0.00238666719431429,0.17993323235238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420377826801937,0,0,0,0,0,0
X600104.SH,0,0.038920428666119,0,0,0,0,0,0,0,0,0,0,0,0.0488914723122264,0.155911493462564,0.0742061819815679,0,0,0,0.0898116605342723,0,0,0,0,0.0483160103622972,0,0,0,0.256141605144656,0,0,0,0,0,0,0,0,0,0,0,0,0.0729625378883028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.208379324614576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942556869897103,0,0,0.00572844271118127,0,0,0,0.284039929262315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303881029642532,0,0,0,0,0,0,0,-0.0273066535056244,0.0257374988670306,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.125032718898177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436897681418592,0,0,0,0,0,0,0.174660293305609,0,0,0,0,0,0,0,0.237508014345061,0,0,0,0,0,0.0661595231786473,0.0540566534725653,0,0,0,0,0,0,0,0,0.0410725252549366,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.107754656450269,0,0,0,0,0,0,0,-1.73472347597681e-18,0.104620742567735,0,0,0,0,0,0,0,0,0,0.0767220393847922,0,0,0,0.0846733898577444,0,0,0.389244327587856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257928295306399,0.003924804541356,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110260854946558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161330327656168,0,0.122865131161995,0,0,0.051717360515395,0.0496407286095452,0,0,0,0,0,0,-0.00260690257139289,0,0,0,0,0,0
