,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X600884.SH,X002414.SZ,X601799.SH,X002007.SZ,X000733.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.478460929911134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599070229537616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013996953275151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131251254680363,0,0,0,0,0.024409664611257,0,0
X000858.SZ,0,0,0,0,0.0990645908349273,0.267045227057617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700107793496975,0,0,0,0,0.0559206980048996,0,0,0,0,0,0.221233476019688,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00760890219154108,-0.0098739900836421,0,0,0,0,0,0
X002415.SZ,0,0.18570761960518,0,0,0,0,0,0,0.176363496944415,0,0,0,0,0,0,0,0,0,0,0,0.183792826082756,0.00255213751731813,0.0296995848579541,0,0,0,0,0.0385414866349477,0,0,0,0,0,0,0,0,0,0,0,0,0.119812306513483,0,0.0847691371654665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0154066149470687,0,0.1469018046209,0,0,0,0,0,0,0,0,0,0,0.0608637681754739,0,0.0197268262219845,0,0,0,0,-0.0660243616024466,0,0,0,0,0,0.535471700673186,0,0,0,0,0.119319708332625,0.0349967146375858,0,0,0,0,0,0,0.0471301463865485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.370640775167701,0,0,0,0,0,0,0,0,0,0,0,0,0.000607389840892904,0,0,0,0,0,0,0,0,0,-0.12751334839515,0.0749306755428595,0.135946819269467,0,0,0,0,0,0,0,0.0636165352802431,0,0,0,0,0,0.0839939099134867,0,0,0,0,0,0,0,0,0,0,-0.0332554229286212,-0.0174631727445941,0,0,0,0.0206242757371183,0,0
X000568.SZ,0,0.427281953975188,0,0,0.0173692520300753,0,0,0,0,0,0,0,0,-0.0288868594335938,0,0,0.00151296379012327,0,0,0,0,0,0.0109449234139335,0,0,-0.0465036835061088,0,0,0,0,0,0.205997962558002,0,0,0,0,0.0258505187252055,0.0209566585796545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0551852629163981,0,0,0.0415451531163477,0,0.019726691741232,0,0,0,0,0,0,0,0.103453125691545,0,0,0,0,0,-0.250285793476219,0.0426989472557112,0,0,0,0,0,0.0247532143536618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.156355472865428,0,0,0,0,0,0,0,0,0,0,0,-0.123060123125208,0,0,0,0,0,0,0.169789512912923,0,-0.115697586678108,0,0,0,0,0,0,0.100578832332603,-0.0307046479735055,0,0.0267394620393374,0,0,0.0471310366847506,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122031795057094,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0841929949378963,0.0738205781667603,0,0,0,0,0,0,0.0562754808820304,0,0,0.0882455453076127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260328382504762,0,-0.0606097824093195,0,0.126769331346863,0,0.00856068076299506,0.088232582894621,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225743944596588,0,0,0,0,-0.0267530835477171,0,0
X000651.SZ,0,0.105813758418634,0,0,0,0,0,0,0,0,0,0.071568502584046,0,0,0,0,0,0,0,0,-0.0196211653848892,0,0,-0.0452674586094844,0,0,0.0266909007017146,0,0,0,0,0,-0.0116237079886553,0,0.0521194552346797,0,0,0,0,0,0,0,0,0.054011684855192,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0406305885699308,0,0,0,0,0,0
