,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X002241.SZ,X003816.SZ,X002371.SZ,X002129.SZ,X000063.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002049.SZ,X000625.SZ,X601877.SH,X002179.SZ,X600741.SH,X300142.SZ,X000100.SZ,X600089.SH,X600460.SH,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X000157.SZ,X600522.SH,X600884.SH,X000799.SZ,X002236.SZ,X000733.SZ,X002008.SZ,X002414.SZ,X600584.SH,X600779.SH,X002007.SZ,X601799.SH,X000977.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.584985526195356,0,0,0.00315727763913383,0,0,0,0,0,0,0,0,0,0,0,0,0.00820522612702149,0.0239541873733564,0,0,0,0.0796006763895212,0,0,0,0,0,0,0,0,0,0,0,0,0.058243464448157,0,0,0,0,0,0,0,0,0,0.038475763178018,0,0,0,0,0,0,-0.0154698327593236,0,0,0,0,0,0
X000858.SZ,0.237532887493099,0,0,0,0.149353636666499,0.0278514710760336,0.0782683242260519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844241311428187,0,0.003187463699837,0,0,0,0,0,0,0,0,0,0,0,0.0737034245291073,0,-0.020603939556086,0,0.0761800970181605,0,0,0,0,0,0,0,0,0.0188286587567078,0,0,0.026512149319894,-0.0203167051442672,0,0,0,0,0,0
X002415.SZ,0,0.0559010354761868,0,0,0,0.115325418997532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207390020552819,0,0,0,0,-0.0415639770497955,0,0,0,0,-0.0695761068895022,0,0,0,0,0.00678765100652082,0,0,0.0835848243426428,0,0,0,0,0,0,0.12894807320298,0,0,0.00366213244537385,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.22351560488484,0,0.079037515164079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115326281317155,-0.236122728043119,0,0,0,0,0,0,0,0,-0.0600299622787381,0,0.0451718746503415,0,-0.0502634372930128,0,0.153772018502437,0,0,0,0,0,0.0238924394322825,0,0,0,0,0.027917258797427,0.0209530088157224,0,0,0,0,0.0580634704301796,0,0
X000568.SZ,0.275723468284652,0,0,0.0521764586027571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148024274524869,0,0,0,0,0,0,0,0,0,0.0623952832166471,0,0,0,0,0,0,0,0,0,0,0,0,0.149330409413723,0,0,0,0,0,0.0106572937244802,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0247419659653307,0,0,0,0,0,0,0,0,0,0,0,0,0.287475101609837,0,0.336078759703938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406489211902601,0,0,-0.0723614497980662,0.0100513328853647,-0.0156497576389441,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400287788701303,0,0,0,0,0,0,0
X002304.SZ,0,0.0713537499025652,0.00498384909683637,0.0693431695651766,0,0,0,0,0.0785773541377719,0,0,0,0,0,0,0,0,0.102405937741361,0,0,0,0,0.0998209994147201,0.0700734594597321,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787517997847462,0,0,0,0,0,0,0,0.0704163241165215,0,0.101547871477229,0,0,0,0.0188053099258667,0,0,0,0,0.018992142389547,0,0
X600276.SH,0,0,0,0,0,0.088024448209031,0,0,0.316807096595719,0,0,0,0,0,-0.227727421113516,0,0,0,0,0.174319669845524,-0.0187518925995192,0,0,0,0,0,-0.080996908786354,0,0,0,0,0,0.0523096921548447,-0.0387458770772098,0.0550562776397424,0,0,0.0335904223163481,0,0,0,0,0,0,0,0,0.139832148072386,0,0,0,0,-0.029776835257544,0,0,0,0,-0.0253450855778147,0,0
X600690.SH,0,0,0,0,0,0,0,0.0325251299199418,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.170207020766553,0,0.00476382619184992,0,0,0,0,0,0,0,0,0,0,0.0619707995912106,0,0,0,0.089425690732515,0,0.212976072729857,0,-0.0417675727033981,0,0,0,0.119543406320493,0,0,0,0,0,0,-0.0054695272606233,0,0,0,-1.73472347597681e-18,0,0
X000651.SZ,0,-6.93889390390723e-18,0,0,0.0420002076853178,0,0,0,0.025505788842913,0,0,0,0.143883829121593,0.124576840939524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129720646623227,0,0,0,0,0,0,0,-0.0169888009159793,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0141531384403836,0,0,0,0,0.0104419014680408,0,0
