,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X002049.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X002241.SZ,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600487.SH,X600702.SH,X600584.SH,X600884.SH,X600563.SH,X002414.SZ,X601799.SH,X002236.SZ,X000799.SZ,X000066.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.276965816796711,0,0,0.111551286340494,0,0.0126309720206231,0.0412181749697904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480728844537482,0,0,-0.157753038663902,0,0,0.022523806360142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145994736922192,0,0,0,0.0352827335587603,0.0095798965714369,0,0,0,0,0,0
X000858.SZ,0.0816197269812537,0,0.0720671517403361,0,0.0820713820195014,0.189990301783778,0,0,0,0,0,0,0,0.100742607021454,0,0,0,0,0,0,0.0494415007658196,0,0,0,0,0,0,0,0,0,0,0,0,0.115019400055664,0,0,0,0,0,0,0.19152161322694,0,0,0,-0.0661013948853077,0,0,0,-0.0416686530126481,0,0,0,0,0,0,0,0,0,0
X600809.SH,0.313836845329248,0,0,0,0,0.498000785938714,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569680083230089,0.0762273486298522,0,0,0,0,0,0,0,0,0.0465683285519456,-0.0670055064427078,0,0,0,0,0,0,0.0481694593541561,0,0,0.0648427897834725,0,0,0,0,-0.0569356863267754,-4.33680868994202e-19,0,0,0,0,0,-0.0113089790357606,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.184592681519066,0,0,0,0,0,0,0,-0.0237314754619123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183925271090106,0,0,0,0.162183291750777,0,0,0,0,0,0,0,0,0,0.0421904600917903,0,0,0.0212157992739566,0,0.0709940864147528,0.0606936300611737,0.0676026448455159,0,0,0.0112191180255118,0,0,0,0,0,0,0
X600276.SH,0,0.0944525532201061,0,0.0741659261153338,0,0,0,0,0,0,0,0,-0.0356019029156166,0,0,0,0,0,0,-0.0377591401324694,0,0,0,0,0,0,0,0.015320801929215,-0.103949745494076,0,0,0.0856377666760534,0,0,0,0,0,0,0,0,0,0.0515403387111735,0,-0.057394932273249,0,0,-8.67361737988404e-19,0.124306706883319,0,0,0,-0.0119060167418484,0,0,0,0,0,0,0
X000568.SZ,0,0.152889548966405,0.540045161511951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417221336522928,0,0,0,0,0,0,0,0.0130106873275452,0,0,0,0,0,0,0,0,0,0,0,0.146451380161397,0,0,0,0,0,0,0,0,0,0,0.0267773815849946,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.201398796902592,0,0,0.133410608131952,0.0119609960858943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109483820815686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078894717251795,0,0.133058858899744,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.1519995460545,0,0,0,0,0,0,-0.00768103025493239,0,0,0,0,0,0,0.156837696093249,0,0,0,0,0,0,0,0,0,0,0,0.00476035871988304,0.0795101051878273,0,0.0892631554907089,0,0,0,0,0.3150235754125,0,0,0,-0.15120117011585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.0775520717131408,0,0,0,0,0.375119636677543,0,0,0,0,0.131063439235406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646122269188046,0,-0.0566936000304261,0.0772062921222913,0.0386762979632311,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0605141273562661,0,0,0,0,0,0,0,0,-0.0144846111879876,-0.0134027117048899,0,0,0,0,0,0
X300124.SZ,0,0,-0.306113931894053,-0.0199191774416979,0,0,0.0361750827614657,0,-0.00589383242011059,0,0,0,0,0,0,0,0,0,0,0.220723146621327,0,0,0,0,0,-1.73472347597681e-18,0,0.0263331564756379,0,0,0,0,0,0.124946323361552,0,0,0,0,0,0,0,0,0,0,-0.0909163794810154,8.67361737988404e-19,0,0,0,0,-0.0325075120026641,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.38386932016532,0,0,0,-0.012612209405256,-0.0122713996259819,0,0,0,0,0.23690212185536,0,0,0,0,0,0,0,-0.0302354024699343,0,0,0,0,0.0194576487468802,0,0,0,0,0,0.052255455176741,0,0,0,0,0,-0.0896480202828837,0,0,0,0,-0.00934002306146246,0,0,0.0208859557781403,0,0,0,0,0,0,0
