,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002241.SZ,X002180.SZ,X300142.SZ,X600702.SH,X601877.SH,X000157.SZ,X600584.SH,X600741.SH,X002236.SZ,X600522.SH,X000733.SZ,X600460.SH,X002074.SZ,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X002294.SZ,X600183.SH,X002007.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0233632694310618,0,0,0.164918111199596,0,0.200438587832475,0,0,0,0,0,0,0.0568851395803317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049974832862109,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.0425915523983158,0,0,0.0187478205762536,0,0,0,0,0,0.0132936128475857,0,0,0,0,0,0
X000858.SZ,0,0,0.0418908706489778,0,0.210828308081503,0,0.613601372183585,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0773958818094118,0,0,0,0.0253675920936926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178228447978723,0.00927677257990403,0,0,0,0,0,0
X002415.SZ,0,0.0357586334343426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110649101957831,0,0.144700362759658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148675563997701,-0.00802685664956523,0,0,0,0.033466810087281,0,0,0,0,0,0,0,0,0,0.0231966557370625,-0.0495475034869987,0,0,0,0,0,0
X000568.SZ,0,0.392711948795869,0,0,0,0,0.31242676105329,0.231366711414316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0955082487682506,0,0,0,0,0,0,0,0,0.00673335518479404,0,0,0,0,-0.0108344953173167,0,0,0,0,0,0,0
X600809.SH,0,0,0.0725369735940991,0.0962246715489829,0,0,0.246006721237495,0.204961227403002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503456404905195,0,0,0,0,0,0,0,-0.0493737433476458,0,0,0,0,0,0.211977866185287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.148023997738514,0,0.0190170439838213,0,0,0,0,0,0,0,0,0,0,0.0633069360123311,0,0,0,0,0,0,0,0.125952388094779,0,0,0,0.0554783590347191,0,0,0,0.0859761752507809,0.0330927389694113,0,0,0.0108244097249778,0,1.73472347597681e-18,0,0,0,0,0,0.0207157924447452,0,0.209264400198846,0.0430460996669604,0,0,0,0,0,0,-0.018324969713686,0,0,0,0,0,0
X002304.SZ,0,0.346833412109409,0,0.396629882399997,0.00314132039883377,0,0,0,0,0,0,0,0,0,0,0,0.150780820166066,0,-0.0328906297429373,0,0,0,0,0,0,0,0,0,-0.0253020887176232,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017373705948465,0,0,-0.0786983521671544,0,0,0,0,0,-0.00609992462085428,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.108158191536604,0,0,0,0,0.122204920655069,0,0.0615477582527931,0,0,0,0.11766920206141,0,0,0,-0.0459799359888384,0,0.000206462963910598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766263948582367,-0.00814714790581715,0,0,0,0,0.00488747594767164,0,0,0,0,0,0,0,0,0,0.0120001093070387,0,0,0,0,0,0,0
X000651.SZ,0,0.162378972961423,0,0,0,0,0,0.233559422560555,0,0,0,0,0,0,0,0,0,0,0,-0.0512884085620266,0.0971037596542966,0.076605002838984,0,0,0,0,0,0,0,0,0.0119811874148169,0,3.96190661537715e-05,0,0.0265051839214075,0,0,0,0,0,0,0.0076098632016974,0,0,0,0,0,0,0,0,0,0.00249999659973075,0,0,0,0,0,0,0
X002475.SZ,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.32885266048068,0,0,0,0,0,0,0.09464337446554,2.16840434497101e-19,0.17624367566471,0,0,0,0,0.124706635260348,0,0,0,0.00234888530813717,0,0,0,0.0435732614630039,0,0,0,0,0.0686234763857367,0,0,0.12653135537849,0,0,0,0,0,0,0.0530198547673695,0,0,0.112705865156042,4.33680868994202e-19,-0.01510423081724,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,-0.00430686192336424,0,0,0,0.218292764963158,0,0,0,0,0.13119161830847,0,0,0,-0.0377681705046485,0.201287488786755,0.0746524600923948,0,0,0,0,0,0,-0.350674986144036,0,0.125530710570689,-0.0707136686002674,0,0,0,0.0136360859863459,0,0,0,0,0.124216620874829,0,0.181811701356694,0,0,0,0,0,0.0382808928936446,0,0,0,-0.0225646810513615,1.0842021724855e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0.0819375437191595,0,0,0,0,0,0,0,0,0.0566820031049594,0,0.0111848085710043,0,0,0,0,0,0.0880212621154804,0,0,0,0,0,0,0,-0.00228105108251073,0,0,0,0,0.0258450775668803,0,0.178013738447469,0,0,0,0,0,0.0188485300164924,0,0,0,-0.103174786912159,0.0366135944614054,0,0,0,0,0.022551703927392,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11470614455279,0,0.0525018205467846,0,0,0,0,0,0.0569906699189651,0,0.0622659410978023,0,0.0678314410747195,0,0,0,0,0.0582542772847526,0,0,0,0,0,0.0515616869440693,0,0,0,0,0.00361025492019764,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162139418572666,0.0249217929852211,0,0,0,0,0,0,0,0,0,0,0,0.0801156186029225,0,0,0,0,0.0579702061089674,0,0.342467898899895,0,0,0,0,0.0106287222278104,0,0,0,0,0.0813758944574463,0,0,0,0,0.00760914751381876,-0.0294488395807079,0,0,0,0,0,0
X600031.SH,0,0.129910414141958,0,0,0.113116511194156,0,0.0674712918748678,0.104683142585696,0,0,0.112972210533046,0,0,0,0,0,0,0,0,0,0,0.123403006464336,0,0,-0.0402376703963122,0,0,0,0,0,0,0,0,0.241850132326463,0,0,0,0,0,0,0,0.098244162681137,0,0,0,0,0,0,0,0,0,-0.0100885940493635,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201648405317164,0,0.00552639569442864,0,0,0,0.193951587280073,0,0,0,-0.0088654700490589,0.00172031440476774,0,0,0,0,0,0,0,0,0,0,0.0652158691672206,0,0,0,0,0,0,0,0,0,0.0161688357121062,0.00045008002158069,0,0,0,0,0,0
X000596.SZ,0.0173627919570753,0,0,0,0,0,0.351570639332541,0,0,0,0,0,0,0.0941358671157305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464946437161849,0,0,0,0,0.0613803688473999,0,0.0892251060188447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0.0203261502177761,0.0212457122401232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22790539736213,0,0,0,0,0.054936470909646,0,0,0,0,0.045742796970952,0,0,0,0,0.0393742687907674,0,0.0221431501438403,0.0714490115058795,0,0,0,0.191592453113971,0,0,0,0,-0.0130339826981389,0.017186818492324,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922138576584493,0,0,0,0.133414616445287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884312331799442,0,0,0,0,0.299385408818996,0,0,0,0,0,0,0,-0.0184723150056588,0,0,0,0,0,0.0661548662811368,-0.0269938570639426,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0.0614282533072857,0,0,0,0,0,0,0,0,0,0,0,-0.00301609987052768,0,-3.46944695195361e-18,0,0,0,0,0,0.0268688932510751,0,0.000601630975164518,0,-0.319324296232977,-0.178405952563119,0,0,0,0,0,0,0,0.150073943847805,0,0,0,0,0.139274960802684,0,0,0,0.0416654759899034,0,0,0,0,0,0,0
