,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X000063.SZ,X002371.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X000977.SZ,X600372.SH,X002241.SZ,X000661.SZ,X000157.SZ,X600584.SH,X601877.SH,X600741.SH,X002180.SZ,X600522.SH,X002074.SZ,X000066.SZ,X600702.SH,X000733.SZ,X300003.SZ,X300142.SZ,X600460.SH,X002007.SZ,X300146.SZ,X002463.SZ,X002294.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.105215050487304,0,0.104352955271367,0.0481580246974719,0.0190387974218559,0,0,0,0,0,0.0339969580459268,0,0,0,0,0,0.0731676854176491,0,0,0.0312214313715686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000421332387511832,-0.0279095127469605,0,0,0,0,0,0
X000858.SZ,0,0,0,0.201115089603455,0,0.0693514057325417,0,0,0,0,0,0,0,0,0,0,0.0828669034665723,0.0883910941196376,0,0,0,0,0,0,0,0.00359972002855765,0,0,-0.00176149006256212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109453616090972,0,0,0,0,0,0,0,-0.0528870705633409,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0730266747531226,0,0,0,0,0,0,0.10676161659012,0,0,0,0.0608245811351751,0,0,-0.00696662393408078,0,0.140585779684305,0,0,0,0,0,0,0,0,0.302242198320301,0,0,0.0552597453662435,0,0,0,0.0788753220261308,0,0.219641810242016,0,-0.0130170876517702,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.440505870719273,0,0,0,0,0,0,0.0404175823548217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793611791582482,-0.0585144030181342,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0365304178184328,0,0,0,0,0,0,0,0,0,0,0,-0.0195603038870855,0,0,0,0,0,0
X600276.SH,0,0,0.0914922734685129,0,0,0,0,0,0,-0.00141769298775123,0,0.0544195693180628,0,0,0,0,0.0715274164583454,0,0,0,0.0238723789777657,0,0,0,0,0.0958193252477733,0,0.000361693237295494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122296581929326,0.247464673884057,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0197782118489982,0.19844073097623,0.111948088908027,0,0,0.00419337574315789,0,-0.124453209139496,0,0,0,0,0,-0.230931271714584,0,-0.0103340138799847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00832735524480838,0,0,0,0,0,-0.289125774867024,0,0,0,0,0.165185934177639,-0.060948465972188,0.0727893651276705,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0729158420197177,0,0,0,0.0925918694875892,0,-0.0954429474150082,0,0,0,0,0.318615283553741,0,-0.0220617918001315,0,0,0.0816163478547293,0,-0.0502678056193324,0,0,0,0,0,0.0279754804784468,0,0,0,0,0,0,0,0,0.037794982029728,0,-0.157620683837231,0,0,0,0,0,0,0.0617089735508081,0,0,0,0,0.0318300785380209,0,0,0,0,0,0,0
X002304.SZ,0,0.159052300271552,0,0.100946517665191,0,0.118267578272288,0.0507171091783579,0,0.0932668814054985,0,-0.0503269246787522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647221602606244,-0.0913913328711303,-8.67361737988404e-19,0,0,0,0,0.0473108964003252,0,0,0,0,0,0,0.0809372806894522,0,0,0,0,0,0,0.00947813547846287,0,0,0,0,-0.0102669777691698,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0951472751262383,0,0,0,0,0,0,0.0419940460116907,0.00277979887957836,0.0606056477085803,0,0,0,0,0,0,0,0.0772611537043956,-0.0916862769037447,0,0,0,0.0449860204153875,0,0,0.0425725608635758,0,0,-0.0096213103614944,0,0,-0.0482444739627273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162114728407201,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16719739284972,0,0,0,0,0,0.0272613532931405,0,0.0910308620656517,0.00913980963783733,0,0.37684468920597,0,0,0,0,0,0,0.0215373067827969,0,0,0,0,0,0,0,0,0,0.0505950078925208,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.300426512434395,0,0,0,0,0,0,0,0,0.127502425591878,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274402288684376,0,0.40813315516117,0.117048150125193,0,0,0,0,0,-0.342942812335135,0,0,0,0,0.192169237265137,0.0355058821300063,0,0,0,0,0,0,-0.123642605647992,0,-0.0519934730417959,0.411376199766532,0.0476891186541766,-0.0502608440410925,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.100486042371866,0.15865717536472,0,0,0,0,0,0,0,-0.0434966312108174,0,-0.046971933819326,0,0,0,6.93889390390723e-18,0.131795895903006,0,0,-0.00784273931220364,-0.0363781025076019,0,0,0,0.140144116229185,0,0,0.156156504220325,0,0,0,0,0,0.019847353666052,0,0,0,0,0,0,0,0,0.0372326291024556,0,0,0,0,0,0,0
