,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X300014.SZ,X000338.SZ,X002129.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X000157.SZ,X002241.SZ,X601877.SH,X000661.SZ,X600584.SH,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X300142.SZ,X002463.SZ,X002007.SZ,X000800.SZ,X601799.SH,X600460.SH,X002028.SZ,X000066.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.389712963564548,0.0170051507244442,0,0,0.0389832518912833,0,0,0,0.0327787395037811,0.0201184527325871,-0.04356958990987,0,0,0,0,0,0,0,0.0799799790891535,0,0,0,-0.0128215157630134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790830548337134,0,0,-0.0206120956843254,0,0,0,0,0,0,0,0,-0.00944821394912334,0,0,0,0,0,0,0
X000858.SZ,0,0,0.705605755627304,0,0,0,0,0,0.0666611127048398,0,0,0,0,0,0,0,0,0,0.021031469870336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348119651640054,0,0,0,0,-0.00629661524720338,0,0,0,0,0,0,0
X000568.SZ,0,0.622956168874188,0,0,0,0,0,0,0,0,-0.0475381041903319,-0.00299248607992634,0,0,0,0.242798568001884,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463674520371089,0,0,0,0,0,0,0,0,0,0,0.153812970401767,0,0,0,0,0,0,0,0,0,0,0,0.00481419179732329,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.291203190599094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156047797033667,0,0,0,0,0.336688758384224,-0.0117650208168637,0,0,0,0,0,0,-0.299214360889299,0.280774472788028,0,0,0,0,-0.0969626939688876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.227299885853313,0,0,-0.0242978943311395,0,0,0,0,0,0.261455204126347,0,0.00536188769750879,0,0,0,0,0,0,0,0,0,0.0339838839736871,0,0,0,0,0,0,0,-0.0748173981997907,0,0.161779680629984,0,0,0,0,0,0,0.0352333276032885,0,0,0,0,0.11103745740127,0.0878477683571988,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.176986690191971,0,0,0,0,-0.0697482478559688,0,-0.0922988865142897,0,0,0,0,-0.207688573102381,0,0,0,0,0,0,0,0,0,0,0.0795291139640897,0,0,0,0,0,-0.0758007227802746,0,-0.122020486911561,0,0,0,0,0,0,0,0,-0.0642802558208038,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0202755269484421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015870849418333,0,0.117190186748427,0,0,0,0.226380491498437,0,0,0.0957609342528343,0,0,0,0.0358747121403077,0,0,0.0528880064026768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.179539916007171,0,0,0,0,0,0,0,0.160076904188204,0,0,0,0,0.0681928620820458,0,0,0.0607196300560436,0,0,0,0,0,0,0,0,0.132622851880391,0,0,0,0,0,0,0,0,0,-0.0471567598186718,0,0,0,0,0.00827098138459739,-0.0143175931167302,0,0,0,0,0,0,0,0,-0.00171045369385344,-0.028962492743447,0,0,0,0,0,0
X002304.SZ,0,0.449423541974252,0.145817070951126,0,0.0225133768821962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157445828486202,0,0,0,0,0,0,0,0,0,0.0188129494179112,0,0,0,0,0,0,0,0,0,0,0,-0.00893020947155803,0,0,0,0,0,0,0
X000651.SZ,0.189035203036161,0,0,-0.0614329419847719,0,0,0,0.40571609101529,0,0,0,0,0,0,0,0,0,0,0.0491298188251682,0,0,0.0273198604018994,0,0,0,0,0,0,-0.0192246911234082,-0.0333401808315941,0,0,0,0,0,0,0,0.0147907178429812,0,0,0,0,0,0,0,0,0,0,0,0.0127053816269608,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.00728461441784085,0.0336967702649702,0,0,0,0,0,0,0,0,0,0,0,0.262550544042561,0,0,0,0,-0.0452722559536195,0,0,0,0,0.139997895673191,0,0,0.0736300217264921,0,0,0,0,-0.0660380842630223,0.0283619357202231,0,0,0,-0.0216666157252205,0,0,0,0,0,0,0,0,0,0,-0.0328798822528557,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199661939493919,0,0,0,0,0,0,0,0.177030190814248,0,0,0,0,0,0,0,0,0,0,0,0,0.202751081371413,0,0,0,0,0,0.0608021310763599,0,0,-0.030675007493468,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163362424288634,0.169757420585401,0,0,0,0,0,0,0.0300239734985032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550964936785086,0,0,0,0,0,0,0,0,0,-0.00542322618985961,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0309242537905564,0,0,0.158249622187208,0,0,0,0.10154621086367,0,0,0,0,0,0,0,0,0,0,0.0459427566737798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286611363198268,0,0,0,0,0.0729349619812213,0.0322809348067459,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385567495856568,0,0,0.0335197623553309,0.0325519053607899,0,0,0,0,0,0.0615811393107709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00180032041216568,0,0,0,0,0,0,0
X000596.SZ,0,0,0.171964624955433,0,0,0.101731582336311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206085754773151,0,0,0,0,0,0,0,0,0,0,0.0172055161859412,0,0,0,0,0.284569794278908,0,0,-0.0446546591730757,0,0,0,0,0,0,0,0,0.066905663312558,-0.0473993107953452,0,0,0,0,0,0
X002371.SZ,0,0,0.186696050870404,0.0389167224062023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208573236369692,0,0,0,0.160339459603841,0,0.204035399464439,0,0,0,0.164987591818174,0,0,0,0,-0.0992195294563673,0,0,0,0,0,0,0.00447603110763966,0,0,0,-0.0949608225121261,0.179549491140839,0,0,0,0,0,0.0119809512840373,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.048765153676594,0,0,0,0,0,0,0,0.12980631895846,0,0,0,0,0,0,0.199393291119669,0,0,0.0852887772977085,-0.0165592931727066,0,0,0,0,0,0,0,-0.0544972901604051,0,0.0591104509255984,0,0,0,0,0,0,0,0,0,0,0,-0.00746344152767689,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0694851590794143,0.122048494660336,0,0,0,0,0,0,0,0,0.0377501227262073,0,0,0.015497005419205,0,0,0,0,0.128543936212736,0.112320540561654,0,0,0.0507413451221776,0,0,0,0,0,0,0,0,0,0,0.368312574897294,0,0.0969631149560924,0,0,0,0,-0.0240141062744309,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,-0.0332693221025524,0,0,0,0,-0.0346303672719778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240850396871214,0,-0.00777947990351831,0,0,0,0,0,0.116025815730712,0,0,0,0.443592064907012,0.0459922347898662,0,0,-0.0510032254541653,0,0,0,0,0,0,0,0,0.0337814776477665,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193247660447676,0.011437586632134,0,0,0.0289255046317641,0,0,0,0,0,0,0.0185622248141814,0.0310808367323254,0,0,0,0,0,0,0,0,0,0.0435922209882109,0,0,0.0338788955175163,0,0,0,0,0,0,0,0,0,0.00920263661319794,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209307582257414,0,0,0,0,0,0,0,0,-0.2153398272907,0,0,0.0217908643130499,0.00629378693166594,0,0,0,0,0,0,0,0,0,0,0,0,0.0359676955543243,0,0,0,0,0,0,0,0,-0.00336252134887014,-0.069711217216593,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.0498344454307787,0,0,0,0,0,0,0,0,0,0,-0.0686178375847224,0,0.0500885144631153,0,0,0.0668367245427802,0,0,0,-0.025940960404856,0,0,-0.136852126135819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336508163036706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.251269354752477,0,0,0,0,0,0,0,0,0,0,-0.467065625338383,0.0449292680381871,0,0,0.323856264311849,0,-0.02130503039376,0,0,0,0,0,0,0.0523145664974349,-0.0960522674661297,0,0,0,0,0,0,-0.0857662753455959,0.0364098182449861,0,0,0,0,0.0909085317284716,0,0,0,0,0,0,0,0,0.0828056944138473,-0.154198576472083,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0167540268400408,0,0.110835925358172,0,0,0,0,0.110026932420421,0,0,0,0,0,0,0.113888511018243,0.162925684922212,0,0,0,0,0,0,0,0,0,0.0109363534923647,0,0,0,0,0,0.0869735320348577,0,0.0157478647869452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255446260514152,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418530131694651,0,0.0177743905177303,0.141983964132157,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0145504394014276,0,0,0,0,0,0,0,0,0.0461707728617177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228195092661749,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0.182875921523159,0,0,0,0,0,0,0,0,0,0,0,0,0.0785593480312991,0,0.0684434537734974,0.0890945791695275,0,0,0.0745495179073835,0,0,0,0.0211823471622917,0,0,0,0,0,0,0,0.0827745535388673,0,0.0249964217003044,0,0.203708665149168,0,0,0,0,0.185028482011725,0,0,0,0,-0.0182918472048391,0.0168389214142889,0,0,0,0,0,0
X600372.SH,0,0,0,0,0.023085953004071,0,0.0512055554102524,0,0,0,0,0,0,0.0136679804484665,0.0535839269847212,0,0,0,0.131388866068096,0,0,0,0,0,0,0,0,0,0.0180632796149627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342503228842125,0,0,0,0,0,0,0,0,0.0188043512535136,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.524239835961065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154589673480627,0,0,0,0.496587552009898,0,0,0,0,0,0,0,0,0,0,-0.0309693992838323,0,0.00262761431676935,0,0,0.0845208203528025,0,0,0,0,0,0.00499566455533193,0.0311582362667213,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0534860307337663,0,0,0,0,0,0,-0.221066546004537,0.229942982365716,0,0,0,-0.044640957777342,0,-0.184070894360859,0,0,0.241938914424491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425539636503465,0,0,0,0,-0.260255031555257,0.336365430342619,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,-0.0438081644216828,0,0,0,0,0,0,0,0,0,0,0,0.239474301782179,0,0.127822688882795,0,0,0,0,0,0,0,0,-0.00731924101416109,0,0,0,0,0,0.0516748581738393,-0.0330083263538575,0,0,0.0906763856285501,0,0,0,0,0,-0.0989074508407786,0,0,-0.0143848584124915,0,0,-0.021370954147435,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0370088473964016,0,0,0,0,0.0709965354911921,0,0.0954978115123823,0,0,0.238995780670407,0.0185931690196432,0,0.0383655055965515,0,0,0,0,0.172059818063524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329169592297472,0,0,0,0,0,0,0,0.0346809010648107,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0.0746063933433513,0,0,0.293833783594482,0,0,0,0,-0.0262430122170348,0,0,0,0,0,0,0,0,0,0,0,0.0567982380519825,0,0,0,0,0,0,0,0,0,0,0,0.0667127600703507,0,0,0,0,-0.0194158249671684,0.0275728165368545,0.0311830994472748,0,0,0,0.424256478417952,0,0,0,0,0,0.0753581506579968,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00644724886306272,0,0,0,0,0,0.0587461317934023,0.149357210888455,0.121392998056025,0,0.162774284982912,0,0,0,0,0.0500386409140328,0,0,0,0,0,0,0,0.0306602591920247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.043956742398153,0.184231915803008,0,0,0,0,0,0.0814571727357845,0,0,0,0,0,0,0,0.117226786400699,0,0,0,0,-0.066824785053907,0,0,0,0,0,0,0,0,0,0,-0.247035767988627,0,0,0,0.236942151769839,0,0,0,0,0,0,0,0,-0.0936285290788388,0,0,-0.0177583427012856,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119044268421739,0,0.0518828108807328,0,0,0.062514221785407,0,0,0,0,0.0281001234877818,0,0,0.221120272336194,0,0,0,0,0,0,0,0,0,0.187145076783111,0,0,0,0,0,-0.0408565904864915,0.157157696784126,0,0.01819608506069,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,-0.0514393844036145,-0.033569549514675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299041621797024,0,0,0,0,0.0972410781265345,0,0,0.0632361200670994,0,0,0,0,0.136878888352778,0,0,0,0,0,0,0,0,0,-0.0512669436295332,0,0,0,0,0,0
X002180.SZ,0,0,0,0.0951249558670583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376995535153027,0,1.73472347597681e-18,0.0611086892727498,0,0.00458470096262348,0.0192633314573518,0,0,0,0,0,0,0.151538992720065,0,0,0,0.447742605886219,0,0.0795016825836552,0,0,0,0.02003031980014,-0.0317952903991701,0,0.0877214543197795,0,0,0,0.0459416313261361,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0215604888981698,0,0,0,0,0,0,0.0722213928373334,0.343535385192917,0,0.109693869703806,0,0,0,0,0,0,0,0.00642048317814308,0,0,0.0667566562257979,0,0,0,0.023743652821683,0,0,0,0,0.0303277721550383,0,0,0,0,0.00239606803376092,0,0,0,0,-8.67361737988404e-19,-0.0358619988301602,0,0,0,0,0,0
X600702.SH,0,0,0.510202833425018,0,0,0,0,0,0,0,0,0,0,0,0,0.293344888276699,0,0,0,0.120414447748489,0,0,0,0,0,0.0753048803479567,0,0,-0.0673386616664986,0,0,0,0,0,0,0,0,0.273083688539477,0,0,0,0,-0.0111716494104937,0,0,0,0,0,-0.156213276219225,0,0,-0.0720969968311211,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,-0.0501980449176258,0,0,0,0,0,0,0,0,0,0,-0.0272354275586137,0,0,0,0,0,0.671576276492131,0,0,0,0,0,-0.0024616232011396,-0.00760830828345164,0,0,0,0,-0.0882893409273614,0,0.114385190491911,0.0951749475258585,0,0.101898085628405,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244784052118735,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0.113238525629658,0,0.0125425892510743,0,0,0,0,0,0,0,0,0,0,0,0.0339150637419307,0,0.0267312981733341,0,0,0,-0.039302641609476,0,0,-0.0578366878766727,0,0,0,0.379751313347461,0,0.0725168308954106,0,0,0,0,0.110727775422144,0,0,0,0,0,0,0,0,0,0,0,0.0199273836211168,-0.0623777040877713,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0.239526624066356,0,0,0,0,0,0,0,0,0,0,0,-0.0299245208790727,0,-0.117216363014988,0,0,0,0,0.0401598312338968,0,0,-0.0790216775306701,0,0.610705312143205,0.137540095988927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.232236483424453,0,0,0,0,0,0
X002007.SZ,0,0,0,0,-0.056937098108511,0,0,0.0141881319885235,0,0,0,0,0,0,0.0439719458883235,0,0.00142653951784326,0,0,0,0,-0.00547506929212333,0,0,0,0,0,0,0.0369920527429176,-0.00869326254205814,0,0,0.0495388485964005,0,0,0,0,0,0,0,0,0.220570255177362,0,0,0,0,0,0,-0.0344072137988812,0.335428550012474,0,0,0,0,0,0,0,0,0
