,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X000157.SZ,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X000661.SZ,X002028.SZ,X600066.SH,X600584.SH,X002129.SZ,X600522.SH,X000921.SZ,X601877.SH,X000800.SZ,X601799.SH,X600183.SH,X600418.SH,X002074.SZ,X600566.SH,X002007.SZ,X002223.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.133005323175009,0,0.0103176049839797,0.260336988337118,0,0,0,0,0.0130469650386196,0,0,0,0,0,0,0.0143470581698812,0,0,0,0.0165980692873452,0,0,0,0,0,-0.0200693837266307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012301874196264,0,0,0,0,0,0,0,0,-0.0102363050306432,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.447640534269215,0,0,0,0.024855020022301,0,0,0,0,0,0,0,0,0.0486421855338824,0,0,0,0,0,0,0,0,0,0.0266090060614489,0,0,0,0.00482491895248204,0,0,0,0.0138891521233854,0.0500063244551888,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453522169438578,-0.000225806423607705,0,0,0,0,0,0
X600809.SH,0.147065898008537,0,0,0,0,0.176314566109264,0,0,0,0,0,0,0,0,0,0,0.206283119973335,0.0473600422135606,0,0,0,0.123951560696425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492129536306246,0,0,0,0,0,0,0,0,0,0.0348405303118593,0,0,0,-0.0350110151469417,-0.0188186019701435,0.0499520545962333,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0285242487024766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226269417530074,0.0826649699784913,0,0,0,0,0,0,0.0619061829475204,0,0,0,0.0143681912565173,0,0,0,0,0,0,0,0.0885878612745808,0,0,0,0,0.100865183828677,0,0,-0.0301576419709021,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.131151533811591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641651245011228,0,0,0,0,0.0549645381485932,0,0,0,0,0,0.17783857018117,0.0207620584542255,0,0,0,0,0.058545348939699,0,0,0,0.0492737500137438,0,0,0,0,0.000567322918108926,0,0,0,0,0,0,0
X000568.SZ,0,0.956267157564417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103970786196267,0.00228942047966669,0,0,0,0,0,0,-0.0484504374628081,0,0,0,-0.0797359531057494,0,0,0,0,0,0,0,0,0.104107350330332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212966251657848,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,-0.0194719030150159,0,0,0,0,0,0.0771213621127226,0,0,0,0,0,0,0,0,0,0,0,-0.0989524714590534,0,0,0,0,0,0,-0.0275367912041262,0.0165773273850869,0.0118074593676793,0,0.183360033646177,0,0,0.0673598428999573,0.0587774015323841,0,0.00509420369524811,0,0,0,0,0,-0.0244495063939761,0.0053471226882631,-0.0316599141183538,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0602186311703752,0,-0.144205095742613,0,0,0.190644353872402,0,0,0,0.134102566322421,0,0,0.086433641625416,0.0354795212746634,0,0,0,0,0,-0.0192890583992913,0,0,0,0,0,-0.0939598676393018,0,0,0,0,0,0.169676033379571,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.302570938271359,0,0,0,-0.00329346378147261,0,0,0,0,0,0,0,0,0.130423443974726,0,0,0,0,0,0,0,-0.0700005639971233,0,0,0,0.037828969208428,0,0,0,0,0.106766260301469,0,0,0,0.155047143153831,0,0.05730156093534,0,0,-0.236322016524274,0.253458533442946,0.291708621978446,0,0,0.070333853200423,0,0,-0.0699726490935924,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0389816186695197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713101616695468,0.284081205108017,0,0,0,0,0,0,0.48989365352093,0,0,0,0,0.0657144801438671,0,0,0,0,0,0.00916360614828602,0.0282488005320257,0,0,0,0,0,0,0,-0.00821863031612628,0,-0.0457288976813133,-0.163240938020605,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120632044126674,0,0,0,0,0,0,0,0,0,0.0713380504253834,0,0,0,0,0,0,0,0,0,0,0,0.0369424710031994,0.455702977950336,0,0,0,0,0,0,0,-0.00758782458465668,0,0,0,0,0,0
X600104.SH,0,0,0.051403071278398,0,0,0,0,0,0,0.0329744980378497,0,0,0,0,0.0428726206107508,0,0,0.000425078911348624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246309839331173,-1.0842021724855e-19,0,0,0,0.0390527651390037,0,0.0427206565920915,0,0.025435349544453,0.0598488153123826,0,0,0.011235032786205,0,-0.0110868022630023,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0116455742223366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28452619884478,0,0,0,0,0.110257105215535,0.0545250152147751,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121200684611267,0,0,0,0,0,0,0,0,0,0,0,-0.0103105406028218,0,0,0,0,0,0,0
